stems,corpora presence count,all tokens,all Concepts,average density across ALL corpuses,tokens in studies,density in studies,Concepts in studies,tokens in comments,density in comments,Concepts in comments,tokens in survey,density in survey,Concepts in survey,average density across concerned corpora
readabl,3,"{'readable': 9, 'readability': 2}",{'READ': 11},0.110673235,"{'readable': 4, 'readability': 1}",0.142857143,{'READ': 5},"{'readable': 2, 'readability': 1}",0.085714286,{'READ': 3},{'readable': 3},0.103448276,{'READ': 3},0.110673235
eas,2,{'ease': 6},{'EASINESS': 6},0.057142857,{'ease': 4},0.114285714,{'EASINESS': 4},{'ease': 2},0.057142857,{'EASINESS': 2},,0,,0.085714286
use,3,"{'use': 5, 'useful': 3}","{'USE': 4, 'SUPPORT': 4, 'RELEVANT': 1}",0.087684729,{'use': 4},0.114285714,{'USE': 4},"{'use': 1, 'useful': 2}",0.114285714,{'SUPPORT': 4},{'useful': 1},0.034482759,{'RELEVANT': 1},0.087684729
clutter,3,"{'cluttered': 9, 'clutter': 2}",{'CLUTTER': 11},0.110673235,{'cluttered': 4},0.114285714,{'CLUTTER': 4},"{'cluttered': 3, 'clutter': 1}",0.114285714,{'CLUTTER': 4},"{'clutter': 1, 'cluttered': 2}",0.103448276,{'CLUTTER': 3},0.110673235
visual,3,"{'visually': 3, 'visual': 7, 'visualization': 1, 'visualize': 1}","{'VISUAL': 11, 'VIEW': 1}",0.126108374,"{'visually': 1, 'visual': 3, 'visualization': 1}",0.142857143,{'VISUAL': 5},{'visualize': 1},0.028571429,{'VIEW': 1},"{'visual': 4, 'visually': 2}",0.206896552,{'VISUAL': 6},0.126108374
confid,2,"{'confidence': 3, 'confident': 3}",{'CONFIDENT': 6},0.063054187,{'confidence': 3},0.085714286,{'CONFIDENT': 3},,0,,{'confident': 3},0.103448276,{'CONFIDENT': 3},0.094581281
effect,2,{'effective': 3},{'SUPPORT': 3},0.028571429,{'effective': 2},0.057142857,{'SUPPORT': 2},{'effective': 1},0.028571429,{'SUPPORT': 1},,0,,0.042857143
frustrat,1,{'frustration': 1},{'ANNOYANCE': 1},0.00952381,{'frustration': 1},0.028571429,{'ANNOYANCE': 1},,0,,,0,,0.028571429
easi,3,{'easy': 35},{'EASINESS': 40},0.398686371,{'easy': 16},0.571428571,{'EASINESS': 20},{'easy': 10},0.314285714,{'EASINESS': 11},{'easy': 9},0.310344828,{'EASINESS': 9},0.398686371
enjoy,1,{'enjoy': 1},{'AESTHETICS': 1},0.00952381,{'enjoy': 1},0.028571429,{'AESTHETICS': 1},,0,,,0,,0.028571429
simpl,2,{'simple': 5},{'COMPLEX': 5},0.047619048,{'simple': 1},0.028571429,{'COMPLEX': 1},{'simple': 4},0.114285714,{'COMPLEX': 4},,0,,0.071428571
follow,2,{'follow': 3},{'GUIDANCE': 3},0.028571429,{'follow': 2},0.057142857,{'GUIDANCE': 2},{'follow': 1},0.028571429,{'GUIDANCE': 1},,0,,0.042857143
intuit,3,"{'intuitive': 7, 'intuitively': 1}",{'INTUITIVE': 8},0.07816092,{'intuitive': 2},0.057142857,{'INTUITIVE': 2},"{'intuitive': 4, 'intuitively': 1}",0.142857143,{'INTUITIVE': 5},{'intuitive': 1},0.034482759,{'INTUITIVE': 1},0.07816092
visibl,2,"{'visible': 4, 'visibility': 1}",{'VIEW': 5},0.047619048,{'visible': 2},0.057142857,{'VIEW': 2},"{'visible': 2, 'visibility': 1}",0.085714286,{'VIEW': 3},,0,,0.071428571
clear,3,"{'clearly': 9, 'clear': 9}",{'CLARITY': 15},0.15862069,"{'clearly': 2, 'clear': 2}",0.114285714,{'CLARITY': 4},{'clear': 3},0.085714286,{'CLARITY': 3},"{'clear': 4, 'clearly': 7}",0.275862069,{'CLARITY': 8},0.15862069
arrang,2,{'arrangement': 2},{'ENCODINGS': 2},0.021018062,{'arrangement': 1},0.028571429,{'ENCODINGS': 1},,0,,{'arrangement': 1},0.034482759,{'ENCODINGS': 1},0.031527094
hard,3,{'hard': 7},{'EASINESS': 8},0.07816092,{'hard': 2},0.085714286,{'EASINESS': 3},{'hard': 4},0.114285714,{'EASINESS': 4},{'hard': 1},0.034482759,{'EASINESS': 1},0.07816092
interpret,3,"{'interpret': 15, 'interpretation': 1}",{'UNDERSTAND': 16},0.164203612,{'interpret': 6},0.171428571,{'UNDERSTAND': 6},"{'interpret': 3, 'interpretation': 1}",0.114285714,{'UNDERSTAND': 4},{'interpret': 6},0.206896552,{'UNDERSTAND': 6},0.164203612
understand,3,"{'understand': 34, 'understanding': 2, 'understandable': 1}",{'UNDERSTAND': 36},0.374384236,"{'understand': 9, 'understanding': 1}",0.285714286,{'UNDERSTAND': 10},"{'understandable': 1, 'understand': 9}",0.285714286,{'UNDERSTAND': 10},"{'understand': 16, 'understanding': 1}",0.551724138,{'UNDERSTAND': 16},0.374384236
look,2,{'look': 3},"{'AESTHETICS': 1, 'SEARCH': 1, 'VIEW': 2}",0.032512315,{'look': 1},0.028571429,{'AESTHETICS': 1},,0,,{'look': 2},0.068965517,"{'SEARCH': 1, 'VIEW': 2}",0.048768473
learn,2,"{'learn': 3, 'learned': 1}",{'LEARN': 4},0.042036125,{'learn': 2},0.057142857,{'LEARN': 2},,0,,"{'learned': 1, 'learn': 1}",0.068965517,{'LEARN': 2},0.063054187
read,3,"{'read': 13, 'reading': 1}",{'READ': 14},0.147126437,{'read': 6},0.171428571,{'READ': 6},{'read': 1},0.028571429,{'READ': 1},"{'reading': 1, 'read': 6}",0.24137931,{'READ': 7},0.147126437
overview,3,{'overview': 6},{'OVERVIEW': 6},0.061083744,{'overview': 3},0.085714286,{'OVERVIEW': 3},{'overview': 1},0.028571429,{'OVERVIEW': 1},{'overview': 2},0.068965517,{'OVERVIEW': 2},0.061083744
gain,1,{'gain': 1},{'QUERY': 1},0.00952381,{'gain': 1},0.028571429,{'QUERY': 1},,0,,,0,,0.028571429
data,2,{'data': 10},{'DATA': 11},0.120525452,{'data': 2},0.085714286,{'DATA': 3},,0,,{'data': 8},0.275862069,{'DATA': 8},0.180788177
display,1,{'display': 1},{'SHOW': 1},0.00952381,{'display': 1},0.028571429,{'SHOW': 1},,0,,,0,,0.028571429
inform,2,"{'information': 13, 'informative': 2}","{'INFORMATION': 13, 'INFORMATIVE': 2}",0.156978654,{'information': 2},0.057142857,{'INFORMATION': 2},,0,,"{'information': 11, 'informative': 2}",0.413793103,"{'INFORMATION': 11, 'INFORMATIVE': 2}",0.23546798
valu,2,"{'value': 1, 'values': 3}","{'UNDERSTAND': 1, 'INFORMATION': 2, 'DATA FEATURES': 1}",0.044006568,{'value': 1},0.028571429,{'UNDERSTAND': 1},,0,,{'values': 3},0.103448276,"{'INFORMATION': 2, 'DATA FEATURES': 1}",0.066009852
answer,2,{'answer': 3},{'REASON': 3},0.032512315,{'answer': 1},0.028571429,{'REASON': 1},,0,,{'answer': 2},0.068965517,{'REASON': 2},0.048768473
correct,2,"{'correct': 1, 'correctly': 1}",{'ACCURATE': 2},0.019047619,{'correct': 1},0.028571429,{'ACCURATE': 1},{'correctly': 1},0.028571429,{'ACCURATE': 1},,0,,0.028571429
text,2,{'text': 2},{'VIS TEXT': 2},0.021018062,{'text': 1},0.028571429,{'VIS TEXT': 1},,0,,{'text': 1},0.034482759,{'VIS TEXT': 1},0.031527094
symbol,1,{'symbol': 1},{'ENCODINGS': 1},0.00952381,{'symbol': 1},0.028571429,{'ENCODINGS': 1},,0,,,0,,0.028571429
see,3,{'see': 11},{'VIEW': 11},0.114614122,{'see': 2},0.057142857,{'VIEW': 2},{'see': 4},0.114285714,{'VIEW': 4},{'see': 5},0.172413793,{'VIEW': 5},0.114614122
link,1,{'link': 1},{'DATA FEATURE': 1},0.00952381,{'link': 1},0.028571429,{'DATA FEATURE': 1},,0,,,0,,0.028571429
compon,2,"{'component': 1, 'components': 1}",{'VIS ELEMENTS': 2},0.021018062,{'component': 1},0.028571429,{'VIS ELEMENTS': 1},,0,,{'components': 1},0.034482759,{'VIS ELEMENTS': 1},0.031527094
diagram,1,{'diagram': 1},{'VISUALIZATION': 1},0.00952381,{'diagram': 1},0.028571429,{'VISUALIZATION': 1},,0,,,0,,0.028571429
mind,1,{'mind': 1},{'TAKEAWAY': 1},0.00952381,{'mind': 1},0.028571429,{'TAKEAWAY': 1},,0,,,0,,0.028571429
perceiv,2,{'perceive': 2},{'VIEW': 2},0.019047619,{'perceive': 1},0.028571429,{'VIEW': 1},{'perceive': 1},0.028571429,{'VIEW': 1},,0,,0.028571429
featur,2,"{'feature': 2, 'features': 1}",{'DATA FEATURES': 3},0.030541872,{'feature': 2},0.057142857,{'DATA FEATURES': 2},,0,,{'features': 1},0.034482759,{'DATA FEATURES': 1},0.045812808
abl,1,{'able': 1},{'SUPPORT': 1},0.00952381,{'able': 1},0.028571429,{'SUPPORT': 1},,0,,,0,,0.028571429
good,1,{'good': 2},{'GOOD': 2},0.019047619,{'good': 2},0.057142857,{'GOOD': 2},,0,,,0,,0.057142857
design,2,{'design': 3},"{'DESIGN': 2, 'ENCODINGS': 1}",0.030541872,{'design': 2},0.057142857,{'DESIGN': 2},,0,,{'design': 1},0.034482759,{'ENCODINGS': 1},0.045812808
graph,1,{'graph': 1},{'VISUALIZATION': 1},0.00952381,{'graph': 1},0.028571429,{'VISUALIZATION': 1},,0,,,0,,0.028571429
recogn,3,{'recognize': 4},{'QUERY': 4},0.040065681,{'recognize': 1},0.028571429,{'QUERY': 1},{'recognize': 2},0.057142857,{'QUERY': 2},{'recognize': 1},0.034482759,{'QUERY': 1},0.040065681
enabl,1,{'enable': 1},{'SUPPORT': 1},0.00952381,{'enable': 1},0.028571429,{'SUPPORT': 1},,0,,,0,,0.028571429
obvious,2,{'obvious': 3},{'CLARITY': 3},0.028571429,{'obvious': 1},0.028571429,{'CLARITY': 1},{'obvious': 2},0.057142857,{'CLARITY': 2},,0,,0.042857143
unambigu,1,{'unambiguous': 1},{'CLARITY': 1},0.00952381,{'unambiguous': 1},0.028571429,{'CLARITY': 1},,0,,,0,,0.028571429
glanc,2,{'glance': 2},{'TIME': 2},0.021018062,{'glance': 1},0.028571429,{'TIME': 1},,0,,{'glance': 1},0.034482759,{'TIME': 1},0.031527094
determin,2,{'determine': 2},{'QUERY': 2},0.021018062,{'determine': 1},0.028571429,{'QUERY': 1},,0,,{'determine': 1},0.034482759,{'QUERY': 1},0.031527094
assess,1,{'assess': 1},{'QUERY': 1},0.00952381,{'assess': 1},0.028571429,{'QUERY': 1},,0,,,0,,0.028571429
difficult,3,{'difficult': 11},{'EASINESS': 11},0.112643678,{'difficult': 2},0.057142857,{'EASINESS': 2},{'difficult': 5},0.142857143,{'EASINESS': 5},{'difficult': 4},0.137931034,{'EASINESS': 4},0.112643678
identifi,2,"{'identify': 5, 'identifiable': 1}","{'QUERY': 5, 'UNDERSTAND': 1}",0.066995074,{'identify': 1},0.028571429,{'QUERY': 1},,0,,"{'identifiable': 1, 'identify': 4}",0.172413793,"{'UNDERSTAND': 1, 'QUERY': 4}",0.100492611
poor,1,{'poor': 1},{'GOOD': 1},0.00952381,{'poor': 1},0.028571429,{'GOOD': 1},,0,,,0,,0.028571429
excel,1,{'excellent': 1},{'GOOD': 1},0.00952381,{'excellent': 1},0.028571429,{'GOOD': 1},,0,,,0,,0.028571429
fast,1,{'fast': 1},{'TIME': 1},0.00952381,{'fast': 1},0.028571429,{'TIME': 1},,0,,,0,,0.028571429
find,2,{'find': 4},{'SEARCH': 4},0.044006568,{'find': 1},0.028571429,{'SEARCH': 1},,0,,{'find': 3},0.103448276,{'SEARCH': 3},0.066009852
request,1,{'requested': 1},{'RELEVANT': 1},0.00952381,{'requested': 1},0.028571429,{'RELEVANT': 1},,0,,,0,,0.028571429
sens,1,{'sense': 1},{'UNDERSTAND': 1},0.00952381,{'sense': 1},0.028571429,{'UNDERSTAND': 1},,0,,,0,,0.028571429
confus,3,"{'confused': 2, 'confusing': 8}",{'CLARITY': 10},0.103119869,{'confused': 1},0.028571429,{'CLARITY': 1},{'confusing': 5},0.142857143,{'CLARITY': 5},"{'confused': 1, 'confusing': 3}",0.137931034,{'CLARITY': 4},0.103119869
facilit,1,{'facilitate': 1},{'SUPPORT': 1},0.00952381,{'facilitate': 1},0.028571429,{'SUPPORT': 1},,0,,,0,,0.028571429
quick,2,"{'quick': 1, 'quickly': 3}",{'TIME': 4},0.044006568,{'quick': 1},0.028571429,{'TIME': 1},,0,,{'quickly': 3},0.103448276,{'TIME': 3},0.066009852
chart,1,{'chart': 1},{'VISUALIZATION': 1},0.00952381,{'chart': 1},0.028571429,{'VISUALIZATION': 1},,0,,,0,,0.028571429
discern,2,{'discern': 2},"{'VIEW': 1, 'QUERY': 1}",0.019047619,{'discern': 1},0.028571429,{'VIEW': 1},{'discern': 1},0.028571429,{'QUERY': 1},,0,,0.028571429
grasp,2,{'grasp': 2},{'UNDERSTAND': 2},0.021018062,{'grasp': 1},0.028571429,{'UNDERSTAND': 1},,0,,{'grasp': 1},0.034482759,{'UNDERSTAND': 1},0.031527094
legibl,1,{'legible': 2},{'READ': 2},0.019047619,,0,,{'legible': 2},0.057142857,{'READ': 2},,0,,0.057142857
better,1,{'better': 1},{'GOOD': 1},0.00952381,,0,,{'better': 1},0.028571429,{'GOOD': 1},,0,,0.028571429
suitabl,1,{'suitable': 1},{'SUPPORT': 1},0.00952381,,0,,{'suitable': 1},0.028571429,{'SUPPORT': 1},,0,,0.028571429
lost,1,{'lost': 2},{'GUIDANCE': 2},0.019047619,,0,,{'lost': 2},0.057142857,{'GUIDANCE': 2},,0,,0.057142857
deciph,2,{'decipher': 2},{'UNDERSTAND': 2},0.021018062,,0,,{'decipher': 1},0.028571429,{'UNDERSTAND': 1},{'decipher': 1},0.034482759,{'UNDERSTAND': 1},0.031527094
rich,1,{'rich': 1},{'RICH': 1},0.00952381,,0,,{'rich': 1},0.028571429,{'RICH': 1},,0,,0.028571429
usabl,1,{'usable': 1},{'SUPPORT': 1},0.00952381,,0,,{'usable': 1},0.028571429,{'SUPPORT': 1},,0,,0.028571429
comprehens,1,{'comprehensibly': 1},{'UNDERSTAND': 1},0.00952381,,0,,{'comprehensibly': 1},0.028571429,{'UNDERSTAND': 1},,0,,0.028571429
easili,2,{'easily': 12},{'EASINESS': 12},0.132019704,,0,,{'easily': 3},0.085714286,{'EASINESS': 3},{'easily': 9},0.310344828,{'EASINESS': 9},0.198029557
simplic,1,{'simplicity': 1},{'COMPLEX': 1},0.00952381,,0,,{'simplicity': 1},0.028571429,{'COMPLEX': 1},,0,,0.028571429
speed,1,{'speed': 1},{'TIME': 1},0.00952381,,0,,{'speed': 1},0.028571429,{'TIME': 1},,0,,0.028571429
meaning,2,{'meaningful': 4},"{'RELEVANT': 2, 'MEANING': 2}",0.042036125,,0,,{'meaningful': 2},0.057142857,{'RELEVANT': 2},{'meaningful': 2},0.068965517,{'MEANING': 2},0.063054187
view,1,{'view': 1},{'VIEW': 1},0.00952381,,0,,{'view': 1},0.028571429,{'VIEW': 1},,0,,0.028571429
help,2,"{'helpful': 2, 'help': 2}",{'SUPPORT': 4},0.042036125,,0,,{'helpful': 2},0.057142857,{'SUPPORT': 2},{'help': 2},0.068965517,{'SUPPORT': 2},0.063054187
clean,1,{'clean': 1},{'AESTHETICS': 1},0.00952381,,0,,{'clean': 1},0.028571429,{'AESTHETICS': 1},,0,,0.028571429
bold,1,{'bold': 1},{'VIS TEXT': 1},0.00952381,,0,,{'bold': 1},0.028571429,{'VIS TEXT': 1},,0,,0.028571429
untidi,1,{'untidy': 1},{'CLARITY': 1},0.00952381,,0,,{'untidy': 1},0.028571429,{'CLARITY': 1},,0,,0.028571429
occlud,1,{'occluded': 1},{'CLUTTER': 1},0.00952381,,0,,{'occluded': 1},0.028571429,{'CLUTTER': 1},,0,,0.028571429
guid,1,{'guide': 1},{'GUIDANCE': 1},0.00952381,,0,,{'guide': 1},0.028571429,{'GUIDANCE': 1},,0,,0.028571429
strong,1,{'strong': 1},{'SUPPORT': 1},0.00952381,,0,,{'strong': 1},0.028571429,{'SUPPORT': 1},,0,,0.028571429
judg,1,{'judge': 1},{'QUERY': 1},0.00952381,,0,,{'judge': 1},0.028571429,{'QUERY': 1},,0,,0.028571429
disorient,1,{'disorientating': 1},{'GUIDANCE': 1},0.00952381,,0,,{'disorientating': 1},0.028571429,{'GUIDANCE': 1},,0,,0.028571429
unexpect,2,{'unexpected': 2},{'EXPECTATION': 2},0.021018062,,0,,{'unexpected': 1},0.028571429,{'EXPECTATION': 1},{'unexpected': 1},0.034482759,{'EXPECTATION': 1},0.031527094
distinguish,1,{'distinguish': 3},{'CLARITY': 3},0.028571429,,0,,{'distinguish': 3},0.085714286,{'CLARITY': 3},,0,,0.085714286
encod,2,"{'encoding': 3, 'encoded': 1, 'encodings': 1}",{'ENCODINGS': 5},0.055500821,,0,,{'encoding': 1},0.028571429,{'ENCODINGS': 1},"{'encoding': 2, 'encoded': 1, 'encodings': 1}",0.137931034,{'ENCODINGS': 4},0.083251232
spars,1,{'sparse': 1},{'CLUTTER': 1},0.00952381,,0,,{'sparse': 1},0.028571429,{'CLUTTER': 1},,0,,0.028571429
instant,1,{'instantly': 1},{'TIME': 1},0.00952381,,0,,{'instantly': 1},0.028571429,{'TIME': 1},,0,,0.028571429
cognit,1,{'cognitive': 1},{'REASON': 1},0.00952381,,0,,{'cognitive': 1},0.028571429,{'REASON': 1},,0,,0.028571429
