collected terms from paperFound,,,,,,,,,,,,,,,,,,,,,
flag,original words,count keywords,keyword,dimension,comment,type,subject,object,item 1,item 2,item 3,doi link,terms to keep,keyword,side notes,,unique terms,count terms,,unique kewords,count keywords
FALSE,assessable,1,assess ++,meaning,,verb,user,feature or element; information,{information feature} is easy to assess in (/with?) this visualization,this visualization allows (/enables?) me to (easily) assess {information feature} ++,I can (easily) assess {information feature} in (/with?) this visualization,https://dx.doi.org/10.1109/TVCG.2010.194,readability,readable,,,able to determine,1,,assess,1
FALSE,clear arrangement; clearly visible; see clearly; clear to understand,2,clear ++,clarity,,adjective,visualization,information,this visualization is clear ++,"In this visualization, it is clear what information is being presented",,https://dx.doi.org/10.1109/TVCG.2010.194,ease of use,ease of use,,,able to read,1,,clear,2
FALSE,visually cluttered; clutter; visual clutter; low clutter,1,cluttered ++,clarity,,adjective,visualization,visualization,this visualization is cluttered ++,,,https://dx.doi.org/10.1109/TVCG.2010.194,visually cluttered,cluttered; visually,,,assessable,1,,"clear, arrangement",1
FALSE,confidence; confident,1,confidence --,confidence,,noun,user,information,I feel confident about my understanding of this visualization,this visualization allows me to feel confident about my answers,,https://dx.doi.org/10.1109/TVCG.2011.186,confidence,confidence,,,at a glance,1,,"clear, visible",1
FALSE,I am confused,2,confusion --,confidence; meaning,,noun,user,information; visualization,this visualization makes me confused,,,https://dx.doi.org/10.1109/TVCG.2011.186,effectiveness,effective,,,clear arrangement,1,,cluttered,2
FALSE,able to determine,1,determine --,confidence; meaning,,verb,user,information,{information feature} is easy to determine in (/with?) this visualization,this visualization allows (/enables?) me to (easily) determine {information feature},I can (easily) determine {information feature} in (/with?) this visualization,https://dx.doi.org/10.1109/TVCG.2011.186,frustration,frustration,,,clear to understand,1,,"cluttered, visual",1
FALSE,discernability,1,discern ++,sensory,,verb,user,feature or element,(all) the elements (/components?) of this visualization are discernable,I can (easily) discern (all) the elements (/components?) of this visualization ++,,https://dx.doi.org/10.1109/TVCG.2011.186,easy,easy,,,clearly visible,1,,cluttered; visually,1
FALSE,ease of use,2,ease of use --,use,,adjective,visualization,visualization,this visualization is easy to use,,,https://dx.doi.org/10.1109/TVCG.2011.186,clutter,cluttered,,,clutter,1,,confidence,2
FALSE,easy / difficult,1,easy ++,use,easy to extract information,adjective,visualization,visualization,{information feature} is easy to extract from this visualization ++,,,https://dx.doi.org/10.1109/TVCG.2011.186,enjoyment,enjoy,,,confidence,1,,"confidence, answer, correct",1
FALSE,effectiveness,1,effective ++,use,extracting information was effective,adjective,visualization,visualization,extracting {information feature} from this visualization was effective,I can effectively extract information from this visualization ++,,https://dx.doi.org/10.1109/TVCG.2011.186,simplicity,simple,Fom instructions in study 2 (not readability likert scale),,confident,1,,confusion,1
FALSE,efficiency,1,efficient ++,use,effective vs efficient ??,adjective,visualization,visualization,it was efficient to extract {information feature} from this visualization ++,,,https://dx.doi.org/10.1109/TVCG.2011.186,ease to follow,"ease, follow",Fom instructions in study 2 (not readability likert scale),,discernability,1,,determine,1
FALSE,enjoyment,1,enjoy --,use; aesthetics,,verb,user,visualization,I enjoy this visualization,,,https://dx.doi.org/10.1109/TVCG.2011.193,intuitive,intuitive,,,ease of use,2,,discern,1
FALSE,fast to find the information,4,fast ++,speed,,adjective,user,visualization,{information feature} is fast to extract from this visualization,{information feature} is fast to retrieve from this visualization,,https://dx.doi.org/10.1109/TVCG.2011.183,the information was clearly visible,visible,(2 keywords => duplicated),,ease of use for the task,1,,ease of use,4
FALSE,ease to follow,1,follow --,clarity; use; focus,,verb,user,information,this visualization is easy to follow,{information feature} is easy to follow with this visualization,,https://dx.doi.org/10.1109/TVCG.2011.183,the technique introduced a high amount of visual clutter,"cluttered, visual",,,ease to follow,1,,"ease, follow",1
FALSE,frustration,2,frustration --,use,,noun,user,visualization,this visualization is frustrating,,,https://dx.doi.org/10.1109/TVCG.2012.255,clear arrangement,"clear, arrangement",,,easy,1,,easy,2
FALSE,at a glance,1,glance --,speed; clarity; meaning; focus,"cf overview, grasp",noun,user,information,I can apprehend this visualization at a glance,I can get the idea of this visualization at a glance,this visualization is understandable at a glance,https://dx.doi.org/10.1109/TVCG.2012.225,is it easy or hard to interpret the feature of the visualization?,"easy, hard, interpret",,,easy / difficult,1,,"easy, hard, interpret",1
FALSE,good visual design,1,good --,aesthetics,,adjective,visualization,visualization,this visualization is good,,,https://dx.doi.org/10.1109/TVCG.2012.225,is it easy or hard to understand the factors correlated with the visualization feature?,"easy, hard, understand",,,easy / difficult to identify,1,,"easy, hard, understand",1
FALSE,graspable,1,grasp ++,meaning,,verb,user,information,this visualization is (easily) graspable (/easy to grasp?),I can easily grasp information (/the meaning?) from this visualization,{information feature} is easily to grasp in this visualization,https://dx.doi.org/10.1109/TVCG.2012.189,effectiveness,effective,,,easy / hard to interpret,1,,"easy, learn",1
FALSE,easy / difficult to identify,1,identify --,sensory; clarity; meaning; use,,verb,user,information,{information feature} is easy to identify in this visualization,this visualization allows (/enables?) me to (easily) identify {information feature},,https://dx.doi.org/10.1109/TVCG.2012.189,prefered look,look,,,easy to learn and understand,1,,"easy, understand",1
FALSE,easy / hard to interpret; interpret; interpretable,2,interpret ++,meaning,,verb,user,information,this visualization is easy to interpret,this visualization is (easily) interpretable,,https://dx.doi.org/10.1109/TVCG.2013.151,easy to learn to read,"learn, easy, read",,,easy to learn to read,1,,effective,2
FALSE,intuitive,1,intuitive ++,use,understanding / extracting info,verb,visualization,visualization,this visualization is intuitive,this visualization is intuitive to understand,this visualization is intuitive to use,https://dx.doi.org/10.1109/TVCG.2013.151,confident,confidence,,,easy to read,1,,enjoy,1
