,index,Tokens_originals,Originals,Sources,Originals_count,Sources_count,Sources_density,Originals_density,Sources_use_density
0,readabl,"{'readable': 2, 'readability': 1}","['our users who rightly noted that only one level of the tree was even readable at a time (lowerlevels were “visible” but never readable).', 'The continuous timeline requires more space for each record and looks more complicated. The binned timeline is more compact, simpler and therefore more readable. It gives users less detail to interpret.', 'Six audience participants chose PowerPoint as a preferred system mainly because of the readability. They mentioned that PowerPoint was “easier to read,” “legible,” and “easier to see and read.” Another reason by two audience participants was familiarity. For example, P14 stated that “The ease of visibility understanding the flow, the cleanness of the graphics in each slide the boldness of the fonts much easier to follow along with it as I was more familiar with it.”\n(...)\nSome audience participants preferred PowerPoint because SketchStory looked untidy and cluttered for them. Furthermore, one major issue with SketchStory for the audience was readability; each chart did not have a title like a PowerPoint slide and the fonts for the numbers and labels were too small. An audience participant mentioned that it would be nice to have the capability of maximizing one chart since it would alleviate the readability problem. It could be helpful to incorporate existing sketch beautification algorithms and to support adaptive font size.']","['https://dx.doi.org/10.1109/INFVIS.2002.1173148', 'https://dx.doi.org/10.1109/VAST.2009.5332595', 'https://dx.doi.org/10.1109/TVCG.2013.191']",3,3,0.08571428571428572,0.08571428571428572,1.0
1,visibl,"{'visible': 2, 'visibility': 1}","['our users who rightly noted that only one level of the tree was even readable at a time (lowerlevels were “visible” but never readable).', 'Six audience participants chose PowerPoint as a preferred system mainly because of the readability. They mentioned that PowerPoint was “easier to read,” “legible,” and “easier to see and read.” Another reason by two audience participants was familiarity. For example, P14 stated that “The ease of visibility understanding the flow, the cleanness of the graphics in each slide the boldness of the fonts much easier to follow along with it as I was more familiar with it.”\n(...)\nSome audience participants preferred PowerPoint because SketchStory looked untidy and cluttered for them. Furthermore, one major issue with SketchStory for the audience was readability; each chart did not have a title like a PowerPoint slide and the fonts for the numbers and labels were too small. An audience participant mentioned that it would be nice to have the capability of maximizing one chart since it would alleviate the readability problem. It could be helpful to incorporate existing sketch beautification algorithms and to support adaptive font size.', 'comments sorted under ""Visibility"" (from additional content of the paper):\n\nEasy to find the names\nHard/confusing to find people\nEverything is visible\nI cannot see everything at once/I want to zoom out or summarization view\nSummary of selections needed\nTook too much space\nCrowded view\nHaving a big map is convenient\nConfusing to have several maps\nIt shows things better']","['https://dx.doi.org/10.1109/INFVIS.2002.1173148', 'https://dx.doi.org/10.1109/TVCG.2013.191', 'https://dx.doi.org/10.1109/TVCG.2022.3209480']",3,3,0.08571428571428572,0.08571428571428572,1.0
2,legibl,{'legible': 2},"['Suggestions for improvement had several themes: size and legibility; animation; and more brushing. Size and legibility refer the general visualization and labels specifically.', 'Six audience participants chose PowerPoint as a preferred system mainly because of the readability. They mentioned that PowerPoint was “easier to read,” “legible,” and “easier to see and read.” Another reason by two audience participants was familiarity. For example, P14 stated that “The ease of visibility understanding the flow, the cleanness of the graphics in each slide the boldness of the fonts much easier to follow along with it as I was more familiar with it.”\n(...)\nSome audience participants preferred PowerPoint because SketchStory looked untidy and cluttered for them. Furthermore, one major issue with SketchStory for the audience was readability; each chart did not have a title like a PowerPoint slide and the fonts for the numbers and labels were too small. An audience participant mentioned that it would be nice to have the capability of maximizing one chart since it would alleviate the readability problem. It could be helpful to incorporate existing sketch beautification algorithms and to support adaptive font size.']","['https://dx.doi.org/10.1109/TVCG.2009.176', 'https://dx.doi.org/10.1109/TVCG.2013.191']",2,2,0.05714285714285714,0.05714285714285714,1.0
3,simpl,{'simple': 4},"['The continuous timeline requires more space for each record and looks more complicated. The binned timeline is more compact, simpler and therefore more readable. It gives users less detail to interpret.', 'Based on free response questions and interviews with the moderator, participants felt overall that Outflow was “pretty”, “looks cool”, and that the colors were “very meaningful”. They said that it provides a “good high level view” that encodes a lot of information into a single “simple to follow” visualization. In addition, users felt that the ability to see outcome associated with alternative paths out of (or into) a given state, and not just the state itself, is a powerful feature. “I like the difference between states and transitions [which allowed me] to compare two paths to the same state and to understand differences.” Another participant commented that “highlighting of paths was very helpful.”', 'Hiding arrows using A and EA, if important structures would be occluded, made sense to all participants. However, for this task, it was confusing because direction information was missing in dense regions. This indicates that the correctness could have suffered because the participants started guessing. In contrast, the completion time might have been increased because it takes longer to come to a decision. Visualization with C and T can be recognized very well in dense regions; this is especially true for T because it is very simple. These two methods are also reported to be pleasant, since they guide the eyes. The direction encoding with C was not intuitive for some participants.\n(...)\nThe participants commented that the splats used in SP made it hard to decide between two similar clusters because there is nearly no difference in brightness. However, the SP enabled them to identify locations within a cluster where several points are very close to each other. Some had the feeling that they solved the task faster when NSP was used. All participants commented that this task was in general hard to solve.', 'The majority of the participants pre- ferred C the most because of its ""simple shape."" They found the shape of glyph A and B to be ""complex"" as the superquadric glyphs took a concave shape for the indefinite tensors. Some participants commented that they did not find it necessary to highlight indefinite tensors through this change in shape. Many participants said because of the ""simple shape"" of C it was easier to learn C compared to A and B. Few users found that the ""pointy feature"" of glyph A and B for indefinite tensors helped in better estimating the principal directions compared to the ""convex or rounded shape"" of C. Two users suggested that having a glyph with a similar ""pointy features"" of extended SQ glyph along all the principal directions will be better in estimating all the principal directions than the ""convex shape"" of glyph C.']","['https://dx.doi.org/10.1109/VAST.2009.5332595', 'https://dx.doi.org/10.1109/TVCG.2012.189', 'https://dx.doi.org/10.1109/TVCG.2014.2346420', 'https://dx.doi.org/10.1109/TVCG.2020.2968911']",4,4,0.11428571428571428,0.11428571428571428,1.0
4,better,{'better': 1},"['We also collected written comments from our participants. Eight participants expressed that LineSets were better for identifying intersections of sets and looking for common attributes between two elements. Ten participants expressed Bubble Sets as not being suitable for these tasks.\n\nParticipants were divided over the size comparison task: 6 expressed their preference for LineSets, 6 for Bubble Sets. We observed that participants who actually counted the set elements preferred LineSets, while participants who tried to estimate the size of sets preferred Bubble Sets. Two participants expressed that Bubble Sets gave them a better sense of “grouping”, yet one still preferred LineSets for the tasks they performed in the experiment.\n\nSeveral participants commented that single continuous lines were tortuous and difficult to follow when intersecting with others. They commented that when they got lost, they went back to the beginning of the line and resumed the counting, which may partly explain the decrease of performance using LineSets.']",['https://dx.doi.org/10.1109/TVCG.2011.186'],1,1,0.02857142857142857,0.02857142857142857,1.0
5,suitabl,{'suitable': 1},"['We also collected written comments from our participants. Eight participants expressed that LineSets were better for identifying intersections of sets and looking for common attributes between two elements. Ten participants expressed Bubble Sets as not being suitable for these tasks.\n\nParticipants were divided over the size comparison task: 6 expressed their preference for LineSets, 6 for Bubble Sets. We observed that participants who actually counted the set elements preferred LineSets, while participants who tried to estimate the size of sets preferred Bubble Sets. Two participants expressed that Bubble Sets gave them a better sense of “grouping”, yet one still preferred LineSets for the tasks they performed in the experiment.\n\nSeveral participants commented that single continuous lines were tortuous and difficult to follow when intersecting with others. They commented that when they got lost, they went back to the beginning of the line and resumed the counting, which may partly explain the decrease of performance using LineSets.']",['https://dx.doi.org/10.1109/TVCG.2011.186'],1,1,0.02857142857142857,0.02857142857142857,1.0
6,difficult,{'difficult': 5},"['We also collected written comments from our participants. Eight participants expressed that LineSets were better for identifying intersections of sets and looking for common attributes between two elements. Ten participants expressed Bubble Sets as not being suitable for these tasks.\n\nParticipants were divided over the size comparison task: 6 expressed their preference for LineSets, 6 for Bubble Sets. We observed that participants who actually counted the set elements preferred LineSets, while participants who tried to estimate the size of sets preferred Bubble Sets. Two participants expressed that Bubble Sets gave them a better sense of “grouping”, yet one still preferred LineSets for the tasks they performed in the experiment.\n\nSeveral participants commented that single continuous lines were tortuous and difficult to follow when intersecting with others. They commented that when they got lost, they went back to the beginning of the line and resumed the counting, which may partly explain the decrease of performance using LineSets.', 'We categorized the difficult aspects described by our participants into two major areas: cross-boundary edges and nesting. Nine out of 14 participants commented that the cross-boundary edges (especially from a node inside a module to a different module) were the most difficult aspect of these diagrams. Five participants explicitly said that these were the most likely cause of their errors. Four of our 14 participants identified nesting as causing them problems; three of these did not mention the cross-boundary edges at all. Finally, one participant commented that, at first, the most confusing aspect of these diagrams was the affordance of the visual grouping into modules. He explained that such grouping naturally conveyed to him that nodes within a module are directly connected (clique). While training helped, he struggled against this instinctive decoding of the diagram throughout the trials.', 'Comparing diff to side-by-side, PD08 said “it’s [side-by-side] a lot easier to tell what the overall latency is for each operation. . . . [the nodes are] all put together without any gaps in the middle.” SD09 said, “With [side-by-side], I can more easily see this is happening here before and after. Without the dashed lines, you can’t see which event in the previous trace corresponds to the after trace.”\n(...)\nPD06 complained that it was more difficult to match up large changes since the matching counterpart could be off the screen.\n(...)\nin each request, would remain. Second, when nodes are very close to another, correspondence lines became too cluttered and difficult to use. This led to complaints from several participants', '2D straight was found to be easy for small data sets, however, lines were found to be hard to distinguish due to increasing overlaps in large data sets. Several participants reported: “I answered sometimes with a very low confidence, close to luck.”\n2D curve was found to have fewer overlaps than 2D straight. However, many participants reported the curvature made it difficult to follow lines, and sometimes, the curvature was found to be unexpected, which apparently increased difficulty.\n(...)\n3D distance was easy to distinguish flows. “This one left enough gaps between the curves to clearly distinguish the curves” and “it was visually appealing.” However, a few participants commented they felt more confident with 3D quantity, and a few commented that this might be due to the double encoding used by 3D quantity (3D quantity encodes quantity with height and width).\n(...)\nGlobe was found to be the most intuitive. Many participants also commented that the visualisation “felt very sparse so it was easy to tell which lines were connected to the points”.', 'Reviewing open-ended feedback showed us that difficulty under standing was attributed to unfamiliarity with a visualization: “It was somewhat challenging because I’m not familiar with this type of graph. Additionally, the abstract nature of our graph systems, and also novelty effects influenced difficulty. P111 says, “Their abstract nature was the most difficult to understand. Observing this with a real life example would make it easier to visualize and conceptualize.” Finally, our participants indicated that they used both visualization and narratives for causal inference: “I think having both the summary and the color coded chart makes it much easier to understand [...].”']","['https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2013.151', 'https://dx.doi.org/10.1109/TVCG.2013.233', 'https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2020.3030358']",5,5,0.14285714285714285,0.14285714285714285,1.0
7,follow,{'follow': 1},"['We also collected written comments from our participants. Eight participants expressed that LineSets were better for identifying intersections of sets and looking for common attributes between two elements. Ten participants expressed Bubble Sets as not being suitable for these tasks.\n\nParticipants were divided over the size comparison task: 6 expressed their preference for LineSets, 6 for Bubble Sets. We observed that participants who actually counted the set elements preferred LineSets, while participants who tried to estimate the size of sets preferred Bubble Sets. Two participants expressed that Bubble Sets gave them a better sense of “grouping”, yet one still preferred LineSets for the tasks they performed in the experiment.\n\nSeveral participants commented that single continuous lines were tortuous and difficult to follow when intersecting with others. They commented that when they got lost, they went back to the beginning of the line and resumed the counting, which may partly explain the decrease of performance using LineSets.']",['https://dx.doi.org/10.1109/TVCG.2011.186'],1,1,0.02857142857142857,0.02857142857142857,1.0
8,lost,{'lost': 2},"['We also collected written comments from our participants. Eight participants expressed that LineSets were better for identifying intersections of sets and looking for common attributes between two elements. Ten participants expressed Bubble Sets as not being suitable for these tasks.\n\nParticipants were divided over the size comparison task: 6 expressed their preference for LineSets, 6 for Bubble Sets. We observed that participants who actually counted the set elements preferred LineSets, while participants who tried to estimate the size of sets preferred Bubble Sets. Two participants expressed that Bubble Sets gave them a better sense of “grouping”, yet one still preferred LineSets for the tasks they performed in the experiment.\n\nSeveral participants commented that single continuous lines were tortuous and difficult to follow when intersecting with others. They commented that when they got lost, they went back to the beginning of the line and resumed the counting, which may partly explain the decrease of performance using LineSets.', 'participants commented that the linear design helped them browsing elements (H4). On the contrary, 7 out of 13 commented on the fact that the lines were “wiggly and visually distracting when counting the elements”, “intersecting in a confusing way” and “hard to tell apart”. A few participants also commented that they would get lost following the lines and had to start counting again from the beginning.\n\nparticipants commented that “the overlapping color blobs made it near impossible to figure out how many were overlapping”, “creating visual chaos” and a few participants commented that they “could not find a thing in there”.']","['https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2013.76']",2,2,0.05714285714285714,0.05714285714285714,1.0
9,deciph,{'decipher': 1},['Participants’ feedback from the questionnaire was also clearly against the superimposed chart and it was ranked lowest by all but one participant. Participants called it very confusing and demanding too much concentration or reflection to decipher the non-monotonic and discontinuous nature of the two scales. One participant commented that the different visual markers which were necessary to depict data in this chart were a major reason for his confusion.'],['https://dx.doi.org/10.1109/TVCG.2011.160'],1,1,0.02857142857142857,0.02857142857142857,1.0
