stems,Tokens,Sources_count,Sources_density
abnorm,{'abnormal': 1},1,0.034482758620689655
amount,{'amount': 1},1,0.034482758620689655
attent,{'attention': 1},1,0.034482758620689655
caption,{'caption': 1},1,0.034482758620689655
characterist,{'characteristics': 1},1,0.034482758620689655
choic,{'choices': 1},1,0.034482758620689655
cluster,{'clusters': 1},1,0.034482758620689655
clutter,"{'clutter': 1, 'cluttered': 2}",3,0.10344827586206896
communiti,{'communities': 1},1,0.034482758620689655
compon,{'components': 1},1,0.034482758620689655
context,{'context': 1},1,0.034482758620689655
data,{'data': 8},8,0.27586206896551724
decis,{'decisions': 1},1,0.034482758620689655
descript,{'description': 1},1,0.034482758620689655
design,{'design': 1},1,0.034482758620689655
detail,{'details': 3},3,0.10344827586206896
direct,{'direction': 1},1,0.034482758620689655
element,{'elements': 1},1,0.034482758620689655
encod,"{'encoding': 2, 'encoded': 1, 'encodings': 1}",4,0.13793103448275862
entiti,{'entities': 1},1,0.034482758620689655
entri,{'entry': 1},1,0.034482758620689655
everyth,{'everything': 1},1,0.034482758620689655
expertis,{'expertise': 1},1,0.034482758620689655
expert,{'experts': 1},1,0.034482758620689655
fact,{'fact': 1},1,0.034482758620689655
featur,{'features': 1},1,0.034482758620689655
general,{'general': 1},1,0.034482758620689655
group,{'groups': 1},1,0.034482758620689655
hierarchi,{'hierarchy': 1},1,0.034482758620689655
inform,"{'information': 11, 'informative': 2}",12,0.41379310344827586
insight,{'insight': 1},1,0.034482758620689655
key,{'key': 1},1,0.034482758620689655
lay,{'lay': 1},1,0.034482758620689655
legend,{'legend': 2},2,0.06896551724137931
level,{'level': 1},1,0.034482758620689655
main,{'main': 3},3,0.10344827586206896
major,{'major': 1},1,0.034482758620689655
map,{'mapping': 1},1,0.034482758620689655
mean,"{'meaning': 4, 'means': 1}",5,0.1724137931034483
messag,"{'message': 5, 'messages': 1}",6,0.20689655172413793
other,{'others': 2},2,0.06896551724137931
outlier,{'outliers': 4},4,0.13793103448275862
overview,{'overview': 2},2,0.06896551724137931
pattern,"{'pattern': 2, 'patterns': 5}",7,0.2413793103448276
person,{'person': 1},1,0.034482758620689655
point,"{'point': 1, 'points': 1}",2,0.06896551724137931
properti,{'properties': 1},1,0.034482758620689655
question,"{'question': 1, 'questions': 1}",2,0.06896551724137931
read,"{'reading': 1, 'read': 6}",7,0.2413793103448276
relationship,{'relationships': 3},3,0.10344827586206896
represent,{'representations': 1},1,0.034482758620689655
select,{'selection': 1},1,0.034482758620689655
similar,{'similar': 1},1,0.034482758620689655
skill,{'skills': 1},1,0.034482758620689655
stori,{'story': 1},1,0.034482758620689655
structur,{'structure': 1},1,0.034482758620689655
trend,"{'trend': 2, 'trends': 2}",4,0.13793103448275862
understand,"{'understand': 16, 'understanding': 1}",16,0.5517241379310345
valu,{'values': 3},3,0.10344827586206896
visual,"{'visual': 4, 'visually': 2}",6,0.20689655172413793
clear,"{'clear': 4, 'clearly': 7}",8,0.27586206896551724
color,"{'color': 2, 'colors': 2}",4,0.13793103448275862
communic,"{'communicate': 2, 'communicated': 1}",2,0.06896551724137931
