,index,Tokens_originals,Originals,Sources,Originals_count,Sources_count,Sources_density,Originals_density,Sources_use_density
0,readabl,"{'readable': 4, 'readability': 1}","['readability', 'this graph has good readability', 'readable', 'poor / excellent readability', 'readability']","['https://dx.doi.org/10.1109/TVCG.2010.194', 'https://dx.doi.org/10.1109/TVCG.2020.3030404', 'https://dx.doi.org/10.1109/TVCG.2020.3030388', 'https://dx.doi.org/10.1109/TVCG.2016.2642109', 'https://dx.doi.org/10.1109/TVCG.2021.3085327']",5,5,0.14285714285714285,0.07462686567164178,1.0
1,eas,{'ease': 4},"['ease of use', 'ease to follow', 'ease of use', 'ease of use for the task']","['https://dx.doi.org/10.1109/TVCG.2010.194', 'https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2020.3004137']",4,4,0.11428571428571428,0.05970149253731343,1.0
2,use,{'use': 4},"['ease of use', 'ease of use', 'ease of use for the task', 'easy to use for understanding']","['https://dx.doi.org/10.1109/TVCG.2010.194', 'https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2020.3004137', 'https://dx.doi.org/10.1109/TVCG.2021.3114789']",4,4,0.11428571428571428,0.05970149253731343,1.0
3,clutter,{'cluttered': 4},"['visually cluttered', 'clutter', 'the technique introduced a high amount of visual clutter', 'low clutter']","['https://dx.doi.org/10.1109/TVCG.2010.194', 'https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2011.183', 'https://dx.doi.org/10.1109/TVCG.2013.151']",4,4,0.11428571428571428,0.05970149253731343,1.0
4,visual,"{'visually': 1, 'visual': 3, 'visualization': 1}","['visually cluttered', 'the technique introduced a high amount of visual clutter', 'it was easy to interpret the data values in the visualization', 'good visual design', 'the visual design is intuitive']","['https://dx.doi.org/10.1109/TVCG.2010.194', 'https://dx.doi.org/10.1109/TVCG.2011.183', 'https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2018.2835485']",5,5,0.14285714285714285,0.07462686567164178,1.0
5,confid,{'confidence': 3},"['confidence', 'confident', 'I am confident that my answers were correct when using this method']","['https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2013.151', 'https://dx.doi.org/10.1109/TVCG.2013.180']",3,3,0.08571428571428572,0.04477611940298507,1.0
6,effect,{'effective': 2},"['effectiveness', 'effectiveness']","['https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2012.189']",2,2,0.05714285714285714,0.029850746268656716,1.0
7,frustrat,{'frustration': 1},['frustration'],['https://dx.doi.org/10.1109/TVCG.2011.186'],1,1,0.02857142857142857,0.014925373134328358,1.0
8,easi,{'easy': 16},"['easy', 'is it easy or hard to interpret the feature of the visualization?', 'is it easy or hard to understand the factors correlated with the visualization feature?', 'easy to learn to read', 'it was easy to gain a good overview of the data', 'it was easy to understand the information displayed with this method', 'it was easy to interpret the data values in the visualization', 'easy / difficult', 'symbols were easy to read, the text was easy to read', 'it was easy to see the link between two components', 'easy to understand', 'feature easy to perceive', 'easy / hard to interpret', 'easy to understand', 'easy / difficult to identify', 'easy to understand', 'easy to use for understanding', 'easy to learn and understand', 'which of these charts is quicker and easier to read?', 'easy to read']","['https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2012.225', 'https://dx.doi.org/10.1109/TVCG.2012.225', 'https://dx.doi.org/10.1109/TVCG.2013.151', 'https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2014.2346983', 'https://dx.doi.org/10.1109/TVCG.2015.2467035', 'https://dx.doi.org/10.1109/TVCG.2015.2467035', 'https://dx.doi.org/10.1109/TVCG.2015.2467872', 'https://dx.doi.org/10.1109/TVCG.2017.2745941', 'https://dx.doi.org/10.1109/TVCG.2018.2865049', 'https://dx.doi.org/10.1109/TVCG.2020.3030358', 'https://dx.doi.org/10.1109/MCG.2016.100', 'https://dx.doi.org/10.1109/TVCG.2019.2941208', 'https://dx.doi.org/10.1109/TVCG.2021.3114789', 'https://dx.doi.org/10.1109/TVCG.2022.3209475', 'https://dx.doi.org/10.1109/TVCG.2021.3092680', 'https://dx.doi.org/10.1109/TVCG.2022.3163727']",20,20,0.5714285714285714,0.29850746268656714,1.0
9,enjoy,{'enjoy': 1},['enjoyment'],['https://dx.doi.org/10.1109/TVCG.2011.186'],1,1,0.02857142857142857,0.014925373134328358,1.0
10,simpl,{'simple': 1},['simplicity'],['https://dx.doi.org/10.1109/TVCG.2011.186'],1,1,0.02857142857142857,0.014925373134328358,1.0
