"Somewhat relevant:
59","To keep:
34",DOI,Title,Year,Term found from search script,Type of visualization in the study,Type of likert scale used in study,Likert terms found,Likert term context (how researchers refer to the items in the publication),Terms to keep for our scale,whole questionnaire (if available)
True,True,https://dx.doi.org/10.1109/TVCG.2010.194,SparkClouds: Visualizing Trends in Tag Clouds,2010,readab; legib; likert; ,trends,"1 to 7 (1 = Strongly Disagree, 7 = Strongly Agree)

1 to 4 overall preference ranking (1 = most preferred visualization, 4 = least preferred visualization)",readability (visualization); like (interface); ease of use (visualization); effectiveness (visualization for task); visually cluttered (visualization),"Participants rated each of the four visualizations across eight satisfaction criteria including ease of learning, ease of use, effectiveness for use in performing the task, and appearance (liking the interface).

ease of use, readability of the topic terms, liking the interface, learnability, efficiency of use, comparing topics within a month, comparing topics between months; the question regarding overall appearance (“The visualization looked cluttered.”)

A final question that asked participants to provide an overall preference ranking (1=most preferred visualization, 4=least preferred visualization)",readability; ease of use; visually cluttered,
True,True,https://dx.doi.org/10.1109/TVCG.2011.186,"Design Study of LineSets, a Novel Set Visualization Technique",2011,readab; likert; ,node-links; maps,"Study 1: readability evaluation
1 to 5

Study 2: global evaluation
pairwise preference (Left, Right, No Preference)","confidence (user); effectiveness (visualization); frustration (user); ease (? visualization); clutter (visualization); enjoyment (user);

simplicity; aesthetics; ease to follow","Study 1: evaluating readability (participants recruited among researchers)
We asked 12 users to answer readability questions for both representations for varying data set complexity and size in two contexts (map and social network). (...)Subjective user ratings from the readability study satisfaction scores on multiple criteria: preference, confidence, accuracy, and frustration, using a Likert scale from 1 to 5.

Study 2: evaluating paths preferences (participants not specified)
We told them the decision criteria were “simplicity”, “aesthetics” and what felt easy to follow",confidence; effectiveness; frustration; ease; clutter; enjoyment; simplicity; ease to follow,
True,True,https://dx.doi.org/10.1109/TVCG.2011.193,"Evaluation of Traditional, Orthogonal, and Radial Tree Diagrams by an Eye Tracking Study",2011,readab; likert; ,node-links,1 to 5,motivating; intuitive; suitable; helpful,"fill out which tree layout they found most motivating, most intuitive, and most suitable to perform the given task.",intuitive;,
True,True,https://dx.doi.org/10.1109/TVCG.2011.183,Context-Preserving Visual Links,2011,readab; legib; likert;,paths;,1 to 7,find quickly (user); I did not miss any (user); mentally demanding (task); clearly visible (information in visualization); visual clutter (visualization); visually pleasing (visualization); beneficial for my work (visualization),"After each condition, the users were required to assess their subjective satisfaction with the highlighting technique on a questionnaire containing seven questions.

subjective speed: find very quickly;
subjective correctness: I did not miss any element;
mental demand: was very mentally demanding;
background visibility: information was clearly visible;
clutter: amount of visual clutter;
visual attractiveness: visually pleasing;
usefulness: would be beneficial for my work",clearly visible; visual clutter,"subjective speed: I could find highlighted elements very quickly
subjective correctness: I am sure I did not miss any highlighted element
mental demand: The task was very mentally demanding
background visibility: The background (non-highlighted) information was clearly visible
amount of visual clutter: The highlighting technique introduced a high amount of visual clutter
visual attractiveness: The highlighting technique was visually pleasing
usefulness: The highlighting technique would be beneficial for my every day computer work
+ overall preference scores"
True,True,https://dx.doi.org/10.1109/TVCG.2012.255,RelEx: Visualization for Actively Changing Overlay Network Specifications,2012,readab; likert;,matrix; node-links;,1 to 5 (best to worst),mean similarity; clear arrangement,"We did gather quantitative subjective ratings using a questionnaire about tool use for a set of four representative and open tasks, where the suitability of the tools for each task was rated using 5-point Likert scales.",clear arrangement;,
True,True,https://dx.doi.org/10.1109/TVCG.2012.225,"Exploring Flow, Factors, and Outcomes of Temporal Event Sequences with the Outflow Visualization",2012,legib; likert;,flows; paths,"1 to 7 (1 = very easy, 7 = very hard)",learn (system); interpret (visualization feature); understand (information from visualization); find (information in visualization),"At the end of their study session, participants completed a questionnaire. It contained eight questions (Q1–Q8) The questionnaire also included free response questions to gather more subjective feedback.

!!! in the questionnairem the words ""state"" and ""transitions"" refer to visual features of the visualization",easy / hard to interpret; easy / hard to understand;,"Q1. Is it easy or hard to learn how to use?
Q2. Is it easy or hard to interpret proportion of states?
Q3. Is it easy or hard to interpret proportion of transitions?
Q4. Is it easy or hard to interpret transition time?
Q5. Is it easy or hard to interpret outcome of states?
Q6. Is it easy or hard to interpret outcome of transitions?
Q7. Is it easy or hard to understand factors correlated with transitions?
Q8. Is it easy or hard to find a particular state in the graph?"
True,True,https://dx.doi.org/10.1109/TVCG.2012.189,A User Study on Curved Edges in Graph Visualization,2012,readab; likert; ,node-links;,1 to 5,effectiveness (visualization feature); prefered look (visualization feature),"In this paper we present two experiments studying the impact of edge curvature on graph readability.

They were asked which edge type they preferred aesthetically and which they felt was most effective 
for the tasks. (...) user preference on effectiveness and look of edge type
(...) Figure 9(e) shows the aesthetics preference data and the y-axis is the number of participants that selected that edge type as the preferred one.",effectiveness; prefered look,
True,True,https://dx.doi.org/10.1109/TVCG.2013.151,Edge Compression Techniques for Visualization of Dense Directed Graphs,2013,readab; likert;,node-links;,5 points,easy to learn (to read the visualization); confident (user); low clutter (visualization),"We experimentally tested whether people with little graph expertise can learn to read such representations depending on the type and degree 
of edge compression. To our knowledge, we report the first empirical studies involving human participants on the readability of these techniques.",easy to learn to read; confident; low clutter,
True,True,https://dx.doi.org/10.1109/TVCG.2013.180,Noise-Based Volume Rendering for the Visualization of Multivariate Volumetric Data,2013,readab; likert;,location; color;,5 points bipolar (-2 to +2) agreeing or disagreeing,easy overview; easy to understand; easy to interpret; confident,overview; understanding; interpretation; confidence,easy to gain a good overview of data; easy to understand displayed information; easy to interpret data values (in visualization); confidence in correct answers,"• Overview - It was easy to gain a good overview of the data.
• Understanding - It was easy to understand the information displayed with this method.
• Interpretation - It was easy to interpret the data values within the boxes.
• Confidence - I am confident that my answers were correct when using this method."
True,True,https://dx.doi.org/10.1109/TVCG.2014.2346983,"The relation between visualization size, grouping, and user performance",2014,readab; legib; likert;,,"1 to 7 (1 = very easy, 4 = neutral, 7 = very difficult)",easy / difficult (visualization),"default parameters provided by visualization software can lead to hard-to-read or misleading visualizations (...)
A central goal of this paper is to understand how to improve visualization tools that are used for rapid serial viewing, in which search speed is especially important.

We evaluated how accurately participants could gauge visualization difficulty by correlating each participant’s mean response time for the 75 grid types with their ratings of perceived difficulty",easy / difficult,
