,S_Index,Expert ID,Statement,Splitted propositions,Key_expressions
0,0,1722378679,"Viewing this chart, I understand the overall message that the visualization designer is trying to convey.","Viewing this chart, I understand the overall message",understand; overall message;
1,0,1722378679,"Viewing this chart, I understand the overall message that the visualization designer is trying to convey.",the overall message that the visualization designer is trying to convey.,overall message; convey;
2,1,1722378679,"Viewing this chart, I am confident that I am aware of general trends.",,confident; aware; general trends;
3,2,1722378679,"Viewing this chart, I am confident that I am aware of the existence of outliers.",,confident; aware; outliers;
4,3,1996775068,The visualization shows the data clearly,,clearly show
5,4,1996775068,"I have no clue what the picture is about, but it looks awesome",I have no clue what the picture is about,have no clue; 
6,4,1996775068,"I have no clue what the picture is about, but it looks awesome",it looks awesome,look awesome
7,5,1996775068,I see a clear and unexpected pattern in the data,,see; clear pattern; unexpected; pattern;
8,6,1996775068,"This visualization is maybe useful for experts in [visualization/the domain], for lay persons it is far too complex",This visualization is maybe useful for experts in [visualization/the domain],useful; experts
9,6,1996775068,"This visualization is maybe useful for experts in [visualization/the domain], for lay persons it is far too complex",for lay persons it is far too complex,lay person; complex
10,7,1996775068,"Without annotation, this picture is useless, as I do not know where to look and what to see.","Without annotation, this picture is useless",useless
11,7,1996775068,"Without annotation, this picture is useless, as I do not know where to look and what to see.",I do not know where to look and what to see,know where to look; know what to see
12,8,1996775068,It took me [1 second / 1 minute / 1 hour] to understand the visualization,,timespan; understand
13,9,98478158,This visualization is easy for me to process for the intended task(s) or activitie(s).,,easy to process
14,10,98478158,"For task(s) or activitie(s) that I intend to use this visualization for, I can easily read relevant information from this visualization.",,easily read; relevant information
15,11,98478158,I can easily read the information I need from this visualization.,,easily read; needed information
16,12,98478158,This visualization is readable.,,readable;
17,13,98478158,"Think of books. Some books are easy to read, others are difficult. Transfer that scale to this visualization. I think that this visualization is readable.",,readable; easy to read; difficult
18,14,98478158,I can easily see and process information from this visualization.,,easily see; easily process; information
19,15,1620431626,Text and labels are appropriately sized and readable.,,text; labels; sized; readable
20,16,1620431626,The scale of the visualization on the screen is appropriately sized.,,scale; sized;
21,17,1620431626,There is no blurring or image quality issue with the visualization.,,blurring; image quality
22,18,1620431626,I can interpret the meaning of the chart easily.,,interpret; meaning
23,19,1620431626,I think others could interpret the meaning of the chart easily.,,others; interpret; meaning
24,20,1620431626,I find the visualization to be visually overwhelming.,,visually overwhelming
25,21,179150639,I can clearly identify features of the data that are relevant to my analysis tasks.,,clearly identify; data features; relevant
26,22,179150639,I am not distracted by representations of data that are not relevant to my analysis tasks.,,distracted; relevant representations
27,23,179150639,I can clearly identify patterns and trends that are relevant to my analysis tasks.,,clearly identify; pattern; trend; relevant
28,24,179150639,My eyes are drawn to interesting and/or meaningful features of the data,,eyes; drawn to; interesting; meaningful; data features
29,25,179150639,I am not irritated by the design choices that were made during the creation of this data visualization.,,irritated; design choices
30,26,179150639,I am able to make sense of the meaning of the data visualization without having to look at it for more than a few seconds.,I am able to make sense of the meaning of the data visualization,make sense; meaning; 
31,26,179150639,I am able to make sense of the meaning of the data visualization without having to look at it for more than a few seconds.,without having to look at it for more than a few seconds,few seconds; look;
32,27,179150639,Looking at this data visualization does not make me swear out loud.,,annoyed;
33,28,179150639,The data visualization doesn't make me more confused than if I have had never looked at it in the first place.,,confused;
34,29,1444224863,It is easy to grasp the information that the visualization is intended to convey?,,easy grasp; information; convey
35,30,1444224863,It is easy to generate a verbal/textual description/story out of the visualization,,story; verbal description
36,31,1444224863,"It is easy to grasp the context (units, axes, labels, geo-spatial info) from the visualization",,easy grasp; context;
37,32,1444224863,It is easy to interpret/deciper the visual encodings,,interpret; decipher
38,33,1444224863,It is easy to see patterns,,patterns;
39,34,1444224863,"It is easy to see trends, clusters, outliers",,trends; clusters; outliers
40,35,795509158,I can quickly understand what the visualization is trying to convey.,,quickly understand; 
41,36,795509158,The visual appearance of the visualization is attracting my attention and I want to explore the data in greater detail.,,attracting; attention; 
42,36,795509158,The visual appearance of the visualization is attracting my attention and I want to explore the data in greater detail.,,want; explore; details
43,37,795509158,The visualization shows exactly the amount of information that is required.,,shows exactly; required amount; information
44,38,1795300946,The chart was easy to read.,,easy to read;
45,39,1795300946,I was able to extract the data points/values I was interested in.,,extract; data points; values; interested
46,40,1795300946,It took a long time for me to understand what the chart was saying.,,long time; understand; says
47,41,1795300946,The chart was difficult to read.,,difficult to read;
48,42,1795300946,I couldn't find the information I needed to read or understand the chart.,,find; needed information
49,42,1795300946,I couldn't find the information I needed to read or understand the chart.,,needed information
50,43,1795300946,It did not take me a long time to read the chart.,,long time; read;
51,44,928154673,I could make sense of the information in the graphic,,make sense; information
52,45,928154673,The graphic was informative,,informative
53,46,928154673,I could see structure in the graphic,,see; structure
54,47,1998530479,This visualization is easy to understand.,,easy; understand
55,48,1998530479,This visualization is challenging to understand.,,challenging; understand
56,49,1998530479,I can make sense of everything in this visualization.,,make sense; everything
57,50,1998530479,There are parts of this visualization that are confusing.,,parts; confusing
58,51,1998530479,I could rapidly make sense of this visualization.,,make sense; rapidly
59,52,1998530479,It took me some time to make sense of this visualization.,,time; make sense
60,53,667498089,I find and understand the legend easily.,,easily find; understand easily; legend
61,54,667498089,"I feel confident in identifying outliers, i.e. entities with abnormal properties.",,confident; identify; outliers; entities properties; abnormal properties
62,55,667498089,I feel confident in identifying one or more groups of entities with similar properties.,,confident; identify; groups; entities properties; similar properties
63,56,667498089,I feel confident in understanding relations between properties based on the shown entities.,,confident; understand; properties relationships;
64,57,1788435936,The visual encodings are clearly showing the data.,,visual encodings; show clearly; data
