index,CONCEPT,Tokens_originals,Sources_unique_list,Sources_unique_list_count
readabl,READ,"{'readable': 1, 'readability': 1}","['https://dx.doi.org/10.1109/INFVIS.2002.1173148', 'https://dx.doi.org/10.1109/TVCG.2013.191', 'https://dx.doi.org/10.1109/VAST.2009.5332595']",3
visibl,VIEW,"{'visible': 1, 'visibility': 1}","['https://dx.doi.org/10.1109/INFVIS.2002.1173148', 'https://dx.doi.org/10.1109/TVCG.2013.191', 'https://dx.doi.org/10.1109/TVCG.2022.3209480']",3
legibl,READ,{'legible': 1},"['https://dx.doi.org/10.1109/TVCG.2009.176', 'https://dx.doi.org/10.1109/TVCG.2013.191']",2
simpl,COMPLEX,{'simple': 1},"['https://dx.doi.org/10.1109/TVCG.2012.189', 'https://dx.doi.org/10.1109/TVCG.2014.2346420', 'https://dx.doi.org/10.1109/TVCG.2020.2968911', 'https://dx.doi.org/10.1109/VAST.2009.5332595']",4
better,GOOD,{'better': 1},['https://dx.doi.org/10.1109/TVCG.2011.186'],1
suitabl,SUPPORT,{'suitable': 1},['https://dx.doi.org/10.1109/TVCG.2011.186'],1
difficult,EASINESS,{'difficult': 1},"['https://dx.doi.org/10.1109/TVCG.2013.151', 'https://dx.doi.org/10.1109/TVCG.2013.233', 'https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2020.3030358', 'https://dx.doi.org/10.1109/TVCG.2011.186']",5
follow,GUIDANCE,{'follow': 1},['https://dx.doi.org/10.1109/TVCG.2011.186'],1
lost,GUIDANCE,{'lost': 1},"['https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2013.76']",2
deciph,UNDERSTAND,{'decipher': 1},['https://dx.doi.org/10.1109/TVCG.2011.160'],1
confus,CLARITY,{'confusing': 1},"['https://dx.doi.org/10.1109/TVCG.2018.2835485', 'https://dx.doi.org/10.1109/TVCG.2011.160', 'https://dx.doi.org/10.1109/TVCG.2014.2346420', 'https://dx.doi.org/10.1109/TVCG.2022.3209480', 'https://dx.doi.org/10.1109/TVCG.2013.76']",5
rich,RICH,{'rich': 1},['https://dx.doi.org/10.1109/TVCG.2012.255'],1
usabl,SUPPORT,{'usable': 1},['https://dx.doi.org/10.1109/TVCG.2012.255'],1
comprehens,UNDERSTAND,{'comprehensibly': 1},['https://dx.doi.org/10.1109/TVCG.2012.255'],1
easili,EASINESS,{'easily': 1},"['https://dx.doi.org/10.1109/TVCG.2020.3030388', 'https://dx.doi.org/10.1109/TVCG.2012.255', 'https://dx.doi.org/10.1109/TVCG.2021.3114822']",3
simplic,COMPLEX,{'simplicity': 1},['https://dx.doi.org/10.1109/TVCG.2012.255'],1
speed,TIME,{'speed': 1},['https://dx.doi.org/10.1109/TVCG.2012.255'],1
understand,UNDERSTAND,"{'understandable': 1, 'understand': 1}","['https://dx.doi.org/10.1109/TVCG.2022.3209477', 'https://dx.doi.org/10.1109/TVCG.2022.3209484', 'https://dx.doi.org/10.1109/TVCG.2019.2934784', 'https://dx.doi.org/10.1109/TVCG.2012.189', 'https://dx.doi.org/10.1109/TVCG.2012.255', 'https://dx.doi.org/10.1109/TVCG.2013.191', 'https://dx.doi.org/10.1109/TVCG.2021.3114822', 'https://dx.doi.org/10.1109/TVCG.2020.3030358', 'https://dx.doi.org/10.1109/TVCG.2017.2744118', 'https://dx.doi.org/10.1109/TVCG.2019.2934337']",10
meaning,RELEVANT,{'meaningful': 1},"['https://dx.doi.org/10.1109/TVCG.2012.189', 'https://dx.doi.org/10.1109/TVCG.2019.2934784']",2
view,VIEW,{'view': 1},['https://dx.doi.org/10.1109/TVCG.2012.189'],1
help,SUPPORT,{'helpful': 1},"['https://dx.doi.org/10.1109/TVCG.2012.189', 'https://dx.doi.org/10.1109/TVCG.2019.2934557']",2
easi,EASINESS,{'easy': 1},"['https://dx.doi.org/10.1109/TVCG.2019.2934557', 'https://dx.doi.org/10.1109/TVCG.2018.2835485', 'https://dx.doi.org/10.1109/TVCG.2022.3209484', 'https://dx.doi.org/10.1109/TVCG.2019.2934784', 'https://dx.doi.org/10.1109/TVCG.2013.233', 'https://dx.doi.org/10.1109/TVCG.2013.191', 'https://dx.doi.org/10.1109/TVCG.2022.3209480', 'https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2020.3030358', 'https://dx.doi.org/10.1109/TVCG.2015.2467872']",10
