Token type,Token,CONCEPT coded,Original statements index,Source experts IDs,Sources count
Subject,labels,REFERENCE STRUCTURES,[15],[1620431626],1
Subject,scale,VIS APPEARANCE,[16],[1620431626],1
Subject,presentation,ENCODINGS,[98],[510488677],1
Subject,spatial,ENCODINGS,[100],[1033383115],1
Subject,arrangement,ENCODINGS,[100],[1033383115],1
Subject,intended,DESIGNER,[72],[1909682060],1
Subject,messages,TAKEAWAY,[72],[1909682060],1
Subject,takeaways,TAKEAWAY,[72],[1909682060],1
Subject,parts,VIS ELEMENTS,"[50, 130]","[1998530479, 942263669]",2
Subject,encodings,ENCODINGS,[57],[1788435936],1
Subject,viewer,READER,"[0, 1, 2, 5, 7, 8, 9, 10, 11, 14, 18, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 39, 40, 42, 43, 44, 46, 49, 51, 52, 53, 54, 55, 56, 59, 62, 65, 67, 69, 71, 73, 75, 77, 79, 80, 81, 86, 89, 99, 101, 102, 103, 104, 105, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 123, 125, 126, 128, 129, 131]","[1722378679, 1996775068, 98478158, 1620431626, 179150639, 1444224863, 795509158, 1795300946, 928154673, 1998530479, 667498089, 1788435936, 2097618556, 867063270, 1909682060, 592571633, 591791231, 838199650, 1033383115, 2069127974, 121698407, 451138272, 276369984, 1647463245, 1658859505, 1527407916, 942263669]",27
Subject,designer,DESIGNER,[0],[1722378679],1
Subject,visualization,VISUALIZATION,"[3, 6, 12, 13, 16, 17, 20, 28, 37, 45, 47, 48, 50, 76, 78, 81, 82, 83, 84, 85, 86, 87, 88, 106, 107, 120, 121, 122, 124, 127, 130]","[1996775068, 98478158, 1620431626, 179150639, 795509158, 928154673, 1998530479, 1909682060, 592571633, 1163817576, 591791231, 838199650, 121698407, 1647463245, 1658859505, 1527407916, 942263669]",17
Subject,reader,READER,[4],[1996775068],1
Subject,picture,VISUALIZATION,"[4, 7]",[1996775068],1
Subject,text,VIS TEXT,[15],[1620431626],1
Subject,encoding,ENCODINGS,[68],[2097618556],1
Subject,graph,VISUALIZATION,[70],[867063270],1
Subject,others,OTHER PEOPLE,[19],[1620431626],1
Subject,eyes,READER,[24],[179150639],1
Subject,visual,VISUAL,"[36, 57, 96, 97]","[795509158, 1788435936, 510488677]",3
Subject,appearance,VIS APPEARANCE,[36],[795509158],1
Subject,chart,VISUALIZATION,"[38, 41]",[1795300946],1
Subject,information,INFORMATION,"[42, 74, 90, 98]","[1795300946, 1909682060, 838199650, 510488677]",4
Subject,plot,VISUALIZATION,"[58, 60, 61, 63]",[1788435936],1
Subject,message,TAKEAWAY,[63],[1788435936],1
Subject,annotations,REFERENCE STRUCTURES,[64],[1788435936],1
Subject,ordering,ENCODINGS,[66],[2097618556],1
Subject,distortion,DISTORTION,[67],[2097618556],1
Subject,color,ENCODINGS,[68],[2097618556],1
Subject,graphic,VISUALIZATION,"[94, 95]",[510488677],1
Subject,shapes,ENCODINGS,[96],[510488677],1
Subject,marks,ENCODINGS,[96],[510488677],1
Subject,colors,ENCODINGS,[97],[510488677],1
Subject,variables,ENCODINGS,[97],[510488677],1
Subject_quality,awesome,AESTHETICS,[4],[1996775068],1
Subject_quality,useful,RELEVANT,[6],[1996775068],1
Subject_quality,complex,COMPLEX,[6],[1996775068],1
Subject_quality,useless,RELEVANT,[7],[1996775068],1
Subject_quality,confident,CONFIDENT,"[1, 2, 54, 55, 56, 79]","[1722378679, 667498089, 592571633]",3
Subject_quality,image,VISUALIZATION,[17],[1620431626],1
Subject_quality,quality,VIS APPEARANCE,[17],[1620431626],1
Subject_quality,issue,PROBLEMATIC,[17],[1620431626],1
Subject_quality,visually,VISUAL,"[20, 87]","[1620431626, 591791231]",2
Subject_quality,overwhelming,CLARITY,[20],[1620431626],1
Subject_quality,drawn,GUIDANCE,[24],[179150639],1
Subject_quality,enough,ENOUGH,[64],[1788435936],1
Subject_quality,comprehend,UNDERSTAND,[70],[867063270],1
Subject_quality,identifiable,UNDERSTAND,[90],[838199650],1
Subject_quality,meaningful,MEANING,"[96, 97]",[510488677],1
Subject_quality,understand,UNDERSTAND,"[47, 48, 58, 87, 94, 122]","[1998530479, 1788435936, 591791231, 510488677, 1658859505]",5
Subject_quality,challenging,EASINESS,[48],[1998530479],1
Subject_quality,confusing,CLARITY,"[50, 76, 127]","[1998530479, 1909682060, 1527407916]",3
Subject_quality,feeling,FEELING,"[54, 55, 56]",[667498089],1
Subject_quality,cluttered,CLUTTER,"[61, 76]","[1788435936, 1909682060]",2
Subject_quality,clear,CLARITY,"[63, 72, 98]","[1788435936, 1909682060, 510488677]",3
Subject_quality,want,WANT,[131],[942263669],1
Subject_quality,needed,RELEVANT,[42],[1795300946],1
Subject_quality,key,KEY,[74],[1909682060],1
Subject_quality,presented,SHOW,[74],[1909682060],1
Subject_quality,disorienting,GUIDANCE,[76],[1909682060],1
Subject_quality,intuitive,INTUITIVE,[81],[592571633],1
Subject_quality,pleasing,AESTHETICS,[87],[591791231],1
Subject_quality,necessary,KEY,[90],[838199650],1
Subject_quality,irritated,ANNOYANCE,[25],[179150639],1
Subject_quality,able,SUPPORT,"[26, 39, 42, 59, 67, 69, 77, 81, 86, 89, 101, 118, 119, 125, 126]","[179150639, 1795300946, 1788435936, 2097618556, 867063270, 1909682060, 592571633, 591791231, 838199650, 1033383115, 1647463245, 1527407916]",12
Subject_quality,annoyed,ANNOYANCE,[27],[179150639],1
Subject_quality,easy,EASINESS,"[13, 38, 47, 58, 60, 70, 87, 88, 122]","[98478158, 1795300946, 1998530479, 1788435936, 867063270, 591791231, 838199650, 1658859505]",8
Subject_quality,read,READ,"[13, 38, 41, 60, 88]","[98478158, 1795300946, 1788435936, 838199650]",4
Subject_quality,difficult,EASINESS,"[13, 41, 130]","[98478158, 1795300946, 942263669]",3
Subject_quality,informative,INFORMATIVE,[45],[928154673],1
Subject_quality,interpret,UNDERSTAND,"[130, 78]","[942263669, 1909682060]",2
Subject_quality,readable,READ,"[12, 13, 15, 121]","[98478158, 1620431626, 1658859505]",3
Subject_quality,appropriately,RELEVANT,"[15, 16]",[1620431626],1
Subject_quality,sized,VIS APPEARANCE,"[15, 16]",[1620431626],1
Subject_quality,blurring,VIS APPEARANCE,[17],[1620431626],1
Subject_quality,aware,KNOW,"[1, 2]",[1722378679],1
Verb,look,VIEW,"[4, 26, 27]","[1996775068, 179150639]",2
Verb,state,STATE,[4],[1996775068],1
Verb,see,VIEW,"[5, 14, 33, 34, 46, 86, 109]","[1996775068, 98478158, 1444224863, 928154673, 591791231, 451138272]",6
Verb,know,KNOW,"[7, 79, 80, 128]","[1996775068, 592571633, 1527407916]",3
Verb,process,REASON,"[9, 14, 101]","[98478158, 1033383115]",2
Verb,grasp,UNDERSTAND,"[29, 31]",[1444224863],1
Verb,generate,VERBALIZE,[30],[1444224863],1
Verb,decipher,UNDERSTAND,[32],[1444224863],1
Verb,attracting,FOCUS,[36],[795509158],1
Verb,want,WANT,[36],[795509158],1
Verb,shows,SHOW,[37],[795509158],1
Verb,extract,QUERY,"[39, 73, 89, 105, 113]","[1795300946, 1909682060, 838199650, 2069127974, 276369984]",5
Verb,find,SEARCH,"[42, 53, 117]","[1795300946, 667498089, 1647463245]",3
Verb,wants,CONVEY,[63],[1788435936],1
Verb,make,ACHIEVE,"[63, 86, 124]","[1788435936, 591791231, 1658859505]",3
Verb,help,SUPPORT,"[64, 86]","[1788435936, 591791231]",2
Verb,rank,QUERY,[65],[2097618556],1
Verb,impact,AFFECT,[67],[2097618556],1
Verb,differentiate,QUERY,[67],[2097618556],1
Verb,conveys,CONVEY,[68],[2097618556],1
Verb,explain,VERBALIZE,[69],[867063270],1
Verb,summarize,VERBALIZE,"[71, 107]","[867063270, 121698407]",2
Verb,determine,QUERY,[77],[1909682060],1
Verb,require,REQUIRE,[78],[1909682060],1
Verb,learn,LEARN,[81],[592571633],1
Verb,provides,SHOW,[85],[591791231],1
Verb,answer,REASON,"[86, 111]","[591791231, 451138272]",2
Verb,support,SUPPORT,[100],[1033383115],1
Verb,form,REASON,[101],[1033383115],1
Verb,present,CONVEY,[120],[1647463245],1
Verb,change,CHANGE,[131],[942263669],1
Verb,recognize,QUERY,[104],[2069127974],1
Verb,tells,CONVEY,[106],[121698407],1
Verb,comprehend,UNDERSTAND,[112],[276369984],1
Verb,relate,UNDERSTAND,[113],[276369984],1
