,Unnamed: 0,keep,S_Index,ID,Statement,Splitted propositions,Key_expressions,Subject,Subject_quality,Verb,Verb_quality,Object,Object_quality,Complement,Action_quality-Rewritten,Tokens_Subject,Tokens_Subject_quality,Tokens_Verb,Tokens_Verb_quality,Tokens_Object,Tokens_Object_quality,CONCEPT_Subject,CONCEPT_Subject_quality,CONCEPT_Verb,CONCEPT_Verb_quality,CONCEPT_Object,CONCEPT_Object_quality
0,0,True,0,1722378679,"Viewing this chart, I understand the overall message that the visualization designer is trying to convey.","Viewing this chart, I understand the overall message",understand; overall message;,viewer,,understand,,message,overall,viewing chart,,['viewer'],,['understand'],,['message'],['overall'],['READER'],,['UNDERSTAND'],,['TAKEAWAY'],['OVERVIEW']
1,1,True,0,1722378679,"Viewing this chart, I understand the overall message that the visualization designer is trying to convey.",the overall message that the visualization designer is trying to convey.,overall message; convey;,designer,,convey,trying to,message,overall,,,['designer'],,['convey'],['trying'],['message'],['overall'],['DESIGNER'],,['CONVEY'],['TRY'],['TAKEAWAY'],['OVERVIEW']
2,2,True,1,1722378679,"Viewing this chart, I am confident that I am aware of general trends.",,confident; aware; general trends;,viewer,aware; confident,be,,general trends,,,,['viewer'],"['aware', 'confident']",['be'],,"['general', 'trends']",,['READER'],"['KNOW', 'CONFIDENT']",['STATE'],,"['OVERVIEW', 'DATA FEATURES']",
3,3,True,2,1722378679,"Viewing this chart, I am confident that I am aware of the existence of outliers.",,confident; aware; outliers;,viewer,aware; confident,be,,outliers,,,,['viewer'],"['aware', 'confident']",['be'],,['outliers'],,['READER'],"['KNOW', 'CONFIDENT']",['STATE'],,['DATA FEATURES'],
4,4,True,3,1996775068,The visualization shows the data clearly,,clearly show,visualization,,show,clearly,data,,,,['visualization'],,['show'],['clearly'],['data'],,['VISUALIZATION'],,['SHOW'],['CLARITY'],['DATA'],
5,5,True,4,1996775068,"I have no clue what the picture is about, but it looks awesome",I have no clue what the picture is about,have no clue; ,viewer,,have a clue,not,picture,about,,,['viewer'],,['clue'],['stpwrd'],['picture'],['stpwrd'],['READER'],,['UNDERSTAND'],[],['VISUALIZATION'],[]
6,6,True,4,1996775068,"I have no clue what the picture is about, but it looks awesome",it looks awesome,look awesome,picture,awesome,look (state),,,,,,['picture'],['awesome'],"['look', 'state']",,,,['VISUALIZATION'],['AESTHETICS'],"['VIEW', 'STATE']",,,
7,7,True,5,1996775068,I see a clear and unexpected pattern in the data,,see; clear pattern; unexpected; pattern;,viewer,,see,,pattern,clear; unexpected,in data,,['viewer'],,['see'],,['pattern'],"['clear', 'unexpected']",['READER'],,['VIEW'],,['DATA FEATURES'],"['CLARITY', 'EXPECTATION']"
8,8,True,6,1996775068,"This visualization is maybe useful for experts in [visualization/the domain], for lay persons it is far too complex",This visualization is maybe useful for experts in [visualization/the domain],useful; experts,visualization,useful,be,maybe,experts,,for experts in domain,,['visualization'],['useful'],['be'],['maybe'],['experts'],,['VISUALIZATION'],['RELEVANT'],['STATE'],['MAYBE'],['EXPERTISE'],
9,9,True,6,1996775068,"This visualization is maybe useful for experts in [visualization/the domain], for lay persons it is far too complex",for lay persons it is far too complex,lay person; complex,visualization,complex,be,far too,lay person,,for lay persons,,['visualization'],['complex'],['be'],['far'],"['lay', 'person']",,['VISUALIZATION'],['COMPLEX'],['STATE'],['VERY'],"['EXPERTISE', 'OTHER PEOPLE']",
