seed,answer,clearData,clearRepresent,complex,confid,confus,crowd,deciph,distinguish,distract,effect,find,identifi,inform,lost,meanElem,meanOveral,messi,obvious,organiz,read,readabl,represent,see,simpl,understandEasi,understandQuick,valu,visibl
59765323540,-2,-2,-2,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2,-3.0,-2,-2.0,-2,-1,-2.0,-1.0,-3,0,-2.0,-2.0,-3.0,-2.0,-2.0,-3.0,-2.0,-3.0,-1.0,-2.0
69313671651,1,-3,-3,-3.0,2.0,-2.0,-3.0,-3.0,-2.0,-2,-2.0,1,-3.0,-3,-2,1.0,2.0,-3,2,-2.0,-3.0,-2.0,1.0,-1.0,-2.0,-1.0,1.0,1.0,0.0
29576544328,2,1,1,-1.0,2.0,1.0,1.0,-2.0,-1.0,-1,1.0,-1,1.0,1,1,2.0,2.0,-1,3,1.0,-1.0,1.0,2.0,-2.0,-2.0,2.0,-1.0,1.0,-2.0
43713771843,3,3,3,3.0,3.0,3.0,2.0,3.0,3.0,2,3.0,3,2.0,3,3,3.0,3.0,3,3,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0
128990778719,2,-2,-2,-2.0,2.0,-2.0,1.0,0.0,1.0,-1,0.0,-1,0.0,0,-3,2.0,2.0,-1,1,-2.0,-1.0,-3.0,-1.0,-3.0,-2.0,1.0,1.0,-2.0,-2.0
188294898648,-1,-1,-1,-2.0,1.0,1.0,-3.0,-2.0,1.0,1,3.0,1,-1.0,-1,-2,1.0,1.0,-2,1,1.0,-1.0,1.0,2.0,-2.0,-1.0,1.0,-2.0,2.0,-3.0
631763950,2,2,2,1.0,2.0,2.0,2.0,2.0,3.0,2,2.0,2,2.0,2,2,2.0,3.0,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
185679745634,1,-2,1,2.0,3.0,2.0,-1.0,-1.0,-2.0,-3,-1.0,-1,-1.0,-2,1,3.0,3.0,-3,3,-1.0,-1.0,1.0,3.0,-1.0,-1.0,2.0,1.0,-3.0,-2.0
212317986049,1,-1,-2,-2.0,-1.0,-2.0,-2.0,-1.0,2.0,-3,1.0,-1,1.0,1,-1,-1.0,3.0,-2,-1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,1.0,-2.0,-3.0,1.0
20665770897,0,-2,-3,-2.0,1.0,-3.0,-2.0,-2.0,-2.0,-3,-2.0,-2,-3.0,-2,-1,-2.0,1.0,-3,0,-2.0,-3.0,-2.0,-2.0,-1.0,-2.0,-2.0,1.0,1.0,0.0
75911361357,1,1,-1,-1.0,-1.0,-2.0,0.0,-2.0,-3.0,0,1.0,-1,0.0,0,-2,2.0,1.0,-1,-1,2.0,1.0,1.0,1.0,0.0,1.0,-1.0,-2.0,2.0,1.0
185647208526,2,-1,-1,-1.0,1.0,-1.0,-1.0,-2.0,1.0,-3,1.0,2,2.0,1,-1,1.0,1.0,0,1,0.0,1.0,1.0,1.0,2.0,-1.0,1.0,1.0,-1.0,1.0
163825203726,0,-1,-2,-1.0,0.0,-1.0,-2.0,-1.0,-2.0,-2,-1.0,-1,1.0,1,-2,1.0,0.0,-2,-1,1.0,-1.0,1.0,1.0,1.0,-2.0,0.0,-2.0,0.0,1.0
20110319435,3,2,2,2.0,3.0,2.0,2.0,2.0,2.0,1,2.0,1,3.0,2,2,2.0,3.0,2,3,2.0,1.0,1.0,3.0,0.0,1.0,3.0,3.0,-1.0,2.0
30411515848,2,-2,2,-1.0,3.0,-1.0,-2.0,-1.0,0.0,-2,-1.0,-2,-1.0,-2,-1,3.0,3.0,-3,2,-2.0,-2.0,-1.0,3.0,1.0,-2.0,2.0,-2.0,-3.0,1.0
197692152419,-1,-3,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-2.0,0,-2.0,-3,-1,1.0,2.0,-2,0,0.0,-1.0,-1.0,-2.0,-3.0,-1.0,-2.0,-1.0,-3.0,-3.0
78913057633,2,0,-1,-1.0,2.0,-2.0,-1.0,-2.0,-1.0,-1,1.0,1,2.0,2,-1,3.0,3.0,-2,3,-1.0,1.0,-1.0,2.0,2.0,0.0,2.0,1.0,-1.0,2.0
191154783477,1,-3,-1,-1.0,1.0,-1.0,-2.0,0.0,-2.0,-2,0.0,-3,0.0,0,0,1.0,1.0,-1,1,-1.0,-1.0,-1.0,1.0,-2.0,-1.0,-1.0,0.0,-3.0,-2.0
165262400575,0,-3,-3,-3.0,-2.0,-3.0,-3.0,-3.0,-2.0,-3,-3.0,-3,-3.0,-3,-3,-1.0,-1.0,-3,-2,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0
192306694523,3,2,2,2.0,3.0,2.0,1.0,2.0,2.0,1,2.0,2,2.0,2,3,3.0,3.0,2,2,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,-3.0,2.0
122702734756,3,-1,2,3.0,-2.0,-1.0,2.0,1.0,-1.0,-1,1.0,1,1.0,-2,1,2.0,3.0,3,3,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
65513444377,1,-3,-1,0.0,0.0,-2.0,1.0,-2.0,-1.0,-3,-3.0,0,-1.0,-1,-3,-1.0,0.0,0,0,-2.0,0.0,-1.0,0.0,1.0,0.0,-2.0,-1.0,1.0,0.0
154079399029,0,-1,-2,1.0,0.0,-3.0,3.0,-3.0,-1.0,-2,-2.0,1,0.0,0,-1,2.0,3.0,-3,-1,-1.0,-1.0,0.0,0.0,2.0,-1.0,-2.0,-1.0,0.0,2.0
62096933799,1,-1,1,-1.0,1.0,-1.0,2.0,-1.0,1.0,1,1.0,-1,1.0,1,1,1.0,1.0,3,1,-1.0,1.0,1.0,2.0,0.0,-1.0,1.0,-1.0,2.0,0.0
180209898751,-2,-2,-2,-1.0,0.0,-2.0,-2.0,-2.0,-1.0,-2,-2.0,-2,-2.0,-2,-2,1.0,-1.0,-2,-2,-2.0,-1.0,-2.0,-2.0,0.0,-2.0,-1.0,-2.0,-2.0,-1.0
62096813489,2,-1,1,1.0,2.0,-1.0,2.0,0.0,-2.0,-2,-1.0,-1,-1.0,-1,1,,1.0,0,2,1.0,-1.0,-1.0,2.0,2.0,-1.0,1.0,-1.0,-3.0,1.0
158543643260,-1,-1,-2,-2.0,2.0,-2.0,-3.0,-2.0,-2.0,-2,-1.0,0,0.0,-2,-2,-1.0,-1.0,-3,-1,-2.0,-2.0,-2.0,-1.0,-2.0,-3.0,-1.0,-1.0,1.0,-1.0
162893792188,0,-3,-2,-3.0,1.0,-3.0,-1.0,-1.0,-1.0,-2,1.0,-3,-1.0,-1,-1,0.0,1.0,0,1,-2.0,0.0,1.0,-2.0,1.0,-2.0,0.0,-2.0,3.0,-1.0
160754607257,1,1,-1,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1,1.0,1,1.0,-1,-1,1.0,1.0,-1,-1,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0
