"","Model_1"
"npar",234
"fmin",0.142717646962059
"chisq",501.7952467186
"df",228
"pvalue",0
"baseline.chisq",9354.46491249489
"baseline.df",330
"baseline.pvalue",0
"cfi",0.969660777744339
"tli",0.956087967787859
"cfi.robust",0.969318475003224
"tli.robust",0.955592529609929
"nnfi",0.956087967787859
"rfi",0.922359792812445
"nfi",0.946357675034053
"pnfi",0.653847120932618
"ifi",0.96999985762902
"rni",0.969660777744339
"nnfi.robust",0.955592529609929
"rni.robust",0.969318475003224
"logl",-27757.3442363268
"unrestricted.logl",-27506.4466129675
"aic",55982.6884726535
"bic",57263.1205789629
"ntotal",1758
"bic2",56519.7220429517
"rmsea",0.0640194175230439
"rmsea.ci.lower",0.0564462952532479
"rmsea.ci.upper",0.0716010149444084
"rmsea.ci.level",0.9
"rmsea.pvalue",0.0014317946409671
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.000205168278739501
"rmsea.notclose.h0",0.08
"rmsea.robust",0.0645595202144994
"rmsea.ci.lower.robust",0.0569436478644067
"rmsea.ci.upper.robust",0.0721849064437798
"rmsea.pvalue.robust",0.00105019535252238
"rmsea.notclose.pvalue.robust",0.000348893024928111
"rmr",0.0791002009396404
"rmr_nomean",0.085435383927259
"srmr",0.0404591771645435
"srmr_bentler",0.0404591771645435
"srmr_bentler_nomean",0.0436983980498389
"crmr",0.0437002339594561
"crmr_nomean",0.047868458119405
"srmr_mplus",0.0404600828246815
"srmr_mplus_nomean",0.0436991499506623
"cn_05",926.688670701236
"cn_01",984.04932265019
"gfi",0.979617934722031
"agfi",0.958699499305168
"pgfi",0.483447811940743
"mfi",0.925083541345452
"ecvi",0.551646898019681
