"","Factor","raw_alpha","std.alpha","G6(smc)","average_r","S/N","alpha se","var.r","med.r"
"understand.obvious","understand",0.903640211058,0.90452784907849,0.891741941448991,0.612259291616807,9.47425862251838,0.00857186772376818,0.00378634243097771,0.604738303314923
"understand.meanOveral","understand",0.91152473997611,0.912438112863468,0.899372637203856,0.634602952393514,10.4204939238089,0.00797607737978849,0.00138137355706106,0.623199787270191
"understand.confid","understand",0.90147039924619,0.902265946395898,0.889840690996459,0.606088511189011,9.23184819541778,0.00876709519843611,0.00330284489862025,0.600074257142557
"understand.represent","understand",0.900465628385996,0.901445813684505,0.889330907513661,0.603874174272612,9.14670241199868,0.00887715929048291,0.00287760981609301,0.604738303314923
"understand.understandEasi","understand",0.898013384191554,0.899311868767908,0.8845040844936,0.598169182855946,8.93165716518212,0.00910166056686737,0.00217054758740194,0.600074257142557
"understand.understandQuick","understand",0.905196305198653,0.905332622175721,0.891196357835893,0.61447767232354,9.56330092776195,0.00850021475838172,0.00203786980103734,0.610816945164416
"understand.meanElem","understand",0.907046905626482,0.908130884920951,0.896303916380282,0.622286386605171,9.88505096777681,0.00828537624079174,0.00289875384917187,0.61758943336474
"layout.crowd","layout",0.792586791740103,0.798620163733055,0.748621205770476,0.569320732104066,3.96574045613196,0.0214893866799396,0.0175466977799969,0.542804210084964
"layout.messi","layout",0.739558539826413,0.746359696891223,0.666266269520499,0.495169707493402,2.94259109354217,0.0262282107562071,0.00312081894998115,0.475089987634061
"layout.distract","layout",0.854085539765092,0.859641625850511,0.821215847716573,0.671219164575046,6.12461943264564,0.0148945209788132,0.00977772424833918,0.713037236720546
"layout.organiz","layout",0.800987503063095,0.809861692564133,0.764185369601677,0.586738689794721,4.25932945068052,0.0207351930485786,0.0193008988412249,0.542804210084964
"dataRead.find","dataRead",0.873392156030976,0.870425493579278,0.850454359511931,0.626780983763952,6.71756750323286,0.0112796752356754,0.0189333727625348,0.626580793328436
"dataRead.identifi","dataRead",0.863888749966522,0.861878865640674,0.83770229658908,0.60937582502844,6.24002162767121,0.0121307423894158,0.0149139571203758,0.603788510277486
"dataRead.valu","dataRead",0.918336229082396,0.918460384342024,0.895447531053541,0.737945103896746,11.2639773554314,0.00779695769884645,0.00101105143813692,0.740413635857441
"dataRead.inform","dataRead",0.867197122663425,0.865376492534203,0.841362387332233,0.616421869914612,6.42812320689285,0.0118634368507509,0.014548994532635,0.603788510277486
"dataRead.readabl","dataRead",0.873396875700333,0.870052232521728,0.850621489282329,0.626007429037155,6.69539961636667,0.0111840607421895,0.0211255882393812,0.623523454901736
"dataFeat.visibl","dataFeat",0.654806242781311,0.6986095799403,0.488055345184363,0.6986095799403,2.31795549374768,NA,0,0.6986095799403
"dataFeat.see","dataFeat",0.745343146258551,0.6986095799403,0.488055345184363,0.6986095799403,2.31795549374768,NA,0,0.6986095799403
