reliability_values,Subscale,A,B,C,D,E,F,Full_survey
omega_tot,dataFeat,0.871,0.826,0.840,0.858,0.809,0.822,0.879
omega_tot,dataRead,0.757,0.741,0.783,0.767,0.805,0.820,0.854
omega_tot,layout,0.768,0.845,0.838,0.751,0.752,0.822,0.886
omega_tot,understand,0.811,0.755,0.803,0.815,0.820,0.821,0.879
raw_alpha,dataFeat,0.868,0.824,0.835,0.859,0.815,0.822,0.879
raw_alpha,dataRead,0.736,0.739,0.773,0.741,0.802,0.809,0.850
raw_alpha,layout,0.760,0.844,0.834,0.748,0.751,0.801,0.885
raw_alpha,understand,0.809,0.745,0.796,0.812,0.821,0.818,0.874
std.alpha,dataFeat,0.868,0.825,0.835,0.859,0.816,0.823,0.879
std.alpha,dataRead,0.757,0.740,0.776,0.749,0.802,0.808,0.849
std.alpha,layout,0.765,0.845,0.837,0.747,0.751,0.810,0.885
std.alpha,understand,0.811,0.747,0.801,0.813,0.823,0.820,0.878
