reliability_values,Subscale,A,B,C,D,E,F,Full_survey
G6(smc),dataFeat,0.767207942966387,0.701868202484888,0.717127105235852,0.75248833443927,0.689103095568123,0.6986095799403,0.783855197290064
G6(smc),dataRead,0.766776525954951,0.729556174193836,0.750870301356433,0.817292638666057,0.82241329918764,0.863139670196493,0.886897386226629
G6(smc),layout,0.725135900356815,0.792475525288302,0.79337892871993,0.716022762453467,0.757040821183802,0.821215847716573,0.855835131155517
G6(smc),understand,0.817933149327498,0.810138106087347,0.784005831786511,0.775674410484798,0.879590741182698,0.790905475419338,0.888693083965563
S/N,dataFeat,6.59135842298613,4.70844242938769,5.07031333513784,6.08042722135566,4.43300068765477,4.63591098749535,7.25305616847971
S/N,dataRead,4.73142678080233,3.84567752935579,4.465237739597,6.67806226269826,6.5513892169273,9.39044652916862,11.4915478386048
S/N,layout,3.42466272888923,5.67187049833447,5.12596282143602,3.74119286983276,4.37947254051848,6.12461943264564,8.2230207590992
S/N,understand,6.57913719131135,5.80004515968724,4.89424762226955,5.16450901915991,10.6558526621488,5.57633824896451,11.8410589983778
ase,dataFeat,0.0155346162023834,0.0206681798162571,0.0194488473788609,0.0160742628846455,0.02152085378073,0.0207650993274391,0.0057823528537953
ase,dataRead,0.0184165732540831,0.0215521685241195,0.0187229315533999,0.0128475943682095,0.0132981211913531,0.0097829354187195,0.0033250322545513
ase,layout,0.0217702323713812,0.0151899442185907,0.0172118782945405,0.0208060684108539,0.0186797236876692,0.0148945209788132,0.0045160914391737
ase,understand,0.0133990932709961,0.0152484073710893,0.018306363774233,0.016055644932774,0.0087362312967283,0.0155186067262118,0.0032400404950628
average_r,dataFeat,0.767207942966387,0.701868202484887,0.717127105235852,0.75248833443927,0.689103095568123,0.6986095799403,0.783855197290064
average_r,dataRead,0.61197330259284,0.561767263045136,0.598137379592421,0.690020593113688,0.685909564371715,0.757877975346761,0.792982776345799
average_r,layout,0.533049418063588,0.654053874469622,0.630812979837158,0.554974904601056,0.593466879437806,0.671219164575046,0.732692288075141
average_r,understand,0.686819393011605,0.659092658553286,0.619976450759279,0.632555981877195,0.78031397421888,0.650200363731897,0.797858090832473
mean,dataFeat,1.67832167832168,1.86062717770035,1.58885017421603,0.0438311688311688,-0.158450704225352,0.433447098976109,0.897134670487106
mean,dataRead,2.17997685185185,2.12731481481481,2.09988385598142,-0.319309600862999,0.447667804323094,0.235494880546075,1.10618126659082
mean,layout,1.99016203703704,1.62384259259259,1.732868757259,-0.555016181229773,0.338452787258248,-1.26564277588168,0.622866894197952
mean,understand,2.45023148148148,2.39930555555556,2.38734030197445,0.54908306364617,-0.122146118721461,0.886803185437998,1.40903054448871
median_r,dataFeat,0.767207942966387,0.701868202484887,0.717127105235852,0.75248833443927,0.689103095568124,0.6986095799403,0.783855197290064
median_r,dataRead,0.605817325677522,0.518544630045633,0.614292405433802,0.697127664117943,0.661277207897139,0.749359287714394,0.777618462382837
median_r,layout,0.481631999868258,0.644953291001845,0.685834905861929,0.575766963878536,0.543400584540856,0.713037236720546,0.761895382450489
median_r,understand,0.69850501301064,0.625581986798635,0.552804874924185,0.638722313607713,0.798847173745291,0.642067921859914,0.786150327916107
omega_tot,dataFeat,0.872969032864616,0.825245652711084,0.834050210655269,0.857703352558369,0.809623504432184,0.820973376699293,0.878366122279564
omega_tot,dataRead,0.828561584630204,0.799409903911834,0.818799364024472,0.869765403802298,0.870559899242088,0.903440120552472,0.920397055737329
omega_tot,layout,0.79181051997534,0.850146726723117,0.846682063517201,0.790886579383642,0.821098045634767,0.868455976437749,0.89478822460901
omega_tot,understand,0.869424367402634,0.859427737813168,0.838285686480184,0.837957800114593,0.914199695245943,0.848648373097829,0.922418866836631
raw_alpha,dataFeat,0.86802160511579,0.824136603981113,0.83524389857361,0.858630013192991,0.815470387307608,0.82155206732393,0.878679438331112
raw_alpha,dataRead,0.819988907814784,0.79127472289613,0.810567956873786,0.86962685253194,0.867881997803025,0.903522574130315,0.919802788710375
raw_alpha,layout,0.773147742963151,0.840868750380339,0.826792156962735,0.788976163541836,0.815163336079826,0.854085539765092,0.891168143561879
raw_alpha,understand,0.867273369799957,0.852054450908319,0.825991276951938,0.836515829808023,0.914125892457597,0.847272822738545,0.921134594676969
sd,dataFeat,1.28473574920401,1.03846492260575,1.2995215910425,1.6611662235362,1.57651684578773,1.44232999571569,1.62438867706284
sd,dataRead,0.828800867691009,0.772140262531182,0.81416890405764,1.49800890872939,1.47928082162842,1.49029811192177,1.58775661432912
sd,layout,1.04709082669989,1.22912244201278,1.12878551442308,1.42230004519739,1.47662931286593,1.328783222986,1.77985322162404
sd,understand,0.667125237496881,0.646536605213914,0.69399579138452,1.47429271836118,1.61952706835064,1.30279829242121,1.54213762713908
std.alpha,dataFeat,0.868271270531495,0.824820866222301,0.835263857927806,0.858765584513905,0.815939651494566,0.822566395704484,0.87883276454373
std.alpha,dataRead,0.825523375200475,0.79363051009031,0.817025343151177,0.869758805570225,0.867574035548534,0.903757745425786,0.919945869565537
std.alpha,layout,0.773994073385331,0.850116994889269,0.836760354388572,0.789082615397742,0.814108169069003,0.859641625850511,0.891575653344006
std.alpha,understand,0.868058860163345,0.852942153100937,0.830343062578196,0.837781079256774,0.914206190745067,0.847939694987943,0.922124802936711
