reliability_values,Subscale,A,B,C,D,E,F,Full_survey
omega_tot,dataFeat,0.871,0.826,0.836,0.858,0.809,0.821,0.879
omega_tot,dataRead,0.828,0.799,0.819,0.870,0.870,0.904,0.920
omega_tot,layout,0.768,0.844,0.838,0.751,0.753,0.822,0.886
omega_tot,understand,0.869,0.859,0.838,0.837,0.914,0.849,0.922
raw_alpha,dataFeat,0.868,0.824,0.835,0.859,0.815,0.822,0.879
raw_alpha,dataRead,0.820,0.791,0.811,0.870,0.868,0.904,0.920
raw_alpha,layout,0.760,0.844,0.834,0.748,0.751,0.801,0.885
raw_alpha,understand,0.867,0.852,0.826,0.837,0.914,0.847,0.921
std.alpha,dataFeat,0.868,0.825,0.835,0.859,0.816,0.823,0.879
std.alpha,dataRead,0.826,0.794,0.817,0.870,0.868,0.904,0.920
std.alpha,layout,0.765,0.845,0.837,0.747,0.751,0.810,0.885
std.alpha,understand,0.868,0.853,0.830,0.838,0.914,0.848,0.922
