reliability_values,Subscale,A,B,C,D,E,F,Full_survey
G6(smc),dataFeat,0.767207942966387,0.701868202484888,0.717127105235852,0.75248833443927,0.689103095568123,0.6986095799403,0.783855197290064
G6(smc),dataRead,0.843274530404645,0.81602828078267,0.836095854051348,0.850111739103624,0.872037072599218,0.887962272194112,0.911951537903414
G6(smc),layout,0.792043003074543,0.838445504340091,0.831650081868039,0.765476523888172,0.792833080877691,0.825455923675954,0.886066241185943
G6(smc),understand,0.912734795745201,0.884836845039678,0.904766643424792,0.900920865253701,0.929667163121211,0.908773767208691,0.94600188436712
S/N,dataFeat,6.59135842298613,4.70844242938769,5.07031333513784,6.08042722135566,4.43300068765477,4.63591098749535,7.25305616847971
S/N,dataRead,6.26321960191039,5.16954048946614,5.85863637411235,6.40037777058663,7.84903250391702,9.01762686466837,11.8686531543024
S/N,layout,4.6090886464966,6.81173484400109,5.98256351080655,4.24097265721365,4.82173218089992,5.53770899726145,9.80096732726008
S/N,understand,11.3437169910677,7.93308521706024,10.5203037831401,10.0928129289269,13.9333671781383,11.0929189852797,19.5156910924812
ase,dataFeat,0.0155346162023834,0.0206681798162571,0.0194488473788609,0.0160742628846455,0.02152085378073,0.0207650993274391,0.0057823528537953
ase,dataRead,0.0142375461997422,0.0152746828125712,0.0137146314840714,0.0129291349674659,0.0102878451422882,0.0084055675274469,0.0028966796275975
ase,layout,0.0167299339962743,0.0124239235821337,0.0138756549217668,0.0177288479647667,0.0161949205136211,0.0155089405106198,0.0036060329931657
ase,understand,0.0073054374933883,0.0103025100516424,0.0079000510612858,0.0077857419898442,0.0059770451738557,0.007344428653774,0.0017303645565104
average_r,dataFeat,0.767207942966387,0.701868202484887,0.717127105235852,0.75248833443927,0.689103095568123,0.6986095799403,0.783855197290064
average_r,dataRead,0.556077198463579,0.508335700597375,0.539537025853421,0.561418042400299,0.610865643115483,0.643306242328181,0.703592221959657
average_r,layout,0.535374745893949,0.63003162233308,0.599301322183442,0.514620401452413,0.546574310126931,0.580612073491809,0.710165243844967
average_r,understand,0.618397950458538,0.531242211622627,0.600463548655124,0.590471151289933,0.665605636186881,0.613108310179514,0.736005372230901
mean,dataFeat,1.67832167832168,1.86062717770035,1.58885017421603,0.0438311688311688,-0.158450704225352,0.433447098976109,0.897134670487106
mean,dataRead,2.09971064814815,2.14322916666667,2.14843205574913,-0.222491909385113,0.547269624573379,0.47098976109215,1.17643155100493
mean,layout,2.04021990740741,1.55584490740741,1.72357723577236,-0.653451995685005,0.383390216154721,-1.13594994311718,0.630214258627228
mean,understand,2.45188492063492,2.39484126984127,2.3899950223992,0.613607643704731,0.17593044043556,0.941816999837478,1.47832222763963
median_r,dataFeat,0.767207942966387,0.701868202484887,0.717127105235852,0.75248833443927,0.689103095568124,0.6986095799403,0.783855197290064
median_r,dataRead,0.547988897503665,0.510049342644589,0.560631256957174,0.6277820990871,0.62516344333794,0.707388151887233,0.758526563256422
median_r,layout,0.516906416104776,0.635729407824995,0.596704456690205,0.511333194910051,0.529189016979263,0.55055129771221,0.698789777055578
median_r,understand,0.606682521107776,0.548816911891174,0.599787446166653,0.597588710960308,0.635011668626638,0.610816945164416,0.730694141801487
omega_tot,dataFeat,0.87285324053052,0.827118313328657,0.839335735767614,0.857295952224218,0.813146560463142,0.822293350780662,0.878068711868068
omega_tot,dataRead,0.863118939481412,0.840204500396506,0.855438585070045,0.873018538713909,0.890760973749915,0.904184166836074,0.925314474538646
omega_tot,layout,0.825941656414201,0.871433788771892,0.858816463543675,0.810212832735208,0.831275053371916,0.854864753020276,0.908255840133075
omega_tot,understand,0.91952602213925,0.890903077843817,0.913804767101109,0.909437882539187,0.933851898553342,0.917503506393242,0.951561156082284
raw_alpha,dataFeat,0.86802160511579,0.824136603981113,0.83524389857361,0.858630013192991,0.815470387307608,0.82155206732393,0.878679438331112
raw_alpha,dataRead,0.84504912322089,0.836954100883442,0.84964307860854,0.859784287488427,0.887834602313543,0.902645350514881,0.92307203537723
raw_alpha,layout,0.816905453903937,0.865408953058242,0.852168008532763,0.809268160164381,0.829326844726606,0.84015980894538,0.907325612886067
raw_alpha,understand,0.917421765530126,0.882783025269386,0.911682460301933,0.909206618849694,0.932787414789159,0.916573293151811,0.950180212353768
sd,dataFeat,1.28473574920401,1.03846492260575,1.2995215910425,1.6611662235362,1.57651684578773,1.44232999571569,1.62438867706284
sd,dataRead,0.818035493435092,0.714689808387208,0.745456621751321,1.40567747361794,1.36614247399216,1.30641647915896,1.4709976052601
sd,layout,0.968507113900498,1.23155834065599,1.09681129021754,1.34035984873953,1.38903587385413,1.2738235007379,1.72736490449775
sd,understand,0.614789048023572,0.582761221259934,0.644556286674973,1.34862672505865,1.47531672283018,1.21229381477045,1.41450759809534
std.alpha,dataFeat,0.868271270531495,0.824820866222301,0.835263857927806,0.858765584513905,0.815939651494566,0.822566395704484,0.87883276454373
std.alpha,dataRead,0.862320010297227,0.837913374309254,0.854198422914727,0.864871763172067,0.886993295644767,0.90017595848704,0.922291790134567
std.alpha,layout,0.821717918360126,0.871987462456187,0.856786121822974,0.809195722739823,0.828229817359028,0.847041218809389,0.907415699936788
std.alpha,understand,0.918987125132274,0.888056592352862,0.91319673345216,0.909851540235364,0.933035866052772,0.91730697929778,0.951256821157417
