reliability_values,Subscale,A,B,C,D,E,F,Full_survey
omega_tot,dataFeat,0.873,0.827,0.839,0.857,0.813,0.822,0.878
omega_tot,dataRead,0.863,0.840,0.855,0.873,0.891,0.904,0.925
omega_tot,layout,0.826,0.871,0.859,0.810,0.831,0.855,0.908
omega_tot,understand,0.920,0.891,0.914,0.909,0.934,0.918,0.952
raw_alpha,dataFeat,0.868,0.824,0.835,0.859,0.815,0.822,0.879
raw_alpha,dataRead,0.845,0.837,0.850,0.860,0.888,0.903,0.923
raw_alpha,layout,0.817,0.865,0.852,0.809,0.829,0.840,0.907
raw_alpha,understand,0.917,0.883,0.912,0.909,0.933,0.917,0.950
std.alpha,dataFeat,0.868,0.825,0.835,0.859,0.816,0.823,0.879
std.alpha,dataRead,0.862,0.838,0.854,0.865,0.887,0.900,0.922
std.alpha,layout,0.822,0.872,0.857,0.809,0.828,0.847,0.907
std.alpha,understand,0.919,0.888,0.913,0.910,0.933,0.917,0.951
