"terms","PA1"
"answer",0.734484452017469
"clearData",0.825475350644417
"clearRepresent",0.775759724389355
"complex",0.673905016236385
"confid",0.674069712107943
"confus",0.670082770248846
"crowd",0.661567474990769
"deciph",0.67015129451079
"distinguish",0.521211445719261
"distract",0.706555744087871
"effect",0.779712191861612
"find",0.653294893829557
"identifi",0.81861120892915
"inform",0.765820457632199
"lost",0.679768072874537
"meanElem",0.737226605828812
"meanOveral",0.684749131236085
"messi",0.685074748880209
"obvious",0.768905849385267
"organiz",0.627952512253366
"read",0.769035292975356
"readabl",0.793015070905938
"represent",0.833901720801366
"see",0.539438391791339
"simpl",0.795003638619827
"understandEasi",0.832711307714351
"understandQuick",0.747422503832914
"valu",0.555174186203791
"visibl",0.499314806347485
