"terms","PA1","PA2"
"answer",0.646757437545689,0.117076227915877
"clearData",0.650674172670353,0.22690602693718
"clearRepresent",0.63010997646659,0.189792851711693
"complex",0.752715051390464,-0.0905448066208959
"confid",0.758436393888317,-0.0973414836328855
"confus",0.636583278372524,0.0487039153123836
"crowd",0.692788157248802,-0.0318423059981925
"deciph",0.675758612269818,-4.5225374569746e-05
"distinguish",0.249831992168723,0.346301550531723
"distract",0.65131362078888,0.0761296204625667
"effect",0.541724587593056,0.306344971884627
"find",0.340464619766551,0.40031084005321
"identifi",0.762172539057497,0.0788739692547159
"inform",0.537937876460287,0.293486342341944
"lost",0.670221828944456,0.0190568978580599
"meanElem",0.764164260978626,-0.025518141948613
"meanOveral",0.78424797796923,-0.115823469456986
"messi",0.524533038811766,0.207803407859033
"obvious",0.774569871211765,0.00120947126894619
"organiz",0.355372953140465,0.348772836399239
"read",0.840185585729096,-0.0797330914514661
"readabl",0.767724423929615,0.0398750578728145
"represent",0.817793634921166,0.0289798167653768
"see",-0.223684046761869,0.979562953451021
"simpl",0.82689188960541,-0.0309886372557366
"understandEasi",0.89305349565193,-0.0653488839165131
"understandQuick",0.794271605673607,-0.0500707944421942
"valu",0.221396664117526,0.425784983288464
"visibl",-0.27243023296472,0.989153729956859
