"terms","PA1","PA3","PA2"
"answer",0.748630171514649,-0.0773201332196481,0.122880432275383
"clearData",0.213906532213788,0.543798469078428,0.169735257222796
"clearRepresent",0.320214023834754,0.39261968344631,0.149679015439969
"complex",0.278922460403334,0.56026143461289,-0.142323175138703
"confid",0.885284289275475,-0.119142990604011,-0.0845331902753891
"confus",0.0826420553757599,0.666269344751218,-0.0216085572694344
"crowd",0.196771342283249,0.589559512843671,-0.088207508878475
"deciph",0.137129619645045,0.643228249140803,-0.0646641209878033
"distinguish",0.307302529037499,-0.00860459384703687,0.323157406341821
"distract",0.24528825119234,0.492230242503682,0.0295700571118389
"effect",0.21041550499356,0.431774933050651,0.251926902596749
"find",0.36188493355877,0.0395600809033511,0.3730908758732
"identifi",0.773347561083218,0.0262197043194753,0.0750177023939936
"inform",0.533329673419902,0.0589740513004794,0.276331686869652
"lost",0.0540567927448474,0.741910411553256,-0.063694504837982
"meanElem",0.738867032111736,0.0558144215815218,-0.0285417661826545
"meanOveral",0.686879469132354,0.124206330583554,-0.117712125218109
"messi",-0.186256594082609,0.849490023383765,0.128415264339077
"obvious",0.703373348254467,0.108498136237878,-0.00530861712177825
"organiz",-0.170091681724484,0.640840647572523,0.28723333010875
"read",0.753011042557337,0.11385370506241,-0.0760503029363505
"readabl",0.589365805514134,0.230517954053827,0.0230773366045972
"represent",0.723787486724524,0.138564562724931,0.0190735949157793
"see",-0.111084148393615,0.0140662807718144,0.887991278541536
"simpl",0.521161035679414,0.363782574480934,-0.0511830078548907
"understandEasi",0.661753709969548,0.282129248822668,-0.0808167993413274
"understandQuick",0.650038917538686,0.179081741592964,-0.0535168183776663
"valu",0.403100688829677,-0.152388165366002,0.427097334166192
"visibl",-0.190718535673858,0.0513425440507688,0.889947734256055
