"terms","PA1","PA3","PA4","PA2"
"answer",0.805224425842559,-0.135775179090955,0.0525284565121339,0.0387491221239687
"clearData",0.277720021712438,0.107602704972068,0.533749476980416,0.0268066591259484
"clearRepresent",0.385502849383592,0.0276495543340757,0.44295412914292,0.00840276354939484
"complex",0.221382590936816,0.641395178818786,-0.0709191179176438,-0.00907278900418155
"confid",0.902393279735015,-0.00262806334200996,-0.170683341756009,-0.0735915904241193
"confus",0.0394106398882057,0.585278878201639,0.132410182699157,0.0594600602341047
"crowd",0.186448649255066,0.442317118182431,0.176805527461669,-0.0498581922864483
"deciph",0.105606765329848,0.556604641334482,0.127637546033365,0.00364997442455709
"distinguish",0.32473950960088,0.0871354018902746,-0.0993339333309381,0.334445461232243
"distract",0.266209020368213,0.262338591756689,0.274069881643032,-0.000496882423998458
"effect",0.270644237533587,0.0648896531319253,0.459124194304928,0.116166104726392
"find",0.401081680315081,0.00815766297990933,0.0650052331671172,0.310706273769815
"identifi",0.801353600588351,0.0853788968308662,-0.0887866142293,0.0747029585840858
"inform",0.594684687559502,-0.0695230759439758,0.160204096068991,0.171584393237778
"lost",-0.0738337294453736,0.868413268263797,-0.0312494892164307,0.105914389245173
"meanElem",0.74072328643587,0.241578252117714,-0.24942916242007,0.0527698086650507
"meanOveral",0.681742263333366,0.214429161108365,-0.131332144800038,-0.0596853736302144
"messi",-0.170272877854166,0.332769000879303,0.670035790550134,0.0218490653253975
"obvious",0.715864586910676,0.161968075948648,-0.0808800792372774,0.0175557460672025
"organiz",-0.170202021441378,-0.0410940229364783,0.955108903204137,0.045520489909371
"read",0.815579971828651,-0.0576006868190951,0.166466556093611,-0.168049566773304
"readabl",0.624513332526481,0.0981872741210194,0.146247587126422,-0.0255076752899203
"represent",0.739875673992434,0.162167019031301,-0.0407492715413524,0.0286811988252673
"see",-0.110014353958597,0.0747714728186486,0.01009480808824,0.898068589305751
"simpl",0.570647633431666,0.0758411856723638,0.329754742262848,-0.148822829550427
"understandEasi",0.687697969139842,0.170992087315094,0.107671536904293,-0.0984023709760451
"understandQuick",0.692756369509471,0.0307525603920439,0.153989138893523,-0.11819478848239
"valu",0.479026237996556,-0.269970810771179,0.157990138738977,0.280352686892111
"visibl",-0.185139748626279,0.075700117859015,0.0645990399112229,0.873611861814922
