"terms","PA1"
"answer",0.0414923071438463
"clearData",0.0791618125082428
"clearRepresent",0.0494272417414378
"complex",0.0359149190956107
"confid",0.0310071462885547
"confus",0.04255280279305
"crowd",0.0329665003847443
"deciph",0.0292727762122816
"distinguish",0.0174242806615721
"distract",0.0396670823736163
"effect",0.0614974575761143
"find",0.0363280864783921
"identifi",0.0818255597473273
"inform",0.0550065684642529
"lost",0.048801491733497
"meanElem",0.038751014392641
"meanOveral",0.0261217475175138
"messi",0.0407318418966404
"obvious",0.0498002704805577
"organiz",0.0262905758869607
"read",0.0424005643627003
"readabl",0.0574912419378787
"represent",0.0874995804279507
"see",0.0339021938368029
"simpl",0.058415618568906
"understandEasi",0.079359149791887
"understandQuick",0.0449246129721066
"valu",0.0269599279769131
"visibl",0.0225267759777226
