"terms","PA1","PA2"
"answer",0.0367927409256234,0.0126437065916867
"clearData",0.0694824703883175,0.0836039238178504
"clearRepresent",0.044596754245465,0.0668350609442213
"complex",0.0490260882965705,-0.0149996965628518
"confid",0.0405860487360056,-0.00657418909120264
"confus",0.0439735185655453,0.0178392035123945
"crowd",0.0401145519314935,-0.00518376091925023
"deciph",0.0385712640755386,0.00195432630874087
"distinguish",0.0086028810190518,0.0381447285884532
"distract",0.0401873055446385,0.0177247486295455
"effect",0.0455485629880372,0.102270120069152
"find",0.0213621776405861,0.0719070917089784
"identifi",0.0846036653324199,0.0336268420839631
"inform",0.0394015260813612,0.092826158148307
"lost",0.0517686469871122,-0.0101640827849948
"meanElem",0.0463938858629712,-0.00318787080591017
"meanOveral",0.0411021674821305,-0.0368227886167092
"messi",0.0321170715711588,0.053819948138287
"obvious",0.0576087674501623,-0.00337548174481927
"organiz",0.0190311642484808,0.0444125425267538
"read",0.0603389930424057,-0.0198295787823483
"readabl",0.0584759886314851,0.0187542843381587
"represent",0.0943309979888401,0.0239206717839477
"see",-0.0124275129479384,0.327635199248969
"simpl",0.0712851425910143,0.0126691887831675
"understandEasi",0.103829487544102,-0.0534942787676638
"understandQuick",0.0542011605362608,0.0118452455974907
"valu",0.0140410049470862,0.0737121992139406
"visibl",-0.0203401329223579,0.281289613007135
