"terms","PA1","PA3","PA2"
"answer",0.0800235185040063,-0.0299036105839319,0.0310283956392413
"clearData",0.0185542019929689,0.142528213318809,0.0685509961374845
"clearRepresent",0.0281560489184613,0.0546031861504688,0.0561309987156742
"complex",0.0150831204016612,0.0879264763613131,-0.041093330369106
"confid",0.0971781145710421,-0.0373653245330709,-0.00558913008201265
"confus",0.00322261780078466,0.104795527017276,-0.00526464308748
"crowd",0.00366884649819499,0.0889941363627409,-0.0278160417574444
"deciph",0.00511667088283812,0.0876327742630677,-0.0217928053537932
"distinguish",0.0205058933600782,-0.012547455707674,0.0479690794446905
"distract",0.015156694537293,0.06926760424875,0.00253786232904515
"effect",0.0211715386090188,0.0794918354875194,0.0986250153862685
"find",0.0365450874463835,-0.00249067211686043,0.0870155742939544
"identifi",0.147087512873017,-0.0184770876121455,0.0488060553901489
"inform",0.0638736796629772,-0.000916853315336197,0.110359204027104
"lost",-0.0035006999215953,0.145878055897941,-0.0407132607192596
"meanElem",0.0739852461750891,0.00405215971554324,0.00124054793094845
"meanOveral",0.0478859703751574,0.0119521715116293,-0.0421802288343177
"messi",-0.0503438740575749,0.190050884288324,0.0408661263297701
"obvious",0.0774753077742852,0.010589849097825,-0.00340061040267116
"organiz",-0.0173565213489978,0.0759027091525585,0.0495611780966748
"read",0.0926689917662144,-0.000232020796495462,-0.0190695298199488
"readabl",0.065300357651594,0.0325121487875489,0.0167019753425334
"represent",0.131159657608332,0.0119516172180839,0.0247066998379566
"see",-0.000747995654619855,-0.00277095253517773,0.352369691419015
"simpl",0.0540958254325204,0.0718079179210689,-0.00393347761631179
"understandEasi",0.10529468475131,0.0605454684555617,-0.0638517703892792
"understandQuick",0.0667505202717164,0.0159706873402317,0.00727205345714279
"valu",0.0389458560315608,-0.0198685671553613,0.102814154157443
"visibl",-0.0196298110412681,0.00291457690438741,0.290596995262402
