"terms","PA1","PA3","PA4","PA2"
"answer",0.077708126500671,-0.0426668446612286,0.00880657745309933,0.00946367841003383
"clearData",0.0328210671433269,0.0673174485017785,0.211173553215148,0.0176831875941333
"clearRepresent",0.0412205128374193,-0.0280756723245488,0.114117338114515,0.0203202341114566
"complex",0.0115062580515506,0.177705383944081,-0.0156622689189709,-0.0176502809674837
"confid",0.0853387581346042,-0.0148375325930655,-0.0367637745356039,0.00603324845091301
"confus",0.00265473680166571,0.133521281371226,0.0144490487482897,0.0123351508570821
"crowd",0.00443867897658238,0.0938836096206717,0.0293807498519889,-0.0216618572696791
"deciph",0.00454958455844346,0.0941359933080288,0.020095407004902,-0.00206220884558482
"distinguish",0.019734445957408,-0.00429259602078628,-0.00479181968032942,0.0536771091558483
"distract",0.0158485901986469,0.0631215053495857,0.0393477550058294,-0.00424105081473542
"effect",0.0368351954417323,0.0118263322065085,0.106124116121804,0.0615154788379201
"find",0.0362034774505218,-0.0119394229573087,0.0155709411852602,0.0767855767903163
"identifi",0.134913743423081,0.0235571348659268,-0.0380898214616645,0.0698283100050803
"inform",0.0687335096684794,-0.0459285524211838,0.0521131304746918,0.0891113955297235
"lost",-0.0251029977911386,0.371681420797106,-0.0102049899681301,0.00119617551931518
"meanElem",0.0737790855759502,0.0595563654484794,-0.0712689097758376,0.030105316235852
"meanOveral",0.0425326413083768,0.0432477845203755,-0.0285362497778923,-0.0338712895437014
"messi",-0.0285425286104031,0.0985143677366838,0.163754102594166,-0.0102978895656481
"obvious",0.0701400250147428,0.047864629098332,-0.0254459485759161,0.00536433115388716
"organiz",-0.0213867197403431,-0.0291775516875573,0.32853975791051,0.00374553162832039
"read",0.0961984759431793,-0.0428194788599228,0.0481305583278072,-0.0500378163768982
"readabl",0.0637096531738973,0.00479381193691286,0.035280306395988,0.00207393393514632
"represent",0.117759826317054,0.0465656801818411,-0.0264758906666561,0.0406845553862927
"see",0.0111701744850906,-0.00220884302800524,-0.00425733963772027,0.455863078034539
"simpl",0.0636519358552899,0.0154358005158012,0.0872304205822317,-0.0375439236418072
"understandEasi",0.0946721802620599,0.0737799314592577,0.0376596850820734,-0.0714028052755824
"understandQuick",0.0663195731648427,-0.00906903556158426,0.0385989272963869,-0.00010230559776713
"valu",0.0442795299894866,-0.0523294185358754,0.0269959642563602,0.0863799828775188
"visibl",-0.00598221889088521,-0.0225436105251121,0.0274344711677429,0.321931702336238
