item,factor rank in PA1 Agg,PA1 Agg,Order in Agg
clearData,0,0.914615135231076,0
simpl,1,0.912648045929997,1
clearRepresent,2,0.909438844493217,2
read,3,0.906683383681346,3
confus,4,0.890543645432646,4
inform,5,0.889789930851675,5
understandEasi,6,0.888445771340368,6
identifi,7,0.885748910331988,7
lost,8,0.879096713818976,8
deciph,9,0.876786101466457,9
understandQuick,10,0.874813026264685,10
readabl,11,0.873785658363181,11
effect,12,0.872128684768387,12
complex,13,0.852456298789227,13
represent,14,0.841985007918136,14
find,15,0.822420475405829,15
organiz,16,0.815279441962182,16
answer,17,0.810897626564461,17
meanElem,18,0.795165952189672,18
obvious,19,0.789081872926519,19
messi,20,0.78834071334387,20
confid,21,0.771356632829781,21
distract,22,0.723911669026535,22
meanOveral,23,0.718363903538117,23
distinguish,24,0.716849976615193,24
see,25,0.707311214411627,25
visibl,26,0.673288944969386,26
crowd,27,0.649589984173244,27
valu,28,0.633042991677269,28
