item,Cross-loadings in Agg,factor rank in PA1 Agg,PA1 Agg,factor rank in PA2 Agg,PA2 Agg,Order in Agg
obvious,0,1.0,1.00307267879417,,,1.0
confid,0,2.0,0.942643716308748,,,2.0
represent,0,3.0,0.925900012636947,,,3.0
meanOveral,0,4.0,0.915410893566505,,,4.0
understandEasi,0,5.0,0.884459665481939,,,5.0
understandQuick,0,6.0,0.79262098733465,,,6.0
answer,0,7.0,0.756155981524616,,,7.0
meanElem,0,8.0,0.737243129898617,,,8.0
identifi,1,9.0,0.584552848111979,,0.345036487076331,9.0
effect,1,10.0,0.565530737727184,,0.350137420068023,10.0
clearRepresent,1,11.0,0.535867133069784,,0.421007361884284,11.0
lost,1,12.0,0.527145576923782,,0.39749519966166,12.0
inform,1,13.0,0.524857985497835,,0.411307984101598,13.0
read,1,14.0,0.502428086692121,,0.452802428083382,14.0
deciph,1,15.0,0.494788751204831,,0.428610699049876,15.0
confus,1,16.0,0.493938097384028,,0.444316550293879,16.0
see,0,17.0,0.483656486182453,,,17.0
valu,0,18.0,0.479404144215707,,,18.0
complex,1,19.0,0.478504439827933,,0.419394374704315,19.0
visibl,0,20.0,0.473019143981123,,,20.0
readabl,1,,0.452897333303332,9.0,0.468949252559833,29.0
simpl,1,,0.442842588358668,8.0,0.521321345285725,28.0
clearData,1,,0.401510655586634,6.0,0.566588917493826,26.0
crowd,0,,,1.0,0.994154512991995,21.0
messi,0,,,2.0,0.979837621104545,22.0
distract,0,,,3.0,0.850295228912432,23.0
distinguish,0,,,4.0,0.733592390731724,24.0
organiz,0,,,5.0,0.710035606603071,25.0
find,0,,,7.0,0.560155888929424,27.0
