item,Cross-loadings in Agg,factor rank in ML1 Agg,ML1 Agg,factor rank in ML3 Agg,ML3 Agg,factor rank in ML2 Agg,ML2 Agg,Order in Agg
obvious,0,1.0,1.02383344681261,,,,,1.0
meanOveral,0,2.0,0.858523351491674,,,,,2.0
represent,0,3.0,0.852307793216321,,,,,3.0
confid,0,4.0,0.851145476532694,,,,,4.0
understandEasi,0,5.0,0.809519374273992,,,,,5.0
understandQuick,0,6.0,0.749307935625532,,,,,6.0
meanElem,0,7.0,0.557039022565223,,,,,7.0
lost,1,8.0,0.516765774990071,,,,0.386834671731004,8.0
answer,1,9.0,0.510204453397141,,0.416623120908109,,,9.0
confus,1,10.0,0.499445015818033,,,,0.438452652275563,10.0
complex,1,11.0,0.490202989447092,,,,0.419246409274899,11.0
deciph,1,12.0,0.446659954570242,,,,0.37545834606877,12.0
clearRepresent,1,13.0,0.364952106497996,,0.343095662619749,,,13.0
simpl,1,,0.36285753192642,,,5.0,0.410324071330399,18.0
effect,1,,0.331052015211217,9.0,0.454775376771943,,,27.0
find,0,,,1.0,0.773532035813274,,,19.0
valu,0,,,2.0,0.72963348380034,,,20.0
distinguish,1,,,3.0,0.664199967216898,,0.365556317261728,21.0
inform,0,,,4.0,0.612133396893649,,,22.0
identifi,0,,,5.0,0.597667208154139,,,23.0
see,0,,,6.0,0.551540251715363,,,24.0
visibl,0,,,7.0,0.547513666684111,,,25.0
readabl,0,,,8.0,0.511325062196509,,,26.0
read,0,,,10.0,0.429869706945859,,,28.0
clearData,1,,,11.0,0.3924376307055,,0.367736730959995,29.0
crowd,0,,,,,1.0,1.00360842260025,14.0
messi,0,,,,,2.0,0.95919402647618,15.0
distract,0,,,,,3.0,0.726611473097252,16.0
organiz,0,,,,,4.0,0.613080890946376,17.0
