item,Cross-loadings in Agg,factor rank in ML1 Agg,ML1 Agg,factor rank in ML4 Agg,ML4 Agg,factor rank in ML2 Agg,ML2 Agg,factor rank in ML3 Agg,ML3 Agg,Order in Agg
obvious,0,1.0,1.0523034705487,,,,,,,1.0
meanOveral,0,2.0,0.88779309935033,,,,,,,2.0
confid,0,3.0,0.88648483151242,,,,,,,3.0
represent,0,4.0,0.880514093076714,,,,,,,4.0
understandEasi,0,5.0,0.836848052769264,,,,,,,5.0
understandQuick,0,6.0,0.767393783578587,,,,,,,6.0
meanElem,0,7.0,0.579935072694304,,,,,,,7.0
answer,1,8.0,0.540929464151333,,0.405169736875678,,,,,8.0
lost,1,9.0,0.533875045871571,,,,0.363952435914341,,,9.0
confus,1,10.0,0.519527655237607,,,,0.411717840688488,,,10.0
complex,1,11.0,0.503016476728544,,,,0.39042917611615,,,11.0
deciph,1,12.0,0.471649078217814,,,,0.3355972903833,,,12.0
clearRepresent,1,13.0,0.388312193661265,,0.325002850333215,,,,,13.0
simpl,1,14.0,0.377640289968249,,,,0.374207166604689,,,14.0
effect,1,,0.354850322558167,8.0,0.399271305076837,,,,,28.0
read,1,,0.328485974192652,7.0,0.503740026629298,,,,,27.0
find,0,,,1.0,0.775403950323956,,,,,21.0
distinguish,1,,,2.0,0.68239600064858,,0.325638458589582,,,22.0
inform,0,,,3.0,0.637948385783021,,,,,23.0
identifi,0,,,4.0,0.62018137911865,,,,,24.0
valu,0,,,5.0,0.578132844061045,,,,,25.0
readabl,0,,,6.0,0.530718565902191,,,,,26.0
clearData,1,,,9.0,0.377103640976006,,0.342082208350907,,,29.0
crowd,0,,,,,1.0,0.989038628652079,,,15.0
messi,0,,,,,2.0,0.960503035486138,,,16.0
distract,0,,,,,3.0,0.700537665992701,,,17.0
organiz,0,,,,,4.0,0.622073476168765,,,18.0
visibl,0,,,,,,,1.0,0.817855374383927,19.0
see,0,,,,,,,2.0,0.71702293098372,20.0
