item,Cross-loadings in Agg,factor rank in PA1 Agg,PA1 Agg,factor rank in PA2 Agg,PA2 Agg,factor rank in PA4 Agg,PA4 Agg,factor rank in PA3 Agg,PA3 Agg,Order in Agg
obvious,0,1.0,1.06582079366313,,,,,,,1.0
meanOveral,0,2.0,0.897275932848214,,,,,,,2.0
confid,0,3.0,0.8898006702583,,,,,,,3.0
represent,0,4.0,0.885326890288674,,,,,,,4.0
understandEasi,0,5.0,0.845154674257472,,,,,,,5.0
understandQuick,0,6.0,0.769944065913234,,,,,,,6.0
meanElem,0,7.0,0.586230838836887,,,,,,,7.0
answer,1,8.0,0.564585078416743,,,,0.381155435835374,,,8.0
lost,1,9.0,0.533414936160105,,0.361014375647952,,,,,9.0
confus,1,10.0,0.51743781617037,,0.40696480787062,,,,,10.0
complex,1,11.0,0.503384067336945,,0.396937912565241,,,,,11.0
deciph,1,12.0,0.475588796663637,,0.333246268835247,,,,,12.0
clearRepresent,0,13.0,0.402024115603555,,,,,,,13.0
simpl,1,,0.385401174437891,5.0,0.391523412943462,,,,,18.0
effect,1,,0.35996193996595,,,8.0,0.396543554915853,,,28.0
read,1,,0.335148417774152,,,7.0,0.479652106799051,,,27.0
identifi,1,,0.32223709558729,,,3.0,0.604222560341945,,,23.0
crowd,0,,,1.0,1.0006669149476,,,,,14.0
messi,0,,,2.0,0.973956832507888,,,,,15.0
distract,0,,,3.0,0.7110416283724,,,,,16.0
organiz,0,,,4.0,0.598991884883907,,,,,17.0
distinguish,1,,,,0.35333941494735,2.0,0.657941213971726,,,22.0
clearData,1,,,,0.345793427327758,9.0,0.361050933895512,,,29.0
find,0,,,,,1.0,0.818533765207739,,,21.0
inform,0,,,,,4.0,0.59817245552145,,,24.0
valu,0,,,,,5.0,0.587352862346526,,,25.0
readabl,0,,,,,6.0,0.508694474252667,,,26.0
visibl,0,,,,,,,1.0,0.807829099471036,19.0
see,0,,,,,,,2.0,0.748063986674598,20.0
