item,Cross-loadings in Agg,factor rank in ML1 Agg,ML1 Agg,factor rank in ML4 Agg,ML4 Agg,factor rank in ML2 Agg,ML2 Agg,factor rank in ML5 Agg,ML5 Agg,factor rank in ML3 Agg,ML3 Agg,Order in Agg
obvious,0,1.0,0.912663499669983,,,,,,,,,1.0
meanOveral,0,2.0,0.911140110833836,,,,,,,,,2.0
confid,0,3.0,0.890535192146332,,,,,,,,,3.0
represent,0,4.0,0.836386968174896,,,,,,,,,4.0
understandEasi,0,5.0,0.657597943599986,,,,,,,,,5.0
meanElem,0,6.0,0.571861206438947,,,,,,,,,6.0
answer,1,7.0,0.553202242923963,,0.435111408080776,,,,,,,7.0
understandQuick,1,8.0,0.532244684190453,,,,,,0.415759411889285,,,8.0
lost,0,9.0,0.392133755396499,,,,,,,,,9.0
confus,1,,0.349504444891448,,,,,4.0,0.355990891079961,,,28.0
find,0,,,1.0,0.765375010674525,,,,,,,16.0
distinguish,1,,,2.0,0.699715818898332,,0.334262947527228,,,,,17.0
identifi,0,,,3.0,0.612888189057437,,,,,,,18.0
inform,0,,,4.0,0.609632889101871,,,,,,,19.0
valu,0,,,5.0,0.571721624067008,,,,,,,20.0
readabl,0,,,6.0,0.496706652387868,,,,,,,21.0
read,1,,,7.0,0.44396380772344,,,,0.409760106149884,,,22.0
effect,0,,,8.0,0.386513456835981,,,,,,,23.0
clearData,0,,,9.0,0.339572118123582,,,,,,,24.0
crowd,0,,,,,1.0,0.93969814055287,,,,,10.0
messi,0,,,,,2.0,0.855590082565513,,,,,11.0
distract,0,,,,,3.0,0.669268565151938,,,,,12.0
organiz,0,,,,,4.0,0.580088863316929,,,,,13.0
simpl,0,,,,,,,1.0,0.570438942417736,,,25.0
complex,0,,,,,,,2.0,0.538682827306333,,,26.0
deciph,0,,,,,,,3.0,0.410983055800861,,,27.0
visibl,0,,,,,,,,,1.0,0.839773494256519,14.0
see,0,,,,,,,,,2.0,0.796541980698164,15.0
