item,Cross-loadings in Agg,factor rank in PA1 Agg,PA1 Agg,factor rank in PA4 Agg,PA4 Agg,factor rank in PA5 Agg,PA5 Agg,factor rank in PA2 Agg,PA2 Agg,factor rank in PA3 Agg,PA3 Agg,Order in Agg
meanOveral,0,1.0,0.921001934433808,,,,,,,,,1.0
obvious,0,2.0,0.880180175743508,,,,,,,,,2.0
confid,0,3.0,0.858429130544416,,,,,,,,,3.0
represent,0,4.0,0.801721533987909,,,,,,,,,4.0
understandEasi,0,5.0,0.642372225555089,,,,,,,,,5.0
meanElem,0,6.0,0.592622158890783,,,,,,,,,6.0
answer,1,7.0,0.543861060979775,,0.400711144099549,,,,,,,7.0
understandQuick,1,8.0,0.527852055114057,,,,0.401490470668054,,,,,8.0
lost,1,,0.349668515808038,,,5.0,0.37280648099304,,,,,27.0
find,0,,,1.0,0.811749251977643,,,,,,,15.0
distinguish,1,,,2.0,0.693018806022638,,,,0.358638489481134,,,16.0
identifi,0,,,3.0,0.594944738764056,,,,,,,17.0
inform,0,,,4.0,0.571490058101763,,,,,,,18.0
valu,0,,,5.0,0.562107828113476,,,,,,,19.0
readabl,0,,,6.0,0.484492203175547,,,,,,,20.0
read,1,,,7.0,0.439625480653971,,0.380425874311948,,,,,21.0
effect,0,,,8.0,0.376358829975583,,,,,,,22.0
clearData,1,,,,0.329534814767462,6.0,0.356224851778415,,,,,28.0
simpl,0,,,,,1.0,0.557467948092847,,,,,23.0
complex,0,,,,,2.0,0.519348746313842,,,,,24.0
deciph,0,,,,,3.0,0.477112949536472,,,,,25.0
confus,0,,,,,4.0,0.421748421682825,,,,,26.0
crowd,0,,,,,,,1.0,0.930991958004583,,,9.0
messi,0,,,,,,,2.0,0.782362682599299,,,10.0
distract,0,,,,,,,3.0,0.658085788934731,,,11.0
organiz,0,,,,,,,4.0,0.480504002137404,,,12.0
visibl,0,,,,,,,,,1.0,0.851742295713099,13.0
see,0,,,,,,,,,2.0,0.799703082358846,14.0
