"terms","ML1","ML4","ML2","ML3"
"answer",0.540929464151333,0.405169736875678,-0.0883359724062203,-0.0088393348602852
"clearData",0.249985302872793,0.377103640976006,0.342082208350907,0.0312242152074548
"clearRepresent",0.388312193661265,0.325002850333215,0.252160736978362,0.0179978569874138
"complex",0.503016476728544,0.0424959256998764,0.39042917611615,-0.0113619126643705
"confid",0.88648483151242,0.0496058997173407,-0.119318603814,-0.0160812138607988
"confus",0.519527655237607,0.0567910948487838,0.411717840688488,-0.027937296173508
"crowd",-0.136079623686772,-0.107728899379409,0.989038628652079,0.0141313193731738
"deciph",0.471649078217814,0.196020211728285,0.3355972903833,-0.0729540061865862
"distinguish",-0.232841656092348,0.68239600064858,0.325638458589582,0.0151924183431681
"distract",-0.0343172383951262,0.156350830382838,0.700537665992701,-0.0130982399430384
"effect",0.354850322558167,0.399271305076837,0.13739913159152,0.0549268804467498
"find",-0.0352004141341763,0.775403950323956,0.129467002150714,0.0192905227357742
"identifi",0.311275777988673,0.62018137911865,0.0253087262879981,-0.0208434403526634
"inform",0.246683959274817,0.637948385783021,0.0802667872710474,-0.0180188602936559
"lost",0.533875045871571,0.0572913884246386,0.363952435914341,-0.00460886058232813
"meanElem",0.579935072694304,0.241252203499642,-0.0208793412327158,0.0490988614168623
"meanOveral",0.88779309935033,-0.066107335471264,-0.0939358944634003,0.029259540130711
"messi",-0.0111807623669019,-0.0800535261578476,0.960503035486138,0.0446575034068707
"obvious",1.0523034705487,-0.225765740028481,-0.034354300589966,0.0529180068084347
"organiz",0.121320606745449,0.0846956733852848,0.622073476168765,0.102897851177749
"read",0.328485974192652,0.503740026629298,0.191652640851198,-0.0648789162666895
"readabl",0.22833856246345,0.530718565902191,0.184331004275517,-0.00595982834062702
"represent",0.880514093076714,-0.0322980539675048,-0.0016250363167775,0.0543940591570664
"see",0.0740352934395022,0.090621635450538,0.0668573073781304,0.71702293098372
"simpl",0.377640289968249,0.247466191611096,0.374207166604689,-0.00992987773107007
"understandEasi",0.836848052769264,0.0881495888070447,0.0309282401428715,-0.0183679168746498
"understandQuick",0.767393783578587,0.0255968013097892,0.127883450482586,0.0176988317845648
"valu",0.090752981993465,0.578132844061045,-0.142408345540475,0.187072278891097
"visibl",0.0463868389199352,0.0260002575800025,0.0490081401435176,0.817855374383927
