"terms","PA1"
"answer",0.810897626564461
"clearData",0.914615135231076
"clearRepresent",0.909438844493217
"complex",0.852456298789227
"confid",0.771356632829781
"confus",0.890543645432646
"crowd",0.649589984173244
"deciph",0.876786101466457
"distinguish",0.716849976615193
"distract",0.723911669026535
"effect",0.872128684768387
"find",0.822420475405829
"identifi",0.885748910331988
"inform",0.889789930851675
"lost",0.879096713818976
"meanElem",0.795165952189672
"meanOveral",0.718363903538117
"messi",0.78834071334387
"obvious",0.789081872926519
"organiz",0.815279441962182
"read",0.906683383681346
"readabl",0.873785658363181
"represent",0.841985007918136
"see",0.707311214411627
"simpl",0.912648045929997
"understandEasi",0.888445771340368
"understandQuick",0.874813026264685
"valu",0.633042991677269
"visibl",0.673288944969386
