"terms","PA1","PA2","PA3"
"answer",0.669411126677312,0.0456239008379054,0.144554401846225
"clearData",0.305391624373359,0.519920464310412,0.157415718374979
"clearRepresent",0.458377306824859,0.385272631894566,0.126022463029366
"complex",0.507057237997423,0.447805003206332,-0.059115129095272
"confid",0.95573449010449,-0.135087922544752,-0.0200271577100929
"confus",0.532648108215422,0.479795846288558,-0.0776123222471236
"crowd",-0.211092975777907,1.06487321074455,-0.151174707918098
"deciph",0.526454505869319,0.459828943575505,-0.0654019931877426
"distinguish",-0.119787734042512,0.655541317452771,0.25737800606022
"distract",-0.0500825570943577,0.87659105588876,-0.0457032785354996
"effect",0.430837004115859,0.278664490116935,0.227657302039383
"find",0.108637988316578,0.45364846456376,0.340449844169287
"identifi",0.45571313751139,0.278713623739728,0.215745514190279
"inform",0.393953131058937,0.343995845641698,0.218722082792996
"lost",0.54775495434842,0.420676261215288,-0.0445328900927408
"meanElem",0.65475819921104,0.0501224574835199,0.137775997122333
"meanOveral",0.928812302082836,-0.164124387411373,-0.0203777319968149
"messi",-0.0856773345406791,1.02647457158337,-0.0895671549629641
"obvious",1.04360443674763,-0.168631086332521,-0.0592693966318142
"organiz",0.0992924317654146,0.682335032759254,0.0991412799731393
"read",0.441357968290335,0.427881491719485,0.0961688207015088
"readabl",0.340304671042381,0.412462025190546,0.186474182113714
"represent",0.91117647474987,-0.0559533173029828,0.0247194464854355
"see",-0.0198118364612879,-0.0571322214179782,0.903054806115246
"simpl",0.418332260017338,0.518317076796366,0.0322484603681968
"understandEasi",0.901084770770069,0.0532992408736808,-0.0282526808117578
"understandQuick",0.79636709097867,0.127346763720853,-0.00887023272639569
"valu",0.19451552005112,0.0101541634777946,0.502870971704791
"visibl",-0.0417319512422639,-0.094201137254364,0.928008213510113
