"terms","ML1","ML3","ML2"
"answer",0.0445097138130342,0.0599056260448723,-0.0325649451742398
"clearData",0.0136640723602792,0.107602428041043,0.0943497603180151
"clearRepresent",0.0426657323296426,0.0771663022000986,0.050976521631686
"complex",0.0507795727105644,-0.0226547339432309,0.0706721650434319
"confid",0.0895963106364271,-0.00373319149580851,-0.0405510919810276
"confus",0.068913459021183,-0.0283995189466408,0.0997369954397998
"crowd",-0.0316617387741382,-0.0383225206668158,0.160076401875664
"deciph",0.0491045782366086,0.00343521583801189,0.0680333839474777
"distinguish",-0.0402541853681244,0.0892922843899932,0.0402839809135917
"distract",-0.0205062687636693,0.00500426107631332,0.0991811246302936
"effect",0.0268894388001453,0.0869347339755231,0.00805813058278173
"find",-0.0346191860650728,0.159000668193532,0.0126181404841892
"identifi",0.0225099810025372,0.151009109728506,-0.0163500360098552
"inform",0.0099807147482576,0.16432824587293,0.000483216966242522
"lost",0.0640368856953521,-0.0191419751037012,0.0739096122927594
"meanElem",0.0457763700660764,0.034184422653077,-0.0200425208724647
"meanOveral",0.0738566519480178,-0.0136754099325302,-0.0297984768942984
"messi",-0.0376392848125671,-0.0549021636854863,0.278428871414781
"obvious",0.150962309448257,-0.0626010450261985,-0.0381609013156136
"organiz",-0.00678239844662202,0.0135094676453943,0.104044413339512
"read",0.0297162914978913,0.109891338685101,0.0421219430242614
"readabl",0.0063276449428872,0.106541092966963,0.0272038847216115
"represent",0.126153671628319,-0.015728863194337,-0.0322907055104522
"see",0.00338200660807176,0.0566676770982598,-0.00956573102088722
"simpl",0.0464721396982554,0.0372938341622131,0.107095924872525
"understandEasi",0.169061715168495,-0.0100945226897381,-0.0258512931344117
"understandQuick",0.119611551419854,-0.0210349579585305,0.00849598612282524
"valu",-0.00296323935458949,0.0730124502154388,-0.025731987740263
"visibl",0.00299978371682783,0.0518878842480042,-0.0110768857593927
