"terms","ML1","ML4","ML2","ML3"
"answer",0.0450923533380888,0.0581443412431475,-0.0341890232470949,0.00223476925797952
"clearData",0.0178120768939427,0.10631121114173,0.0923604663655183,0.0246821328796788
"clearRepresent",0.0445961899525882,0.0747823350569229,0.0501184859303885,0.0124518347178196
"complex",0.0473496879157536,-0.0133820756534219,0.0671112516158324,-0.0147309390628404
"confid",0.0866870606060876,-0.00800230694795397,-0.0401583258560386,-0.00596498801159196
"confus",0.0655104937550762,-0.0157798138409476,0.096254794833666,-0.0319279474901187
"crowd",-0.0302329028741604,-0.0322597202031458,0.163663398779744,-0.0117038913361943
"deciph",0.0482369159071856,0.0221606639318687,0.0631968422048338,-0.0499500454125226
"distinguish",-0.0352944537029153,0.092038877334877,0.0382272131818528,0.00872184800481154
"distract",-0.0181768652698078,0.0111889478725972,0.0991365782321946,-0.0131343830459928
"effect",0.0295753652194584,0.0755434095754893,0.00934461935340458,0.0337661460351105
"find",-0.0274448007080551,0.158587654102634,0.00925955520514649,0.0206764080227685
"identifi",0.0272182910300802,0.160512717260412,-0.0231552665514168,-0.0023236626244403
"inform",0.0152881456873843,0.176169177860124,-0.00635556725757776,-0.00136083941776966
"lost",0.0608177133977287,-0.0123459691001989,0.0715931357583914,-0.0124540890103279
"meanElem",0.0452848065883208,0.026323938718703,-0.0191571880253899,0.0208755149385426
"meanOveral",0.071248949807301,-0.022024419792471,-0.0276652567635726,0.00916124110119597
"messi",-0.0374050326870309,-0.057962732817748,0.306642198091141,0.0023166953746055
"obvious",0.147475572656122,-0.0811402336009106,-0.0347478422264497,0.0248389232694315
"organiz",-0.00420530918555123,0.00126201303858377,0.113733165822553,0.0386450980869916
"read",0.0330381786480926,0.142039248012614,0.0330641672542131,-0.0480198847218319
"readabl",0.00970947922036026,0.113488858928997,0.0230320805740155,0.00156600299101046
"represent",0.123127346752342,-0.0332274714776665,-0.0282636702380674,0.030398602382919
"see",0.00299417393985346,0.0293276161938813,-0.00581648121074881,0.402109672657468
"simpl",0.0455381821571061,0.0521488885981721,0.101126656588481,-0.0160636007328356
"understandEasi",0.161967321110634,-0.00711350862510024,-0.0293183133152341,-0.0185677404915987
"understandQuick",0.113176546200105,-0.0223411742842734,0.00733452838942776,0.00658086443026879
"valu",-0.000373190375067142,0.0584257963296302,-0.023627701431615,0.0523712570766496
"visibl",0.00177033390701367,0.0213107443338785,-0.0114232389277809,0.539064929380342
