"terms","ML1","ML4","ML2","ML5","ML3"
"answer",0.0732965864895217,0.0749827593943215,-0.0177627009557931,-0.0577857808024809,-0.00566734393157969
"clearData",-0.00648699867635252,0.0980633590732873,0.0719028380560326,0.102408030653421,0.0367381726666029
"clearRepresent",0.0344231483376115,0.0700878569857999,0.0379434309429921,0.0652144754854417,0.020429920049691
"complex",0.0129278709767249,-0.0400030624498786,0.0324910880639344,0.164926259286094,0.0034732801622285
"confid",0.133441416112252,0.00639586408280826,-0.0187906351129365,-0.0710960102567732,-0.0168142362810898
"confus",0.0451305172288901,-0.025916684700096,0.0751237367500744,0.115579605134865,-0.0186723149700453
"crowd",-0.0202442814641009,-0.0240368600960126,0.216242957553683,-0.0260528757711111,-0.0166059078343598
"deciph",0.0225239752819021,0.00860196418611973,0.0350024911280122,0.123830472756791,-0.0358343677168012
"distinguish",-0.0277959913490873,0.105803554974107,0.0572787955224001,-0.0382773907289074,0.00407579300289985
"distract",-0.00818267754313823,0.021845968162298,0.128880026008203,-0.0250266190860497,-0.0173627101667396
"effect",0.0347637477270048,0.0788806575051058,0.0121120665034134,0.00286674074263834,0.0336320537369222
"find",-0.0208766881273843,0.170346041287142,0.0207058025067989,-0.0310920564155329,0.0156637356308637
"identifi",0.0419741607186574,0.174157132183457,-0.0141075342675406,-0.0293303884221294,-0.00569707062081987
"inform",0.0158041957501222,0.178079913979003,-0.0084152312340123,0.010844852859639,-0.000464959042592839
"lost",0.051208752649617,-0.0165634171726853,0.060525015825568,0.0725408348504358,-0.00513698329215962
"meanElem",0.0669140716551086,0.0361519237780597,-0.00534663924725039,-0.0390063957638712,0.0157074915858632
"meanOveral",0.111618405990981,-0.0117123952933214,-0.0059764801691605,-0.0644619768531701,0.000786671643307705
"messi",-0.0333763226531182,-0.0504252810184817,0.370134800440357,0.0149984814061924,0.00333611748259049
"obvious",0.167459627205895,-0.0781241615486359,-0.0321001375878443,0.00756515041022332,0.0242887300414116
"organiz",0.00848826828913412,0.0109445222012389,0.144421751272199,-0.0216684671313301,0.0363048034392743
"read",-0.0123932559129744,0.135233273419692,-0.0194147724736069,0.175682207649441,-0.0330333844524748
"readabl",0.000580055518972473,0.111271551034024,0.013260753227735,0.0404738554027659,0.00587079154763214
"represent",0.171536585855148,-0.0226036529588181,-0.00531904462681273,-0.0546303439072059,0.022632740769818
"see",-0.00348534405945804,0.0257565978053766,-0.0150071357599658,0.00846270974634541,0.442547072549819
"simpl",-0.0306922710616756,0.0189627051807909,0.0387382753180595,0.325926525854201,0.0157574158581443
"understandEasi",0.15914776918113,-0.0142399259002309,-0.0535049249281343,0.0881944238545746,-0.0106314489126196
"understandQuick",0.0943960474375579,-0.0432029420367137,-0.033628358225218,0.142167160031673,0.0224208992118173
"valu",0.00588140996420202,0.0623783315106755,-0.0195610432728931,-0.0228450697265518,0.0476032692921444
"visibl",0.00854381558150167,0.0230152376295918,-0.00500635837597425,-0.0310329458377547,0.447923517841048
