"terms","PA1"
"answer",0.0341947371849886
"clearData",0.0691667374773001
"clearRepresent",0.0647355381024088
"complex",0.0349368302311167
"confid",0.0282722831884111
"confus",0.0554430517505833
"crowd",0.0173014710552092
"deciph",0.0425467271683764
"distinguish",0.0195646423429878
"distract",0.0242184632420858
"effect",0.048062457101407
"find",0.0401623236072004
"identifi",0.0563240184842239
"inform",0.0514892141694898
"lost",0.0528182817904193
"meanElem",0.0344024875450221
"meanOveral",0.0218921956686828
"messi",0.0305582308148257
"obvious",0.0234141757591219
"organiz",0.0368197802393182
"read",0.0576470510182779
"readabl",0.0477156969670866
"represent",0.0491228316128108
"see",0.0273928734838595
"simpl",0.064029236817777
"understandEasi",0.0507587404801783
"understandQuick",0.0451687515528545
"valu",0.0128511268395362
"visibl",0.0249746780071801
