"terms","PA1","PA2","PA4","PA3"
"answer",0.0543461381515202,-0.0295405408639446,0.0516590971382647,0.00128656426372199
"clearData",0.0114718949534827,0.0907198782587515,0.102240173824092,0.0302454639005336
"clearRepresent",0.0510191540020467,0.0344323720452326,0.0745425329163393,0.0229018653023034
"complex",0.0396494034783932,0.0632274717255334,-0.0214447437054794,-0.00853144033272412
"confid",0.0870222312567095,-0.0311783339100825,0.00576333403039413,-0.00466305037243345
"confus",0.0616135755003879,0.0905728526913892,-0.00818654046243038,-0.028015555518222
"crowd",-0.0242564094794928,0.166918925637729,-0.026759426856864,-0.0199015821554025
"deciph",0.048225663227887,0.0548188125907463,0.0254450708308097,-0.0455467799600579
"distinguish",-0.0309932651780503,0.0519236318298304,0.0836621147426687,0.00115423434864144
"distract",-0.0156426918219193,0.105477689757054,0.0173305386492891,-0.0153361667578803
"effect",0.027675880458892,0.00414750662084316,0.0846836886343048,0.0431314211571157
"find",-0.0310196501712043,0.0108359563644512,0.209414224502589,0.0272360273510287
"identifi",0.0317213438845,-0.0141435908218288,0.163382228574374,-0.00863682059243798
"inform",0.0199728945359048,-0.00218667612273432,0.149049637574301,-0.00948171978350368
"lost",0.0556583031245533,0.0655619912059291,-0.00748236816137959,-0.00974035688470274
"meanElem",0.0487205645312018,-0.0138009615207086,0.0287057006026634,0.0122681636610668
"meanOveral",0.0745017537331375,-0.0221859796603992,-0.01568798007911,0.00538286557067822
"messi",-0.0345248533440367,0.322374537346312,-0.0665162996404131,0.00912389769280457
"obvious",0.152172482062395,-0.0296573506675388,-0.0892028500003068,0.0266774015640202
"organiz",0.00267484958316557,0.0852307120041552,0.00422533377204733,0.0388874228031392
"read",0.0237478265801488,0.02926342713831,0.13761206861308,-0.0479410814014924
"readabl",0.0167124360973196,0.0230410644578852,0.110104018812441,0.00316942387178085
"represent",0.126476106116326,-0.0238569868988549,-0.0168418445892597,0.0340563864368814
"see",0.00285898573359111,-0.00613468928433334,0.0253171319393272,0.444468098316172
"simpl",0.0389086104086345,0.111681348160314,0.0250262307462336,-0.00636649239016489
"understandEasi",0.15429637794878,-0.0267913280397383,-0.0222927829624205,-0.025460688707529
"understandQuick",0.10319999854859,-0.00338740250782423,-0.027836426346493,0.00548402007360016
"valu",0.00367482213398225,-0.0264664006464551,0.0586300342410058,0.0486842836453271
"visibl",-0.00132133748510178,-0.0108329119725578,0.0235160312051717,0.483504705837339
