"terms","PA1","PA4","PA5","PA2","PA3"
"answer",0.0797379212966139,0.0610310367000757,-0.0461367243175855,-0.0180576752846373,-0.00397506210417518
"clearData",-0.0254813232563805,0.0966977921695619,0.138663622598452,0.0590574058103837,0.0442554342119546
"clearRepresent",0.0349688623168748,0.070320814457538,0.0854984753530728,0.0111746614213337,0.0306759768505709
"complex",0.0145884102563117,-0.035601783751698,0.13094733257314,0.0332432858558024,0.00458999887855216
"confid",0.134579224895383,0.0134701643535662,-0.0639294535611,-0.0123121101353977,-0.0137251275085499
"confus",0.0379785918369058,-0.0176945130006999,0.132403743543006,0.0669334430370408,-0.0139903167038656
"crowd",-0.0125041574890723,-0.029370639142268,-0.0460160418878749,0.269660505865169,-0.0250391254754258
"deciph",0.0182549270675649,0.0160021079921539,0.143473225684014,0.0178226049935339,-0.0326647166775713
"distinguish",-0.0227781024220311,0.101936667783359,-0.0538014352558428,0.0833342245407582,-0.00476104299349398
"distract",-0.00231970368364188,0.0266919968443571,-0.043960704582116,0.155255048994619,-0.0209501225385706
"effect",0.0216994337253045,0.0833283512632756,0.0358549708097787,-0.00738741971483642,0.0448459909483886
"find",-0.0229886762631685,0.220397917121656,-0.0487605052514296,0.0259029398218458,0.0219897903901508
"identifi",0.0441728848881935,0.168555232310655,-0.0238180219189503,-0.00837802349872223,-0.0102571707179182
"inform",0.013995804869986,0.147111211032167,0.0291915497682122,-0.0154156727279038,-0.00431909485664205
"lost",0.0387970089218451,-0.0138146211978957,0.100665198485993,0.0447746776503104,0.00176897454547204
"meanElem",0.0791996309761286,0.0389596993768101,-0.0601767817916877,0.00846855270518676,0.00531850453660322
"meanOveral",0.130779403209716,-0.0127246589030659,-0.0780188594098149,0.00507278039414466,-0.0033994678985994
"messi",-0.0393542959809255,-0.0565639996295435,0.0387147431033922,0.365779769812073,0.0112288462174965
"obvious",0.170842314516216,-0.0862402674951455,0.0200562437786818,-0.0337326781800393,0.0250493055661913
"organiz",0.00322338884779626,0.00738370968155834,0.00900143877700981,0.100940813697959,0.03696533718048
"read",-0.00933714903474612,0.135729054924481,0.123442845800952,-0.0164795190142141,-0.0351726698388543
"readabl",0.00981216514576558,0.108889270864861,0.0306116411763073,0.0153476512840897,0.00696596736179851
"represent",0.169889967889137,-0.0109420577224912,-0.0442839228082332,-0.00262780050135068,0.0274258681292631
"see",-0.000320908759285956,0.0234733331476775,0.00757025881941745,-0.0122049122578956,0.429403808582632
"simpl",-0.0269785450751272,0.00778850863396271,0.276696218606266,0.0477336136744838,0.0206200218188991
"understandEasi",0.156776905473947,-0.0269227469049432,0.0759227677462457,-0.0525068806312661,-0.0166498334152709
"understandQuick",0.0923457404677781,-0.0397577556748026,0.111787577209032,-0.0395607479425015,0.0163663400700401
"valu",0.00410528870792408,0.0583042327405574,-0.00397050783091137,-0.0300585548221026,0.0458123052703183
"visibl",0.00432490987716294,0.0253771028037486,-0.0214863071789369,-0.00584065692263014,0.446350049593346
