item,presence count PA1,Order in A,Order in B,Order in C,Order in D,Order in E,Order in F,PA1 A,PA1 B,PA1 C,PA1 D,PA1 E,PA1 F,average rank in PA1,factor rank in PA1 A,factor rank in PA1 B,factor rank in PA1 C,factor rank in PA1 D,factor rank in PA1 E,factor rank in PA1 F
represent,6,0,5,3,16,3,19,0.833901720801366,0.788136577282603,0.807012923670989,0.710599508352196,0.863985634191229,0.701921230916672,7.666666666666667,0,5,3,16,3,19
understandEasi,6,1,0,4,14,0,9,0.832711307714351,0.846734479576589,0.806980168740987,0.755661746515762,0.892737208015027,0.826909885625164,4.666666666666667,1,0,4,14,0,9
clearData,6,2,4,2,2,7,0,0.825475350644417,0.807608278046378,0.807661429413798,0.826589089996781,0.846426298642575,0.866262799128272,2.8333333333333335,2,4,2,2,7,0
identifi,6,3,12,11,6,9,3,0.81861120892915,0.734023431390146,0.755786676021837,0.797509360456497,0.826603320833932,0.846472193419625,7.333333333333333,3,12,11,6,9,3
simpl,6,4,1,0,1,8,2,0.795003638619827,0.832590093315252,0.853365997985813,0.83031469132985,0.838049130613842,0.851088748037668,2.6666666666666665,4,1,0,1,8,2
readabl,6,5,10,10,8,10,8,0.793015070905938,0.743466500597425,0.760002526891347,0.787290159188478,0.825322773213116,0.829200004611234,8.5,5,10,10,8,10,8
effect,6,6,13,8,12,4,14,0.779712191861612,0.729781033639862,0.763479322682347,0.765007464731112,0.85546641406569,0.77705332546074,9.5,6,13,8,12,4,14
clearRepresent,6,7,3,6,3,1,4,0.775759724389355,0.816268140252503,0.786726242981688,0.825861132867108,0.891319133956358,0.839214567114223,4.0,7,3,6,3,1,4
read,6,8,2,1,0,13,1,0.769035292975356,0.819623367107655,0.827507990604028,0.860136145549683,0.81959205854627,0.851840512105152,4.166666666666667,8,2,1,0,13,1
obvious,6,9,20,23,18,11,23,0.768905849385267,0.649621513257055,0.624845194281245,0.676350187508927,0.825020374812188,0.645468755233903,17.333333333333332,9,20,23,18,11,23
inform,6,10,11,9,4,6,5,0.765820457632199,0.734196978171424,0.763155311274901,0.813185464477328,0.853262046247644,0.836132382293128,7.5,10,11,9,4,6,5
understandQuick,6,11,6,5,7,14,13,0.747422503832914,0.764732576198934,0.805291240828487,0.791114237301087,0.808592195043505,0.77886304194195,9.333333333333334,11,6,5,7,14,13
meanElem,6,12,23,19,19,18,21,0.737226605828812,0.569407893131506,0.673114741838021,0.675119095975578,0.737378255844015,0.678857545167157,18.666666666666668,12,23,19,19,18,21
answer,6,13,24,16,17,16,12,0.734484452017469,0.559924301957966,0.712859363356822,0.70738120768422,0.75892598402546,0.783314049053409,16.333333333333332,13,24,16,17,16,12
distract,6,14,21,22,24,28,26,0.706555744087871,0.630229593767845,0.631608758491041,0.61179700902787,0.479453194486587,0.616548070251865,22.5,14,21,22,24,28,26
messi,6,15,9,17,25,22,16,0.685074748880209,0.746622454312202,0.70624344535777,0.597941962201041,0.646342045084521,0.747397232134136,17.333333333333332,15,9,17,25,22,16
meanOveral,6,16,25,18,26,21,28,0.684749131236085,0.542124387417684,0.698312702165112,0.584679494736102,0.70775794535507,0.565115038915007,22.333333333333332,16,25,18,26,21,28
lost,6,17,16,14,13,5,7,0.679768072874537,0.696248246922003,0.723743326674871,0.76003888034433,0.853958266471162,0.82935506692619,12.0,17,16,14,13,5,7
confid,6,18,22,13,22,17,20,0.674069712107943,0.612394735295707,0.742141818702217,0.621626301421627,0.743405933478236,0.691298667359671,18.666666666666668,18,22,13,22,17,20
complex,6,19,8,21,11,15,17,0.673905016236385,0.748909777326602,0.65044157427023,0.770180812152853,0.781356299293145,0.717483946669519,15.166666666666666,19,8,21,11,15,17
deciph,6,20,17,15,5,12,6,0.67015129451079,0.694305171476826,0.721970817267147,0.809629989359881,0.824671512836447,0.834269580460481,12.5,20,17,15,5,12,6
confus,6,21,14,12,10,2,11,0.670082770248846,0.711223973618863,0.747557866490494,0.774688952466418,0.877056132504366,0.800374175017248,11.666666666666666,21,14,12,10,2,11
crowd,6,22,15,25,28,27,25,0.661567474990769,0.707595913388493,0.567272745198478,0.442677649134278,0.515595105002766,0.621954810388308,23.666666666666668,22,15,25,28,27,25
find,6,23,19,20,9,20,10,0.653294893829557,0.653917426972715,0.656057444907246,0.778709989166427,0.719897822328407,0.80724360696925,16.833333333333332,23,19,20,9,20,10
organiz,6,24,7,7,15,19,18,0.627952512253366,0.760883986940652,0.765955078898309,0.715776097623659,0.727216069412831,0.707937344325893,15.0,24,7,7,15,19,18
valu,6,25,28,26,27,23,27,0.555174186203791,0.4582495646994,0.561438355532161,0.462757657047052,0.618082258828501,0.585165223980328,26.0,25,28,26,27,23,27
see,6,26,27,27,23,24,22,0.539438391791339,0.473470342256104,0.55963209850335,0.615608426812561,0.582420086273036,0.673723751892867,24.833333333333332,26,27,27,23,24,22
distinguish,6,27,18,24,20,26,15,0.521211445719261,0.683609505862859,0.592198343048285,0.657876786353023,0.521268373112165,0.752641124716084,21.666666666666668,27,18,24,20,26,15
visibl,6,28,26,28,21,25,24,0.499314806347485,0.503935679787486,0.476374171272197,0.655219907222458,0.525978405696851,0.634142374932851,25.333333333333332,28,26,28,21,25,24
