item,presence count PA1,presence count PA2,presence count PA3,presence count PA4,Cross-loadings in A,Cross-loadings in B,Cross-loadings in C,Cross-loadings in D,Cross-loadings in E,Cross-loadings in F,Order in A,Order in B,Order in C,Order in D,Order in E,Order in F,PA1 A,PA1 B,PA1 C,PA1 D,PA1 E,PA1 F,PA2 A,PA2 B,PA2 C,PA2 D,PA2 E,PA2 F,PA3 A,PA3 B,PA3 C,PA3 D,PA3 E,PA3 F,PA4 A,PA4 B,PA4 C,PA4 D,PA4 E,PA4 F,average rank in PA1,average rank in PA2,average rank in PA3,average rank in PA4,factor rank in PA1 A,factor rank in PA1 B,factor rank in PA1 C,factor rank in PA1 D,factor rank in PA1 E,factor rank in PA1 F,factor rank in PA2 A,factor rank in PA2 B,factor rank in PA2 C,factor rank in PA2 D,factor rank in PA2 E,factor rank in PA2 F,factor rank in PA3 A,factor rank in PA3 B,factor rank in PA3 C,factor rank in PA3 D,factor rank in PA3 E,factor rank in PA3 F,factor rank in PA4 A,factor rank in PA4 B,factor rank in PA4 C,factor rank in PA4 D,factor rank in PA4 E,factor rank in PA4 F
confid,2,2,1,1,0,0,0,0,1,0,1,15,1,19,19,15,0.902393279735015,,0.888537151706853,,0.335255322584308,,,,,0.750843664779902,,0.846960927410744,,0.786026396637181,,,,,,,,,0.644153405665047,,,,,,1.0,,1.0,,,,,,,3.0,,3.0,,1.0,,,,,,,,,2.0,
read,5,0,0,1,0,0,0,0,0,0,2,28,5,1,10,11,0.815579971828651,,0.826150489976,1.00306328520666,0.512703136915825,0.508861473376006,,,,,,,,,,,,,,0.527094743510393,,,,,,,,,2.0,,5.0,1.0,10.0,11.0,,,,,,,,,,,,,,7.0,,,,
answer,2,2,1,1,0,0,0,1,0,0,3,19,12,24,18,20,0.805224425842559,,0.656334828497211,0.364559942700497,,,,,,0.366433854142819,,0.530799273739012,,0.623374695097263,,,,,,,,,0.819176474602327,,,,,,3.0,,12.0,,,,,,,8.0,,8.0,,5.0,,,,,,,,,1.0,
identifi,3,0,0,3,0,0,0,0,1,0,4,22,13,7,22,26,0.801353600588351,,0.616474879223253,0.701253990081789,0.339856959106466,,,,,,,,,,,,,,,0.705882958673278,,,0.569889169732276,0.459565351752601,,,,,4.0,,13.0,7.0,,,,,,,,,,,,,,,,1.0,,,5.0,4.0
meanElem,2,2,1,1,0,0,0,0,0,0,5,21,6,23,29,17,0.74072328643587,,0.82276012683044,,,,,,,0.481777251750713,,0.64422362803723,,0.436652736004309,,,,,,,,,0.378702089356781,,,,,,5.0,,6.0,,,,,,,7.0,,5.0,,7.0,,,,,,,,,12.0,
represent,2,2,1,1,0,0,0,0,1,0,6,18,3,20,24,16,0.739875673992434,,0.854105306257104,,0.465338377509431,,,,,0.686024895608786,,0.809334190392468,,0.671939199131078,,,,,,,,,0.490804957328252,,,,,,6.0,,3.0,,,,,,,4.0,,4.0,,4.0,,,,,,,,,7.0,
obvious,3,2,1,0,0,0,0,0,0,0,7,16,4,18,6,14,0.715864586910676,,0.835255274987035,,0.748856777452497,,,,,0.792860515438704,,0.888452722309793,,0.775501177471824,,,,,,,,,,,,,,,7.0,,4.0,,6.0,,,,,2.0,,2.0,,2.0,,,,,,,,,,
understandQuick,4,2,0,0,0,0,0,1,0,0,8,11,8,22,2,19,0.692756369509471,0.422269669725346,0.757331064518435,0.403868349285817,0.824024349323533,,,,,0.566218243139566,,0.551684335714593,,,,,,,,,,,,,,,,,8.0,11.0,8.0,,2.0,,,,,6.0,,7.0,,,,,,,,,,,,
understandEasi,3,2,1,0,0,0,0,1,0,0,9,20,2,21,4,18,0.687697969139842,,0.856339855043469,0.346133592163487,0.79243621665313,,,,,0.648654613102483,,0.63916236247376,,0.55171632925819,,,,,,,,,,,,,,,9.0,,2.0,,4.0,,,,,5.0,,6.0,,6.0,,,,,,,,,,
meanOveral,2,2,1,1,0,0,0,0,0,0,10,17,7,17,21,13,0.681742263333366,,0.800530885412065,,,,,,,0.893180616236551,,0.901719227798195,,0.717842400621694,,,,,,,,,0.597600629020008,,,,,,10.0,,7.0,,,,,,,1.0,,1.0,,3.0,,,,,,,,,4.0,
