"terms","PA1"
"answer",0.559924301957966
"clearData",0.807608278046378
"clearRepresent",0.816268140252503
"complex",0.748909777326602
"confid",0.612394735295707
"confus",0.711223973618863
"crowd",0.707595913388493
"deciph",0.694305171476826
"distinguish",0.683609505862859
"distract",0.630229593767845
"effect",0.729781033639862
"find",0.653917426972715
"identifi",0.734023431390146
"inform",0.734196978171424
"lost",0.696248246922003
"meanElem",0.569407893131506
"meanOveral",0.542124387417684
"messi",0.746622454312202
"obvious",0.649621513257055
"organiz",0.760883986940652
"read",0.819623367107655
"readabl",0.743466500597425
"represent",0.788136577282603
"see",0.473470342256104
"simpl",0.832590093315252
"understandEasi",0.846734479576589
"understandQuick",0.764732576198934
"valu",0.4582495646994
"visibl",0.503935679787486
