"terms","PA1","PA2"
"answer",-0.153526301058146,0.769780667868507
"clearData",0.69641071939168,0.151735046157909
"clearRepresent",0.550815167015368,0.311043399462154
"complex",0.431095846441302,0.362361614556789
"confid",-0.119279029029756,0.791528654250249
"confus",0.458295803741924,0.293436574798376
"crowd",0.860777767006327,-0.123157362913108
"deciph",0.426225524168946,0.308355263740106
"distinguish",0.709651715288941,0.00490700592505076
"distract",0.860584127493545,-0.206215549877392
"effect",0.321796903643413,0.455454704861825
"find",0.521864238202327,0.165827185159997
"identifi",0.449311321693207,0.327251419718025
"inform",0.31714120187056,0.465071873825661
"lost",0.481768738432606,0.252994391428621
"meanElem",0.162008273161465,0.448299555081657
"meanOveral",-0.102389957010172,0.696213170512145
"messi",0.873916923982769,-0.0946086398311782
"obvious",-0.126469604927596,0.840402366247411
"organiz",0.610116565232588,0.190227696866907
"read",0.524463995206909,0.341859134230792
"readabl",0.607744434836466,0.173779419237425
"represent",0.0526385707562453,0.803132748581872
"see",0.606229199034965,-0.115325079207184
"simpl",0.629438308929576,0.247429171608871
"understandEasi",0.226284162911048,0.683393157331397
"understandQuick",0.382956650606341,0.42958476691965
"valu",0.254705046652962,0.231164210506926
"visibl",0.579438621363741,-0.0549278999232619
