"terms","PA1","PA4","PA3","PA2"
"answer",-0.210168267320388,0.245399217183008,0.623374695097263,-0.0319708076553253
"clearData",0.446791902960471,0.445318355835495,-0.0204759191316744,0.00439693483563742
"clearRepresent",0.456252273946797,0.241495778834093,0.191842348144015,-0.00161553483285822
"complex",0.544837058722315,0.0384484224526167,0.276953897774035,-0.0880301377108835
"confid",-0.0185698425174517,-0.0879107884391086,0.786026396637181,0.0516007727622255
"confus",0.559648716967069,-0.0542091376084142,0.272275451473806,-0.00236423228078317
"crowd",0.819012426015696,-0.0220730888701662,-0.0952089933004096,0.120152505882264
"deciph",0.386721581998588,0.212784919904288,0.184065575556856,-0.0557446522273314
"distinguish",0.277298179468405,0.575321950539671,-0.163175192680998,0.104888791897601
"distract",0.850163006005345,-0.072606295300444,-0.160076163726466,0.11479776600874
"effect",0.173430921944478,0.394276401500154,0.261273427931852,-0.053406511388858
"find",0.101682071229589,0.674392597625713,-0.0710691411910436,0.0179264069441132
"identifi",-0.0540671387234673,0.705882958673278,0.107098333164285,0.112234433304167
"inform",-0.0745407992315458,0.685105065163165,0.208582464305742,-0.00713229821126334
"lost",0.631924612311595,-0.128655129236292,0.255638279011719,0.000769218909751142
"meanElem",0.0979389776478828,0.0516914561754826,0.436652736004309,0.105869006496396
"meanOveral",-0.0211440969216346,-0.107674003269307,0.717842400621694,0.071743765278577
"messi",1.0072448296149,-0.0495237522207029,-0.142922222743234,-0.0310209059402787
"obvious",0.0169071186899634,-0.0372775944176836,0.775501177471824,-0.0235931620102286
"organiz",0.67122553567122,-0.00989408807462284,0.160430650313875,0.00736160834513761
"read",0.283430729941724,0.527094743510393,0.107156823042817,-0.0485183030854917
"readabl",0.328518369023071,0.582341518174063,-0.0738253860386253,-0.0658776275055674
"represent",0.100833602942638,0.137465243160812,0.671939199131078,-0.0468283854484062
"see",0.0229075539139739,0.168243500780298,-0.0106030487817314,0.742277601260432
"simpl",0.505661660319973,0.385587936167588,0.0499720470032379,-0.0819323521069586
"understandEasi",0.178733013815722,0.213738714641901,0.55171632925819,-0.00218322207583409
"understandQuick",0.422269669725346,0.129109085159775,0.315278022797976,-0.059418023028668
"valu",-0.17074406837613,0.625176542138774,0.0306023367322,0.0493089546134935
"visibl",0.0941253037284478,-0.00526860285376477,0.12338636116558,0.753194048511876
