"terms","PA1"
"answer",0.0259267839319191
"clearData",0.0570880940373247
"clearRepresent",0.0773663142121346
"complex",0.0459389694020161
"confid",0.0284670471651375
"confus",0.0519966344182839
"crowd",0.0415002253567061
"deciph",0.0450673142347869
"distinguish",0.0442850786433894
"distract",0.0319209290138004
"effect",0.0461738683901483
"find",0.0353653152117829
"identifi",0.0501405159341121
"inform",0.0469646060886379
"lost",0.0472421522308968
"meanElem",0.0309479227764201
"meanOveral",0.0204908101851108
"messi",0.0522654450673604
"obvious",0.0366023107669621
"organiz",0.0502600294410515
"read",0.0699862228831447
"readabl",0.039289738685322
"represent",0.0659523452461283
"see",0.0280679824616249
"simpl",0.0762808099846395
"understandEasi",0.0983374782318246
"understandQuick",0.0412974517017001
"valu",0.0257646673473986
"visibl",0.0257260759361043
