"terms","PA1","PA2"
"answer",-0.0224712549114438,0.101283511373438
"clearData",0.0995735851170179,0.0010197417999804
"clearRepresent",0.0674573060337847,0.0598552748856667
"complex",0.0377590421647209,0.0437985652034093
"confid",-0.0190631584413945,0.100939874838777
"confus",0.0448419022442797,0.0454745390384536
"crowd",0.112081309087408,-0.0456019253160148
"deciph",0.0358532993667531,0.0473722327052566
"distinguish",0.0819543527048036,-0.00429819297995732
"distract",0.0928011263318972,-0.0362727179811039
"effect",0.0302261628168155,0.0549189634237257
"find",0.0483102595487447,0.00872504044338957
"identifi",0.050099494755155,0.0446042273423374
"inform",0.0268977638524474,0.0615972160444447
"lost",0.043063413557648,0.0322374278618999
"meanElem",0.0128261731909536,0.0423382111067038
"meanOveral",-0.0095730772431312,0.0619780748913267
"messi",0.124469263003984,-0.0317505324984211
"obvious",-0.0294043166252565,0.138562055084815
"organiz",0.0618868426821571,0.0147390999852231
"read",0.0731509230872108,0.0430524301595719
"readabl",0.059718821400603,0.00962763174614739
"represent",-0.0114452323626873,0.178580212317758
"see",0.0514687529207158,-0.00634367622112858
"simpl",0.0930468435639988,0.0392339755607344
"understandEasi",0.0240468238501707,0.18820986429634
"understandQuick",0.0278637776636612,0.0447681449696008
"valu",0.0218749081374163,0.0213593948574015
"visibl",0.0553450680342677,-0.0185979511798097
