"terms","PA1","PA4","PA3","PA2"
"answer",-0.028477168013058,0.0424896495207366,0.102234496554537,-0.00783040217167096
"clearData",0.0626595530540091,0.103251597364118,-0.024389918008411,0.00883259572719268
"clearRepresent",0.0693767618532729,0.0443423821956054,0.0565233624588014,-0.00570172353351974
"complex",0.0829344027862272,-0.00229586500528927,0.0511487894317834,-0.0385341944039205
"confid",-0.0091693974296766,-0.0155726501335244,0.141900189525394,0.0147756809739417
"confus",0.0814142124570439,-0.017563635391931,0.0614280924532636,-0.00840638570683837
"crowd",0.115243207573636,-0.0122022548150908,-0.0378409278910384,0.0622980916106997
"deciph",0.0421058746768475,0.0340850775993785,0.0396279110461676,-0.0166447309627687
"distinguish",0.0333185875076576,0.109379604500732,-0.0326495502463687,0.0505870697047092
"distract",0.0987482166658957,-0.00598768034176364,-0.0285545667116571,0.0566982116035138
"effect",0.0150003429865906,0.0675373801878006,0.0436330370037476,-0.0227546170380294
"find",0.00366769746611984,0.128269140954234,-0.0226291644432486,0.0222687048464251
"identifi",-0.0346618655465771,0.174260127576204,0.0254805747209398,0.0590284687348996
"inform",-0.0247798831977333,0.146685605951309,0.0449022210375922,0.00170222522939487
"lost",0.0737227267984412,-0.027553071712722,0.055098689520498,-0.00889344160520453
"meanElem",0.0164522453773989,-0.00154148374768099,0.0561429417898989,0.0271431821393932
"meanOveral",-0.00226943719375005,-0.0179186883887169,0.0949066199629472,0.0188978091080822
"messi",0.240637200196715,-0.0404711558342293,-0.0523896148074986,-0.0210563340455715
"obvious",-0.00793268165400876,-0.00867977103943553,0.166531680956111,-0.0217530020309417
"organiz",0.095933272653971,-0.0187423428730474,0.0264929177076736,0.00465869624093559
"read",0.0444646060384644,0.126307755521558,0.010641417533125,-0.0473868838960346
"readabl",0.0336017628739138,0.111476500119201,-0.0278477577452204,-0.0236938478481405
"represent",0.0151583582045565,0.0302624867691651,0.194209687684751,-0.0354752019612435
"see",0.00503987517472947,0.04155063185095,-0.0107381164745771,0.468633122768929
"simpl",0.104440020948514,0.0897615498878788,0.0107341365515858,-0.071195161764143
"understandEasi",0.0350162166755133,0.0537454917418908,0.197348063710488,-0.00509887800102376
"understandQuick",0.0446149310912738,0.00835687724211498,0.0492769119717125,-0.0323328962558385
"valu",-0.011809981865005,0.0808199531841794,0.00512344992462526,0.00805683624237089
"visibl",0.0159843625434373,-0.000754141843255299,0.0198910331352266,0.487940435999411
