"terms","PA1","PA2"
"answer",0.597693264269682,0.151274416648858
"clearData",0.645946073877686,0.210339747766305
"clearRepresent",0.652801922601549,0.175406473933269
"complex",0.72314344629187,-0.0821280616079821
"confid",0.721170355254184,0.0347431443358658
"confus",0.849194008725701,-0.116039775144666
"crowd",0.438991458140919,0.165989057709553
"deciph",0.70713834021394,0.0268834271562466
"distinguish",0.359700896908082,0.297004015300959
"distract",0.527892793371603,0.136121544249535
"effect",0.538740214526501,0.288992401918295
"find",0.278674604213662,0.481071744714813
"identifi",0.638252522272757,0.154624039983901
"inform",0.556474157463894,0.26628155794947
"lost",0.678359660726455,0.0646154216884069
"meanElem",0.739592999261019,-0.0740838647026697
"meanOveral",0.722232447864442,-0.0212826566777241
"messi",0.569260432091069,0.178352761832554
"obvious",0.819801189268924,-0.232334797914132
"organiz",0.571308021695065,0.251131057700655
"read",0.884556669956073,-0.0600085992914478
"readabl",0.694756199479909,0.0897667723620725
"represent",0.803562237760827,0.0140017154526028
"see",-0.15281894810972,0.910184079996363
"simpl",0.903690795008093,-0.0513957517187042
"understandEasi",0.919301788999881,-0.127919068937515
"understandQuick",0.782206657346256,0.0382017347681819
"valu",0.123685169158915,0.556743781433839
"visibl",-0.31720865670487,1.01204460375551
