"terms","PA1"
"answer",0.0438289770165765
"clearData",0.0694736379340065
"clearRepresent",0.0454881645404981
"complex",0.0277910629329549
"confid",0.0454897841485468
"confus",0.0511797551333396
"crowd",0.0254073671042519
"deciph",0.0398759578843348
"distinguish",0.030887944380322
"distract",0.0315330173709444
"effect",0.0457930490816281
"find",0.0397982768365293
"identifi",0.0598061445361319
"inform",0.0534805573591631
"lost",0.0480048399367303
"meanElem",0.030369587352144
"meanOveral",0.0353810373210462
"messi",0.0472703761557062
"obvious",0.0172068340083964
"organiz",0.0482303662192526
"read",0.0689208007438188
"readabl",0.044971717610606
"represent",0.0741992757247262
"see",0.02684284704584
"simpl",0.0911334644813386
"understandEasi",0.0480214993422867
"understandQuick",0.0706894289201062
"valu",0.0310638681173848
"visibl",0.0246888444604984
