"terms","PA1","PA2"
"answer",0.0413088900957581,0.0398946028267919
"clearData",0.0642372241850059,0.0576654042367496
"clearRepresent",0.0388034158137155,0.0542571376724039
"complex",0.0381904253617828,-0.00527023806943029
"confid",0.0467801275558477,0.0206076916092785
"confus",0.0712600411298266,-0.0129845527511217
"crowd",0.0231500369636365,0.0346586115137478
"deciph",0.0405149146356126,0.0119139862796182
"distinguish",0.0215448717043344,0.047677497889309
"distract",0.026937742906852,0.0166378281236895
"effect",0.0325159546329899,0.0698886691725826
"find",0.021952091735279,0.118145477739844
"identifi",0.0563352341230052,0.0530665544487797
"inform",0.0391469867539673,0.0840996863805737
"lost",0.0500327596107685,0.0143589094382555
"meanElem",0.0411976421278953,-0.0184144472360595
"meanOveral",0.0407267689431705,0.00307159886994294
"messi",0.0415311824428475,0.038354860366272
"obvious",0.0382725811840861,-0.0337002929154264
"organiz",0.0376464334733512,0.0759849753503487
"read",0.0863243075085215,-0.0171243968908975
"readabl",0.0454915836283809,0.00707066475085657
"represent",0.0805897131839756,-0.00335295298246553
"see",-0.0109226487443324,0.258786461383391
"simpl",0.11448990871782,-0.0128479703154171
"understandEasi",0.0776645391509508,-0.0475413911186504
"understandQuick",0.07608999184551,-0.00146641748617254
"valu",0.0121432374749314,0.0826822426604313
"visibl",-0.025185138781368,0.313932000661045
