"terms","PA1","PA3","PA2","PA4"
"answer",0.0503167753091643,-0.0169169092619317,-0.00852019411339971,0.192229382555996
"clearData",0.074754921670142,0.0560620550200989,0.162307762382628,-0.30152447942131
"clearRepresent",0.0680096834388535,-0.00831300642601737,0.136122528859784,-0.235201497691303
"complex",0.0266809949889448,0.0497480733418546,-0.026671998188609,0.0323503514681131
"confid",0.0827838230986216,-0.06462145552332,-0.0338011634527015,0.212503848433426
"confus",0.0497938209165895,0.118943791465951,-0.0493944777654923,0.000924614850666874
"crowd",-0.0272189244373845,0.245207072245842,-0.0059725958408166,0.0501683092161872
"deciph",0.0293747882687861,0.0519940692740711,-0.0179591850520604,0.0810757303081462
"distinguish",0.0112138797902563,0.0441931696790059,0.0404819651114225,-0.00697901293517922
"distract",0.000533977932744445,0.149197544754261,0.00756633893787346,-0.0323108231672653
"effect",0.0314038407351078,0.032410036119529,0.0960535754600591,-0.08887898655155
"find",0.00699027844166232,0.038100070550862,0.036140561861163,0.372573731349941
"identifi",0.054763141286372,0.022721117324523,0.0270560069732122,0.0858403856456827
"inform",0.0381313884448071,0.0279797685953339,0.0477025117115075,0.0805781731134597
"lost",0.0349736993025111,0.0705501460510677,-0.0157112175744626,0.0441223356908849
"meanElem",0.0585803320594509,-0.0130805758939515,0.0128100542501696,-0.0656802155379099
"meanOveral",0.056488819034517,-0.0360693285789581,-0.0376531537511331,0.138035906443818
"messi",-0.00125541163155377,0.257430943798272,0.0258389179075495,-0.0589554663997103
"obvious",0.0450529486921277,-0.0125006047648393,-0.0571237532712853,0.0580345284393324
"organiz",0.0335205838252121,0.0733392289541191,0.132209130437711,-0.209357416156991
"read",0.0944611670497378,0.00888052797728519,-0.0194137428686454,0.00985640535123446
"readabl",0.0605733044014805,-0.00952016615221438,0.0243942363773882,-0.0185935474960953
"represent",0.0982261188517001,-0.00995374152044161,0.00604497238677361,0.00562545106718204
"see",-0.00342130261283512,0.00932869736392936,0.254437432702945,0.00464115225604203
"simpl",0.104209264897898,0.0919730144559813,0.00121758644958511,-0.107606473702366
"understandEasi",0.0835976160471269,0.0209937235758327,-0.014475175308988,-0.0969632889178117
"understandQuick",0.078550260871927,0.00691085095515939,0.00683597025374224,-0.0245190129163155
"valu",0.0161784879223803,-0.0359319226791876,0.0647717529671161,0.347078524092923
"visibl",-0.0187331239542295,0.0143961142273671,0.345577086292845,-0.0623879692471753
