"terms","PA1"
"answer",0.70738120768422
"clearData",0.826589089996781
"clearRepresent",0.825861132867108
"complex",0.770180812152853
"confid",0.621626301421627
"confus",0.774688952466418
"crowd",0.442677649134278
"deciph",0.809629989359881
"distinguish",0.657876786353023
"distract",0.61179700902787
"effect",0.765007464731112
"find",0.778709989166427
"identifi",0.797509360456497
"inform",0.813185464477328
"lost",0.76003888034433
"meanElem",0.675119095975578
"meanOveral",0.584679494736102
"messi",0.597941962201041
"obvious",0.676350187508927
"organiz",0.715776097623659
"read",0.860136145549683
"readabl",0.787290159188478
"represent",0.710599508352196
"see",0.615608426812561
"simpl",0.83031469132985
"understandEasi",0.755661746515762
"understandQuick",0.791114237301087
"valu",0.462757657047052
"visibl",0.655219907222458
