"terms","PA1","PA2"
"answer",0.244908880337817,0.518808307490212
"clearData",0.901658858772511,-0.0419514303866849
"clearRepresent",0.706202451017003,0.160606837454439
"complex",0.55821034081249,0.255234286838093
"confid",-0.175530819681947,0.876450176689135
"confus",0.617083997193016,0.198212732009305
"crowd",0.609769317210572,-0.157062114896139
"deciph",0.70220560745051,0.14707538265892
"distinguish",0.425285414643178,0.272298672111637
"distract",0.674313018527788,-0.0397259976374321
"effect",0.650397100058119,0.152599987512293
"find",0.657879855910352,0.15957374290568
"identifi",0.476096227924263,0.371903634569278
"inform",0.627839996534896,0.228867544894233
"lost",0.513951117469528,0.290804592203938
"meanElem",0.118653751977038,0.618447949777009
"meanOveral",-0.239743100231278,0.904362934779189
"messi",0.867897461526303,-0.25614473405372
"obvious",-0.0409289862433905,0.792126365158179
"organiz",0.789403277874789,-0.0461186139494718
"read",0.676556186131362,0.22895005144322
"readabl",0.605708439290042,0.223805287555527
"represent",0.0568033005135234,0.72477553431299
"see",0.342501460343671,0.313542626941899
"simpl",0.722050401181945,0.1488521855124
"understandEasi",0.0661472870807502,0.765161290845201
"understandQuick",0.202026889905418,0.657938827015845
"valu",0.475169036441714,0.00581986525732683
"visibl",0.355375077191996,0.34350806673401
