"terms","PA1"
"answer",0.0387848109738098
"clearData",0.0723901763714796
"clearRepresent",0.0706378453940633
"complex",0.041440705439202
"confid",0.0321652245644954
"confus",0.0458376157321369
"crowd",0.0220963151891161
"deciph",0.0570243950970871
"distinguish",0.0239082203815386
"distract",0.0313453467628927
"effect",0.052024385448097
"find",0.0461305217385326
"identifi",0.0505514097136708
"inform",0.0544406055755143
"lost",0.0561298570118735
"meanElem",0.036525599939365
"meanOveral",0.0251671227584366
"messi",0.0162189495519515
"obvious",0.0443533411930831
"organiz",0.0440632806988815
"read",0.0900345181322659
"readabl",0.0514211988295923
"represent",0.056589085915763
"see",0.0255071450171288
"simpl",0.0609163844633373
"understandEasi",0.04211152159041
"understandQuick",0.0562663426874892
"valu",0.0104124746904072
"visibl",0.0457371884399058
