"terms","PA1","PA2"
"answer",0.0112872299518253,0.0735535958294485
"clearData",0.158786165437519,-0.0348708759632864
"clearRepresent",0.0850002730691708,0.0305662434722206
"complex",0.0426008967725033,0.0185705130464364
"confid",-0.020004425326484,0.128250160578147
"confus",0.0522708976278033,0.0146420912738646
"crowd",0.0353289429626182,-0.00701907329258095
"deciph",0.0785102078153851,0.0122521531690249
"distinguish",0.013568963997248,0.030860171765864
"distract",0.05205208610648,-0.0062694225749416
"effect",0.063833796226401,0.0149133978274054
"find",0.0655447629109855,0.0141537080061494
"identifi",0.030735296094928,0.0600317601195377
"inform",0.0564235606751619,0.0298382703081256
"lost",0.0619945752139644,0.0274365718763034
"meanElem",0.0025316735602268,0.0788699485692473
"meanOveral",-0.0296497105036098,0.130081877649811
"messi",0.0785353075583247,-0.0573783509705667
"obvious",-0.00550918039806756,0.121248632471327
"organiz",0.0864682293823156,-0.020781136698882
"read",0.119744313448011,0.0397681142660587
"readabl",0.0493739448662164,0.0378073988463807
"represent",0.0120328553383243,0.118477762945137
"see",0.0189833315268138,0.0343279343669969
"simpl",0.0888143312312274,0.00701184275760779
"understandEasi",-0.0286247723018606,0.151677079539618
"understandQuick",-0.00466312738218933,0.138278175078709
"valu",0.015638984390097,0.00467149298160737
"visibl",0.0370587969138715,0.0412917192463083
