"terms","PA1","PA2","PA3"
"answer",0.0351095171227686,0.0650386473688979,-0.0151138004499467
"clearData",0.126908838662465,-0.0525906059613567,0.120391168353554
"clearRepresent",0.0666996321302013,0.0289113931363637,0.0735693343844265
"complex",0.00141380490534744,0.0439109153611938,0.103023913487331
"confid",0.0164630734631977,0.124747561540708,-0.036239698537669
"confus",0.0136824032745017,0.0356928793722899,0.0993708608938698
"crowd",-0.0293674129288498,0.0141038588689076,0.195192383184437
"deciph",0.0363184898617023,0.024177952422594,0.10720696041461
"distinguish",0.0465429869086057,0.0134942059803227,-0.0324197020006985
"distract",0.0179586717236505,0.00343435570531787,0.0778759886870693
"effect",0.0611523702562124,0.00105165772699597,0.0359225039783226
"find",0.116382246938686,-0.0236601106377883,-0.0205641416372726
"identifi",0.063824725050083,0.0441374324418638,-0.0236099084031618
"inform",0.0794068738474245,0.00807175695478384,-0.00638043883053164
"lost",0.0400919556519317,0.0327677206932194,0.0712698805784481
"meanElem",0.0192664829230604,0.0729707674459598,-0.0131572007914891
"meanOveral",-0.0271063679907569,0.17794219401915,0.00853011624509648
"messi",-0.0165853606839708,-0.0332389926728531,0.263494926962837
"obvious",-0.0146740103688789,0.169220310845048,0.0398241414577899
"organiz",0.0272632558015319,-0.00353264532094422,0.14786511660364
"read",0.191623361689088,-0.0146848282271113,-0.0298740590725302
"readabl",0.0845480795172556,0.0118465278194236,-0.0145285894244822
"represent",0.0191188293556771,0.137436438825382,0.021718988357147
"see",0.0544628774639293,0.0169896221722435,-0.0345955820824995
"simpl",0.0591277367977566,0.00557026373128751,0.0851838005414671
"understandEasi",-0.000305274316267129,0.159569094803129,-0.0233313134267332
"understandQuick",0.0176082098071729,0.144134524628086,-0.00213860551480716
"valu",0.0313518621208822,-0.00828663797958734,-0.0114688226993915
"visibl",0.0666164853489243,0.0198675453819139,-0.0304101642949966
