"terms","PA1"
"answer",0.75892598402546
"clearData",0.846426298642575
"clearRepresent",0.891319133956358
"complex",0.781356299293145
"confid",0.743405933478236
"confus",0.877056132504366
"crowd",0.515595105002766
"deciph",0.824671512836447
"distinguish",0.521268373112165
"distract",0.479453194486587
"effect",0.85546641406569
"find",0.719897822328407
"identifi",0.826603320833932
"inform",0.853262046247644
"lost",0.853958266471162
"meanElem",0.737378255844015
"meanOveral",0.70775794535507
"messi",0.646342045084521
"obvious",0.825020374812188
"organiz",0.727216069412831
"read",0.81959205854627
"readabl",0.825322773213116
"represent",0.863985634191229
"see",0.582420086273036
"simpl",0.838049130613842
"understandEasi",0.892737208015027
"understandQuick",0.808592195043505
"valu",0.618082258828501
"visibl",0.525978405696851
