"terms","PA1","PA2"
"answer",0.715437110794254,0.0592665552910639
"clearData",0.645317011322217,0.246558229415297
"clearRepresent",0.752181098471145,0.173536456015637
"complex",0.664806112508562,0.145733286199727
"confid",0.852641129406101,-0.120016859992467
"confus",0.77286863235799,0.132142405021997
"crowd",-0.0834668143857812,0.720356550720689
"deciph",0.838005194854475,-0.00665234771007311
"distinguish",0.275567507294231,0.296550681326914
"distract",-0.0749398987559703,0.665859709469755
"effect",0.770510519592542,0.109175727902512
"find",0.452411064276329,0.324440638808652
"identifi",0.837610125500759,-0.00398588483773162
"inform",0.785081537356289,0.0894025627822078
"lost",0.818205746760592,0.0512905819951275
"meanElem",0.67150926784534,0.0854013624838623
"meanOveral",0.749985649231126,-0.0421020652907718
"messi",-0.0754197657488557,0.872082101280273
"obvious",0.941495286202158,-0.127140664854819
"organiz",0.0776100504276648,0.785751065696329
"read",0.736985159049581,0.106012996456283
"readabl",0.68005966754474,0.180112099888583
"represent",0.85431277819699,0.0207991169179089
"see",0.334967147693287,0.299229715084478
"simpl",0.705303655468278,0.165435391997863
"understandEasi",0.974276127568465,-0.0853598729821488
"understandQuick",0.930481919461752,-0.133720078160814
"valu",0.524322775114431,0.117080459481214
"visibl",0.344118149664194,0.220632407545777
