"terms","PA1","PA2","PA3"
"answer",0.759366394231153,0.0675095176709285,-0.0655463796162949
"clearData",0.618054199739508,0.197366745629578,0.0986193472673553
"clearRepresent",0.742054718490472,0.141451088558229,0.0543843947593798
"complex",0.673402400825925,0.139820623766352,-7.87346858191545e-06
"confid",0.876804765745484,-0.111337370680679,-0.0462724698364772
"confus",0.799261481131897,0.133754463217467,-0.0323448937008965
"crowd",-0.0405597911126933,0.718324263648565,-0.0287379257512191
"deciph",0.926751594098472,0.0506346560177261,-0.179984272058009
"distinguish",0.246733621972151,0.238458781937118,0.112361485925995
"distract",-0.0145055987668518,0.687813421536252,-0.0799845141172307
"effect",0.752647971705423,0.0713534001309267,0.0686967558552503
"find",0.406565173763042,0.247176562759015,0.157059665775587
"identifi",0.812201711105375,-0.0402431625346425,0.0730910029120599
"inform",0.833336038697425,0.103178406590936,-0.0760753605035699
"lost",0.886801551479598,0.0889304705827956,-0.130072666382946
"meanElem",0.594791393937943,0.00675330460165206,0.191865057591508
"meanOveral",0.686894602152846,-0.106402279184033,0.153287036490188
"messi",-0.0627586723860056,0.825558545122832,0.0652527909834589
"obvious",0.920707470602737,-0.13978466419521,0.0365688219795115
"organiz",0.0947264984233199,0.733565809776268,0.0619731270331785
"read",0.76649012788135,0.107968789302167,-0.0378508486956875
"readabl",0.683252911325513,0.156637892546133,0.0274863532021247
"represent",0.880886364361989,0.0250019192832086,-0.0394819899687087
"see",-0.115259856521415,0.0342861866237591,0.920210706830361
"simpl",0.710774827046247,0.153618904612404,0.0112705746814875
"understandEasi",0.990859198120519,-0.0764311235979616,-0.035278698752643
"understandQuick",0.91199262773923,-0.144226224545325,0.0309154582835424
"valu",0.369489641182247,-0.0222997595620265,0.36598299181284
"visibl",-0.0387178424595852,-0.0419685542951218,0.819745099963981
