"terms","PA1","PA4","PA2","PA3"
"answer",0.094497236745652,0.819176474602327,0.0344989394728638,-0.163652601078688
"clearData",0.496723305554687,0.164582790064597,0.183947217371478,0.106263213856562
"clearRepresent",0.529437006989865,0.264717333636336,0.127311107649877,0.0549535900864746
"complex",0.806810839609369,-0.160725429527125,0.140685184615822,0.0712402806277749
"confid",0.335255322584308,0.644153405665047,-0.130175135065896,-0.103430433426223
"confus",0.679124568053791,0.138969149977946,0.123571703020155,0.00111124989825853
"crowd",0.00288304982037365,0.016620462343168,0.668763993419963,-0.023703591859454
"deciph",0.965936283394163,-0.0626609663500703,0.0482750756632673,-0.110732690203535
"distinguish",-0.0897268429462106,0.437552011226533,0.217264726207198,0.0489762524907489
"distract",-0.0432419419948971,0.092291367743011,0.64051874772002,-0.0823339855759401
"effect",0.368898851784048,0.470668703875384,0.0545078307819561,0.0323349704541791
"find",-0.0754313416481178,0.615836226162954,0.223151370607041,0.0728923258033935
"identifi",0.339856959106466,0.569889169732276,-0.0544169236938307,0.0219124506649552
"inform",0.391717702417749,0.528951183840569,0.0826041597933802,-0.109994063276526
"lost",0.744485887855012,0.151689613755268,0.0804680508761152,-0.0896266934613768
"meanElem",0.292445550332036,0.378702089356781,-0.00233890924142957,0.154591953659117
"meanOveral",0.197585794971088,0.597600629020008,-0.122440099961464,0.087594536097564
"messi",0.163504288814399,-0.209483646241643,0.802461901844458,0.102296572630602
"obvious",0.748856777452497,0.184936998776772,-0.137277731762507,0.0624681018722976
"organiz",0.0148960983098178,0.171611113671347,0.683520038751346,0.0441549340797373
"read",0.512703136915825,0.300094035193318,0.0953892536264099,-0.0361075813668434
"readabl",0.331370707762787,0.435570806758582,0.135816055702617,-0.00327450228679258
"represent",0.465338377509431,0.490804957328252,0.00889151895397548,-0.0633840013798581
"see",0.0283521451789389,-0.119279324723119,0.0303008468744528,0.94690390154141
"simpl",0.781946310479684,-0.0846108105438342,0.151569084343377,0.0724409190888613
"understandEasi",0.79243621665313,0.213035803407181,-0.0776323920606912,-0.0045563944370796
"understandQuick",0.824024349323533,0.0836089181035407,-0.141175323613096,0.0757502301737886
"valu",0.00223729918153365,0.477782255152143,-0.0378781989160656,0.294440069019197
"visibl",-0.0159817420172841,0.0707178421255221,-0.0319140315986394,0.732099848173514
