"terms","PA1"
"answer",0.0324265603940759
"clearData",0.0576806909517001
"clearRepresent",0.0835516311134933
"complex",0.0344499154469927
"confid",0.0267589525448558
"confus",0.069018022603901
"crowd",0.0211123201233865
"deciph",0.0399640514859383
"distinguish",0.0188248692898808
"distract",0.0184073803865167
"effect",0.0562336669942197
"find",0.041454159262136
"identifi",0.0508974488921953
"inform",0.0576485598310252
"lost",0.0510022178513597
"meanElem",0.0390204066944748
"meanOveral",0.0306108249314497
"messi",0.0282968681964542
"obvious",0.0400587831225716
"organiz",0.0330005681849549
"read",0.045156308612814
"readabl",0.060438180340483
"represent",0.0656687084870118
"see",0.0296258000411612
"simpl",0.0536175530915
"understandEasi",0.0745829833136703
"understandQuick",0.0334918445254055
"valu",0.023321872447604
"visibl",0.0189027180690751
